SNCZI,e0_emo1_01,e0_emo1_02,e0_emo1_03,e0_emo1_04,e0_emo1_05,e0_emo1_06,e0_emo1_07,e0_emo1_08,e0_emo1_09,e0_emo1_10,e0_emo1_11,e0_emo1_12,e0_emo1_year,pr_emo1_01,pr_emo1_02,pr_emo1_03,pr_emo1_04,pr_emo1_05,pr_emo1_06,pr_emo1_07,pr_emo1_08,pr_emo1_09,pr_emo1_10,pr_emo1_11,pr_emo1_12,pr_emo1_year,ta_emo1_01,ta_emo1_02,ta_emo1_03,ta_emo1_04,ta_emo1_05,ta_emo1_06,ta_emo1_07,ta_emo1_08,ta_emo1_09,ta_emo1_10,ta_emo1_11,ta_emo1_12,ta_emo1_year,dis_efas5_01,dis_efas5_02,dis_efas5_03,dis_efas5_04,dis_efas5_05,dis_efas5_06,dis_efas5_07,dis_efas5_08,dis_efas5_09,dis_efas5_10,dis_efas5_11,dis_efas5_12,dis_efas5_yrmean,dis_efas5_yrmax,dis_efas5_yrmin
10,0.3653696807271952,0.6854854992874638,1.5681440810712086,2.4855997586491134,3.717328916779944,5.189269998218074,6.024600097510822,5.151697151588671,2.940689734015802,1.250810575064268,0.4419600811276604,0.3553228893954892,2.525765829402076,3.3269734438686274,2.604499462081615,2.720119915822501,3.303064475151136,3.0927176568079067,1.5710185442030467,0.612749810767554,0.8375694604876396,1.8207220925164005,4.533055429970473,4.5524602861284755,3.5324347467304644,2.7086108004494123,0.8665962643120565,1.5545176395341003,3.84022963508228,5.719287279069499,9.803546887468737,15.086442805781509,18.73187626282141,18.732248960701952,14.238071125926393,9.264819853515787,3.958471160867449,1.9460731652492298,8.686610396647817,0.8300195503421368,0.9722961373390601,0.9918768328445777,1.0087575757575786,0.9920527859237552,0.7306868686868694,0.4090322580645152,0.3187878787878803,0.32586868686868753,0.3755425219941336,0.5911818181818208,0.9089833822091937,0.7029484378934183,4.760606060606061,0.3027272727272728
25,0.6177441832807028,1.352959880821183,2.613675059635968,3.8868806430787752,5.450599755359884,7.082102816995948,8.038739523463468,7.048119018271288,4.5451272957252735,2.3994141704642296,0.9545156363736499,0.5501587462091667,3.725037215163504,1.9717598479412513,1.7563375211891652,1.8063420721779022,2.105732845553583,1.2288833617097092,0.23921764050986655,0.06413163007353091,0.09551483452641464,1.095670822550157,2.5830419598527814,2.3630619684873957,3.0393094900885793,1.528223913047787,10.064813400759842,11.404764430717337,13.801164809559797,15.746302127838135,19.28314838241622,23.29102416568332,26.331470657303885,26.48557669116605,23.210663787764734,19.180293394556728,13.972685362112642,11.195339867096843,17.865707948802665,0.4024437927663787,0.3431652360515072,0.2859335288367563,0.2449090909090899,0.15366568914955955,0.04532323232323166,0.04043010752688105,0.04016617790811272,0.0434949494949489,0.05136852394916856,0.12267676767676786,0.34126099706745333,0.17563934199393424,2.503939393939394,0.040000000000000015
33,0.3801650919083561,0.9043730913377627,1.9992517817288433,3.0523384697509535,4.480756126307789,6.036287605160415,7.030174832190236,6.203024900553863,3.7984297327320986,1.715355316564834,0.5475584875232531,0.34317396066794037,3.0535584194384726,2.0737049584105707,1.7317040410992497,1.9120661426021035,2.164753061027332,1.417763915838259,0.6554547979100137,0.2637714874006754,0.3088735221105458,1.3903454741797612,3.5536715834512957,2.8368626620088975,2.6973888748094397,1.7505481637143003,4.777500644043081,6.121053742568604,8.456272130145647,10.271778612907486,13.960582290343641,18.440829172038068,21.676656345468114,21.71776453840418,18.034359521576853,13.343101640600613,8.187516675046599,5.612350779733933,12.585556031780259,1.321739980449657,1.0118347639484966,0.975992179863147,1.055919191919191,0.7343206256109492,0.40764646464646653,0.2518963831867076,0.2460606060606073,0.3079898989898989,0.8990713587487771,1.520717171717175,1.4851906158357753,0.8506640898089359,5.30090909090909,0.2387878787878789
36,0.2560758581213537,0.5247759263187571,1.3191614761904886,2.1948007039048454,3.179694819543602,4.01797973700244,4.397581280268299,3.8052969676891264,2.403265561419304,1.0271115474046033,0.30964910791211364,0.24255743756645376,1.9812694545047171,2.418229432411108,2.4876080642635383,2.18468671086115,2.6891737496710824,2.0538548389620126,1.5534663800881279,1.0889368640256176,1.0080642366763282,1.6466996605870505,3.1527268076967583,3.7302735505173175,3.066553762291185,2.2533228895121526,2.379218735085766,2.9858602578491933,4.947774696426023,6.559330026594678,9.782125157053752,13.27202736295835,15.6123721420124,16.050263864903155,13.488148844603336,10.080810887147313,5.366295290999397,3.173395703442464,8.67288837331537,1.2672336265884854,1.2225536480686756,1.2530889540567038,1.2893131313131327,1.1355620723362612,1.031161616161605,0.9743597262951917,0.9569892473118087,0.9757878787878658,1.1586803519061628,1.1350606060606243,1.2718279569892632,1.1389531764988785,3.8396969696969703,0.9087878787878788
52,0.48847306955799613,1.1439382682350572,2.4350204293562405,3.6721496892697885,5.341489536088699,7.14713686259106,8.21279731617179,7.101637663845909,4.4083011032354955,2.1958966702077163,0.7806328050133706,0.4548822639869374,3.629617539247567,1.4810228433120254,1.419159051647988,1.4587460205232656,1.695294720442693,1.206404047768755,0.4114154123233583,0.11418527830904213,0.15587380907849593,0.9252846595467564,2.2606757854018236,1.9308491385943283,1.998767016711548,1.2537199908126075,7.989608780088546,9.414928950721102,12.001761434714465,14.05814287590258,17.951097139748192,22.50066194823294,25.69325638749616,25.811271410184172,22.08335463687627,17.517771031033842,11.980546461692963,9.10250761070792,16.379989524332903,0.09831867057673609,0.1239270386266108,0.13488758553274613,0.10546464646464736,0.05795698924731121,0.04898989898989833,0.040058651026392285,0.04002932551319581,0.04143434343434279,0.056871945259041455,0.07145454545454566,0.09517106549364736,0.07597490285745377,0.7403030303030302,0.040000000000000015
53,0.4219824608227826,0.9494768696169613,2.0382699567901073,3.0836392135331123,4.375556181253226,5.806608789858192,6.665712151010015,5.691418100894954,3.4013035458747787,1.5776442066199152,0.5692449350817825,0.36965873277793393,2.924049474266176,1.2067994829799766,1.3162691772483566,1.4457351719770286,2.1657422205339616,1.42771330017988,1.0765473025799064,0.35282821046612056,0.681777310375928,1.3411341859901151,1.8313011164319057,1.6821100618900593,1.5104382943374672,1.3341687405312443,4.328029885108811,5.6260642112674795,8.154428366619005,10.373046644167466,14.5980899154499,19.653840204682012,23.184543136044798,23.039010866413136,18.36812472728768,13.499311497018018,7.983917938184106,5.190592496636991,12.87384886494032,0.24157380254154628,0.24318669527897185,0.2460410557184765,0.25493939393939463,0.25664711632453613,0.2523939393939394,0.24345063538611866,0.23317693059628483,0.2271111111111114,0.2251124144672545,0.22969696969697176,0.23257086999022633,0.24046624792728521,0.2993939393939394,0.2009090909090909
58,0.2366822963553576,0.5652320983184126,1.5473492125145734,2.510130330950323,3.5291808605893267,4.416818448389419,4.862554363141661,4.169450555262561,2.615449509957824,1.0436897863682182,0.28009537494958336,0.20515899757716036,2.174047509723546,5.25120399933195,4.110780061562865,3.5907896429927106,3.8548788335849298,3.0276861135182833,1.599981276299381,0.9396145015301544,1.2637178572495618,2.435312779320197,6.0186343127431465,6.014846659176442,5.844247430033471,3.661298912004745,6.192533306358701,7.216617286844826,9.2393435346853,10.557595359677016,13.160057038039639,16.1281702696675,18.36670815606737,18.573699785234407,16.536710132252086,13.093426748687804,8.861578376245017,6.8504789016288745,12.090873813185997,4.423499511241458,3.5517167381974155,2.958924731182792,2.7668686868686816,2.1701173020527755,1.2561111111111085,0.8761388074291413,0.8472434017595408,0.971585858585872,2.179012707722363,4.153898989898998,4.401309872922787,2.5416724691332826,15.123939393939395,0.8299999999999993
68,0.49685194520307074,1.1520471649300388,2.322441752646792,3.562661830825035,5.126809778917337,6.7825151929951675,7.656157342103453,6.646802210271766,4.105535600281725,2.044674014008057,0.7387578188319399,0.43715165207346396,3.4357407144639023,1.5356697702134376,1.4925864940248736,1.6994647145734416,1.7417195225188107,1.1028974898025807,0.4108843971136235,0.05530437670472143,0.1575503186354114,0.8992541139339784,1.8023150641141548,1.9961629625074513,2.1063414563230958,1.2480497869650367,7.440570082818807,8.879233885220703,11.38635159859239,13.578219776924211,17.602479423362606,22.321037792437004,25.723109524037948,25.692334239433936,21.56656186652906,16.96401017805232,11.261138679764487,8.493071094111613,15.948146101150165,0.3410361681329438,0.29363733905579426,0.33844574780058706,0.2713232323232323,0.19380254154447715,0.11225252525252483,0.06780058651026416,0.0647507331378298,0.09873737373737365,0.16457478005865098,0.237676767676768,0.30489736070381257,0.2070651586604877,1.3590909090909087,0.05212121212121215
79,0.39258426458043166,0.8098531359798663,1.86096429440283,2.8973426439545373,4.059951777798456,5.541911110372254,6.386565355494808,5.502056312817399,3.2874451360919257,1.4415182193644702,0.5249326332573393,0.39430740191485425,2.769660561930836,1.5860867335842646,1.2850391507796273,1.3880356962264895,1.7622445022106414,1.6852549618619421,0.9946609574260138,0.5449445248612877,0.452483606558279,0.9845349522695567,1.941160019527427,2.0333740154150144,1.5062158499154301,1.3464117096273172,2.717690637361127,3.7390211820602417,6.305157675450615,8.299692185569292,12.198629902138622,17.06895479144472,20.271458832749175,20.16450486225117,15.942160506681962,11.377983053685517,6.03213914758855,3.640085413728823,10.685583010262695,0.20188660801563976,0.22834763948497858,0.2513782991202343,0.28450505050505115,0.2542521994134899,0.20964646464646525,0.15441837732160363,0.150840664711632,0.15646464646464506,0.1629423264907124,0.20690909090909002,0.25639296187683336,0.20962215462507341,0.5212121212121213,0.1454545454545455
84,0.3748968410745394,0.7784834742354221,1.8563314726392313,2.9092901859620603,4.139616481369891,5.532951807373702,6.322160164049061,5.417346721054406,3.2498348543138214,1.4225043352922735,0.49609661057139887,0.35340773213002924,2.749148439013576,1.5344260419142701,1.181933119721751,1.2637832346008617,1.7105863362470601,1.6131923788443245,1.1520019713816527,0.5956652978516235,0.5803755904693314,1.041608535776506,2.0874795799864376,1.9131891459960928,1.727577797686205,1.3672555560136186,3.4928556518872265,4.854108278877754,7.355380920035981,9.249718726644613,13.018603110709615,17.384306367720015,20.23151615754367,20.222536179327196,16.53717583116859,12.1825293634644,6.995539407503575,4.3855911625452695,11.361367433807406,0.4557673509286417,0.38193133047210337,0.3778885630498536,0.39867676767676746,0.37685239491691125,0.30273737373737447,0.18310850439882667,0.09415444770283468,0.1013636363636362,0.1779374389051808,0.31492929292929356,0.4198435972629531,0.2983398798222512,1.300909090909091,0.06606060606060608
93,0.5578429150872591,1.1532543977250869,2.1596995898588895,3.438122353168449,4.788848367953929,6.226615312003126,6.888654436417222,5.8469222207223215,3.5907690789964466,1.8357978333534266,0.7551999599795148,0.4755278294510003,3.1541899669845934,0.8716295894284534,0.6685812343265451,1.2691966203584304,1.1875323266921578,0.7682147848990599,0.5763826120233533,0.08715295771327264,0.3205771870021335,1.1283780093704918,0.8544205941366205,1.1055517960681975,0.8828996110670594,0.8090367089219235,6.956388747587232,8.190869401820612,10.178266727110248,12.468888995864175,16.23366387824975,20.623259719694502,23.708386528410404,23.985401914266546,20.281855163188897,16.0494417887862,10.816320037811694,7.852668410842603,14.814627559033791,0.13308895405669594,0.1404721030042919,0.159872922776149,0.1960707070707073,0.19999022482893428,0.19595959595959533,0.17765395894428115,0.14946236559139686,0.14160606060606037,0.13524926686216965,0.12590909090909008,0.12707722385141684,0.15690923154745287,0.42787878787878786,0.07575757575757579
110,0.2834580134667997,0.5819882507328056,1.5076996479274474,2.3830849364550426,3.4942605774540123,4.554664609287724,5.033208171410062,4.331302408132618,2.5681089801017682,1.1442045495132547,0.35314404556711176,0.2231651703586941,2.2142638347318875,2.6138120590996374,2.333512266410081,2.4023339190788455,2.5660351291270644,2.0812497877396137,1.7875493090084726,1.0291502510847474,0.8532721760285834,1.6014742110566602,2.1857465174065527,3.383327866690892,2.902714179306658,2.141515422486287,3.603511865252587,4.53081437531367,6.94227632146948,8.791693135779916,12.513345092389358,16.379627080878826,18.741669186865245,19.216603308012992,15.889780773779359,12.123198159599816,6.976195255379108,4.10797475898144,10.852479738127556,1.4212218963831853,1.4751502145922755,1.5172336265884685,1.394383838383838,1.086735092864128,0.914444444444451,0.6454252199413574,0.5929912023460484,0.6821717171717214,0.8446236559139818,1.191505050505049,1.4288465298142712,1.0972737525717553,4.56,0.47303030303030325
116,0.36612829801062974,0.804375016174475,1.9050227587756756,2.9793515795409076,4.297815742730395,5.764026758887551,6.489560649075699,5.577473523679717,3.333398737209012,1.485061936714083,0.4981761768686049,0.34431695627674586,2.832072084727422,1.2067283612333268,1.0595261157460951,1.064974661967643,1.5311290510437854,1.2900494824274555,0.8558104511672887,0.3280787336710074,0.40042168435249365,0.9603830996546112,2.0632223455510226,1.6135043351841005,1.4038477327802736,1.1478004180356332,3.655320079410895,5.093040553518659,7.561818894076244,9.558995769120227,13.495202007647949,18.014989162213876,20.855133895650287,20.758145568191363,16.92446117545619,12.473545419622143,7.177139111608267,4.590573280051948,11.716024749611861,0.6486119257087009,0.6422854077253219,0.6151417399804501,0.6293131313131335,0.6067839687194546,0.46522222222222187,0.27360703812316717,0.17509286412512254,0.23301010101010067,0.4766666666666666,0.7720000000000004,0.7590713587487792,0.5238406068318485,1.8818181818181818,0.10999999999999996
126,0.28969687976777,0.5022621235656333,1.2308696878824532,2.0106883928932326,2.885087904051485,3.501856299843451,3.7513469035790927,3.231542791089704,2.092248101547511,0.9686283104245498,0.3370809215611327,0.2676944917520574,1.7626982648862308,2.4851675506805018,2.2439147320200283,2.0503837854154443,2.570723546759197,2.063230234781828,1.6815275980667634,1.131112896960196,1.123486822647637,1.899307611770928,2.575701700175729,3.7713532834153884,2.7007413545563335,2.187822264582469,3.9340737949663507,4.326058941011921,6.068082362794915,7.516630798290399,10.406657156939614,13.448383228706591,15.589861532343681,16.191620121953076,14.091178835281218,11.25691043526546,6.874908144209496,4.6936750391804685,9.562083931227802,0.7333822091886576,0.7574785407725317,0.7384164222873902,0.734191919191919,0.6972140762463356,0.6289898989899014,0.5440078201368505,0.4707233626588415,0.4731717171717121,0.5389736070381227,0.6736969696969698,0.6982502443792753,0.639951978804438,1.5154545454545454,0.35969696969696946
132,0.6559315777310004,1.2476120513140387,2.2287125560079035,3.389711945707148,4.553452638179093,5.669566504160563,6.110139291890089,5.295061291371156,3.567637607665977,1.9151139356640194,0.8606731290844354,0.5453475616660192,3.0124643684305665,1.003829428932483,0.6277639628767712,1.1984464337963716,1.2297716225805513,0.730100789816116,0.3256429760025419,0.11004831775534035,0.449151047040915,1.4261912188920747,1.5048921117376999,1.2388115605546368,0.9646981855907194,0.901150116780694,8.347300034842998,9.02862705002527,10.573003355009465,12.604119460269658,15.850916938930895,19.72307553050494,22.40065908012502,22.972386745180668,20.296626236462835,16.498011872449112,12.063827518742494,9.234785723022002,14.99773408155179,0.025425219941349067,0.025729613733905487,0.025376344086021567,0.02567676767676759,0.02580645161290299,0.02398989898989876,0.022453567937438693,0.02161290322580618,0.02367676767676737,0.02451612903225791,0.02528282828282815,0.02437927663734101,0.02448120549759882,0.056969696969697003,0.01424242424242425
143,0.6142998636160355,1.3455021687075817,2.6110957708293507,3.864407037966179,5.392524062363633,7.059920422717778,8.28574860061019,7.199313476055365,4.650867514658456,2.444240061069164,0.981005412769137,0.5364331245588053,3.762650413061296,1.8384052529725208,1.6423028743542434,1.7692356744647366,1.94888010277775,1.199058360491405,0.31296566767956724,0.052857676126434536,0.10287236220200836,0.9751297552668904,2.2665502937171036,2.236545352142415,2.78756408888848,1.4267266375302947,10.324867582041497,11.368232968794942,13.528344485766727,15.277556317261975,18.586276338713375,22.38622377954348,25.143821647323353,25.32853813581569,22.5978032430013,18.955556911457318,14.03458431176465,11.42062873528034,17.445619988103214,0.7137634408602147,0.5992918454935612,0.6298924731182796,0.55520202020202,0.33149560117302024,0.06454545454545454,0.003538611925708699,0.011202346041055716,0.216959595959596,0.6465786901270768,0.7539696969696956,1.118602150537633,0.470205704019762,8.367575757575755,0.0
