SNCZI,ResID,DAM_NAME,YEAR,LON,LAT,LisfloodX,LisfloodY,Vc,Vf,Qmin,Qnd,Vn,Qn,CAP_MCM,CATCH_SKM
10,3187,LA ACEÑA,1989,-4.224583,40.61625,-4.225,40.60833,1.0000000000000001e-07,9.7e-07,0.22,4.04,5e-07,0.4,23.7,60.01258
25,3277,EL AGRIO,1977,-6.285417,37.537083,-6.275,37.525,1.0000000000000001e-07,9.7e-07,0.12,4.97,5e-07,0.27,40.0,247.722496
33,3190,AGUEDA,1931,-6.480417,40.529583,-6.49167,40.50833,1.0000000000000001e-07,9.7e-07,0.9,26.96,5e-07,1.82,22.4,801.415424
36,173,AGUILAR DE CAMPOO,1963,-4.29125,42.799583,-4.29167,42.79167,1.0000000000000001e-07,9.7e-07,1.73,20.32,5e-07,3.42,247.0,554.384512
52,169,ALANGE,1992,-6.270417,38.78625,-6.275,38.79167,1.0000000000000001e-07,9.7e-07,0.64,61.06,5e-07,3.71,852.0,2507.140096
53,165,ALARCON,0,-2.112083,39.570417,-2.10833,39.575,1.0000000000000001e-07,9.7e-07,2.83,42.37,5e-07,6.09,1118.0,2945.070848
58,3123,ALBARELLOS,1971,-8.195417,42.400417,-8.19167,42.40833,1.0000000000000001e-07,9.7e-07,0.55,22.45,5e-07,1.82,90.7,203.179344
68,16,ALCALA DEL RIO,0,-5.95969177,37.51388061,-5.975,37.525,1.0000000000000001e-07,9.7e-07,0.0,749.0,5e-07,7.5,21.0,47278.1824
79,3172,ALCORLO,1978,-3.024583,41.012083,-3.025,41.00833,1.0000000000000001e-07,9.7e-07,0.52,5.98,5e-07,0.85,180.0,380.753312
84,3162,ALDEADAVILA,1963,-6.68375,41.214583,-6.69167,41.20833,1.0000000000000001e-07,9.7e-07,39.41,1057.01,5e-07,180.94,114.8,72062.533632
93,3255,ALFONSO XIII,1915,-1.599583,38.22125,-1.60833,38.20833,1.0000000000000001e-07,9.7e-07,0.0,5.18,5e-07,0.47,21.6,828.23808
110,3120,ALLOZ,1930,-1.945417,42.707917,-1.94167,42.70833,1.0000000000000001e-07,9.7e-07,0.71,9.78,5e-07,1.37,84.3,189.359104
116,177,ALMENDRA,1970,-6.32375,41.274583,-6.30833,41.275,1.0000000000000001e-07,9.7e-07,0.62,76.95,5e-07,10.21,2586.0,7016.914944
132,3245,AMADORIO,1957,-0.265417,38.537083,-0.25833,38.54167,1.0000000000000001e-07,9.7e-07,0.02,1.61,5e-07,0.23,15.8,217.590224
151,3102,AÑARBE,1976,-1.87875,43.21625,-1.85833,43.225,1.0000000000000001e-07,9.7e-07,1.08,14.06,5e-07,2.86,50.4,57.678612
153,3262,ARACENA,1969,-6.450417,37.907917,-6.45833,37.90833,1.0000000000000001e-07,9.7e-07,0.28,14.51,5e-07,0.82,129.0,400.901152
160,3095,ARBON,1967,-6.724583,43.477917,-6.725,43.475,1.0000000000000001e-07,9.7e-07,8.06,145.46,5e-07,19.53,32.8,2530.85824
171,3204,ARENOS,1978,-0.549583,40.087083,-0.55833,40.09167,1.0000000000000001e-07,9.7e-07,1.66,10.39,5e-07,2.86,137.7,1433.60192
174,3258,ARGOS,1970,-1.737083,38.170417,-1.74167,38.175,1.0000000000000001e-07,9.7e-07,0.0,0.1,5e-07,0.03,11.2,459.722304
179,3130,ARLANZON,1933,-3.339583,42.26375,-3.34167,42.25833,1.0000000000000001e-07,9.7e-07,0.23,2.05,5e-07,0.38,22.4,104.450336
183,3192,ARQUILLO DE SAN BLAS,1960,-1.207917,40.36375,-1.20833,40.35833,1.0000000000000001e-07,9.7e-07,0.88,5.94,5e-07,1.66,22.0,827.442944
217,159,EL ATAZAR,1972,-3.474583,40.912917,-3.49167,40.90833,1.0000000000000001e-07,9.7e-07,1.0,34.9,5e-07,2.89,426.0,932.238848
231,3217,AZUTAN,1969,-5.090417,39.777083,-5.09167,39.775,1.0000000000000001e-07,9.7e-07,0.3,457.65,5e-07,52.85,113.0,34858.278912
234,3752,LA BAELLS,1976,1.879583,42.124583,1.875,42.125,1.0000000000000001e-07,9.7e-07,1.2,10.74,5e-07,2.07,115.4,504.41824
255,145,BAO,1960,-7.16625,42.24375,-7.15833,42.225,1.0000000000000001e-07,9.7e-07,1.44,43.51,5e-07,3.53,238.0,721.76384
256,32,BARASONA,0,0.298494939,42.13947929,0.30833,42.125,1.0000000000000001e-07,9.7e-07,4.0,53.0,5e-07,8.1,85.0,1516.723712
257,3302,BARBATE,1992,-5.74125,36.37875,-5.74167,36.375,1.0000000000000001e-07,9.7e-07,0.27,19.33,5e-07,0.8,231.0,362.01584
261,144,BARCENA,1960,-6.55875,42.577917,-6.55833,42.575,1.0000000000000001e-07,9.7e-07,2.1,37.3,5e-07,5.0,341.0,829.613952
284,3115,BARRIE DE LA MAZA,1958,-8.79625,42.865417,-8.79167,42.85833,1.0000000000000001e-07,9.7e-07,4.62,158.03,5e-07,15.79,31.5,1448.799616
285,174,BARRIOS DE LUNA,1956,-5.86625,42.85375,-5.85833,42.85833,1.0000000000000001e-07,9.7e-07,1.24,24.9,5e-07,3.9,308.0,486.024768
312,141,BELESAR,0,-7.71625,42.63125,-7.725,42.64167,1.0000000000000001e-07,9.7e-07,10.67,308.88,5e-07,31.96,655.0,4322.945024
314,3237,BELLUS,1995,-0.477917,38.93875,-0.475,38.94167,1.0000000000000001e-07,9.7e-07,0.17,6.32,5e-07,0.58,69.2,492.540448
316,12,BEMBEZAR,1963,-5.242151201,37.93784054,-5.225,37.90833,1.0000000000000001e-07,9.7e-07,0.2,38.0,5e-07,1.3,342.1,1646.661888
319,162,BENAGEBER,1955,-1.099583,39.72875,-1.09167,39.725,1.0000000000000001e-07,9.7e-07,3.68,25.25,5e-07,7.5,221.0,4264.304128
324,3238,BENIARRES,1958,-0.355417,38.814583,-0.35833,38.80833,1.0000000000000001e-07,9.7e-07,0.1,5.36,5e-07,0.45,29.5,463.919168
328,3294,BENINAR,1983,-3.02625,36.87875,-3.025,36.875,1.0000000000000001e-07,9.7e-07,0.01,4.45,5e-07,0.48,70.0,535.167072
