date,level,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,2.72,,,
1990-01-02,,,0.04,0.26,9.45,10.2
1990-01-03,,,0.06,0.09,13.17,11.19
1990-01-04,,,0.02,0.37,11.05,5.96
1990-01-05,,,0.01,0.22,0.22,7.64
1990-01-06,,,0.0,0.29,0.02,9.88
1990-01-07,,,0.0,0.27,0.0,10.72
1990-01-08,,,0.0,0.16,0.0,10.23
1990-01-09,,,0.0,1.08,0.01,9.95
1990-01-10,,,0.0,0.34,0.01,8.48
1990-01-11,,,0.0,0.35,0.19,7.99
1990-01-12,,,0.0,0.31,0.17,7.16
1990-01-13,,,0.0,0.56,0.06,8.01
1990-01-14,,,0.0,0.46,0.0,9.04
1990-01-15,,,0.0,0.5,0.0,8.44
1990-01-16,,,0.0,0.47,0.37,9.12
1990-01-17,,,0.0,0.66,0.12,9.93
1990-01-18,,,0.0,0.17,0.0,8.04
1990-01-19,,,0.0,0.5,0.0,7.99
1990-01-20,,,0.0,0.93,0.0,8.07
1990-01-21,,,0.0,0.65,0.0,8.18
1990-01-22,,,0.0,0.56,0.0,7.66
1990-01-23,,,0.0,0.99,0.0,6.99
1990-01-24,,,0.0,0.87,0.0,8.07
1990-01-25,,,0.0,0.95,0.0,10.89
1990-01-26,,,0.0,0.58,0.01,11.47
1990-01-27,,,0.03,0.61,0.41,11.76
1990-01-28,,,0.03,0.97,23.38,11.66
1990-01-29,,,0.01,0.39,3.81,6.62
1990-01-30,,,0.01,0.94,3.32,9.1
1990-01-31,,,0.0,0.54,0.08,10.54
1990-02-01,,,0.0,0.51,3.91,8.51
1990-02-02,,,0.0,0.67,0.15,9.49
1990-02-03,,,0.0,0.53,0.0,9.57
1990-02-04,,,0.0,0.84,0.0,10.25
1990-02-05,,,0.0,0.77,0.0,12.58
1990-02-06,,,0.0,0.86,0.0,12.51
1990-02-07,,,0.0,0.87,0.0,12.62
1990-02-08,,,0.0,0.82,0.0,13.48
1990-02-09,,,0.0,1.22,0.0,12.6
1990-02-10,,,0.0,1.19,0.0,12.3
1990-02-11,,,0.0,0.94,0.0,11.75
1990-02-12,,,0.0,1.11,0.0,10.01
1990-02-13,,,0.0,1.87,0.0,11.58
