date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,5.014,30.179,1.34,,,
1990-01-02,4.103,30.62,0.15,0.19,8.26,6.1
1990-01-03,11.763,30.554,0.14,0.18,13.39,8.55
1990-01-04,25.639,33.426,0.09,0.46,6.68,5.78
1990-01-05,29.547,32.509,0.08,0.14,0.15,4.33
1990-01-06,29.511,30.225,0.07,0.11,0.03,5.42
1990-01-07,6.889,30.174,0.06,0.09,0.0,5.22
1990-01-08,7.379,29.958,0.06,0.06,0.01,5.51
1990-01-09,4.089,30.322,0.06,0.26,0.02,5.21
1990-01-10,4.928,30.376,0.06,0.15,0.0,4.12
1990-01-11,5.301,30.33,0.06,0.23,0.48,5.21
1990-01-12,5.478,30.131,0.06,0.14,0.47,3.22
1990-01-13,4.616,30.063,0.06,0.13,0.0,3.62
1990-01-14,4.583,29.92,0.06,0.17,0.01,4.87
1990-01-15,4.457,29.857,0.06,0.2,0.0,4.76
1990-01-16,4.375,29.776,0.06,0.14,0.8,4.17
1990-01-17,3.289,29.827,0.06,0.25,0.02,4.18
1990-01-18,2.626,30.096,0.06,0.19,0.0,3.99
1990-01-19,3.34,30.32,0.06,0.36,0.0,3.51
1990-01-20,2.956,30.348,0.06,0.35,0.0,3.35
1990-01-21,3.49,30.348,0.06,0.39,0.0,3.06
1990-01-22,3.2,30.338,0.06,0.44,0.0,2.61
1990-01-23,3.519,30.237,0.06,0.62,0.0,3.6
1990-01-24,3.647,30.325,0.06,0.54,0.03,4.81
1990-01-25,5.045,30.053,0.06,0.69,0.0,7.47
1990-01-26,4.792,29.804,0.06,0.4,0.0,8.36
1990-01-27,3.635,29.804,0.06,0.25,0.33,6.85
1990-01-28,3.543,29.804,0.08,0.59,1.31,11.05
1990-01-29,3.816,29.804,0.08,0.44,8.73,4.18
1990-01-30,3.861,29.804,0.07,0.35,2.48,6.23
1990-01-31,3.422,29.806,0.07,0.27,0.06,6.0
1990-02-01,3.399,29.842,0.07,0.44,3.71,5.44
1990-02-02,3.611,29.917,0.06,0.31,0.1,4.68
1990-02-03,3.599,29.826,0.06,0.54,0.0,6.04
1990-02-04,3.38,29.749,0.06,0.7,0.0,6.42
1990-02-05,2.447,29.812,0.06,0.89,0.0,10.14
1990-02-06,2.031,29.905,0.06,0.76,0.0,9.53
1990-02-07,2.361,30.023,0.06,0.53,0.0,9.63
1990-02-08,2.407,30.121,0.06,0.61,0.0,9.19
1990-02-09,1.516,30.307,0.06,1.0,0.0,9.39
1990-02-10,1.556,30.539,0.06,1.33,0.0,9.34
1990-02-11,2.002,30.655,0.06,0.98,0.0,10.47
1990-02-12,1.998,30.715,0.06,0.88,0.0,8.32
1990-02-13,1.956,30.769,0.06,1.07,0.0,9.28
1990-02-14,1.916,30.767,0.06,1.09,0.0,7.46
1990-02-15,1.471,31.052,0.06,2.03,0.0,9.49
1990-02-16,1.415,31.09,0.06,1.97,0.0,8.84
1990-02-17,1.956,31.211,0.06,1.74,0.0,8.59
1990-02-18,1.956,31.29,0.06,1.53,0.0,8.23
1990-02-19,1.956,31.247,0.06,1.34,0.0,9.05
1990-02-20,1.956,31.383,0.06,1.76,0.0,10.63
1990-02-21,1.956,31.334,0.06,1.77,0.0,11.52
1990-02-22,1.956,31.414,0.06,1.36,0.0,10.71
1990-02-23,1.91,31.372,0.06,2.04,0.0,10.53
1990-02-24,1.446,31.534,0.06,2.02,0.0,10.08
1990-02-25,1.956,31.445,0.06,2.12,0.0,10.61
1990-02-26,1.956,31.398,0.05,2.07,0.0,9.68
1990-02-27,1.956,31.506,0.05,2.17,0.0,10.52
1990-02-28,1.956,31.44,0.05,2.54,0.0,11.5
1990-03-01,1.954,31.318,0.06,2.53,0.0,11.33
1990-03-02,1.893,31.257,0.06,1.9,0.0,12.21
1990-03-03,1.498,31.506,0.06,1.17,0.44,10.36
1990-03-04,1.944,31.442,0.06,1.63,1.3,6.91
1990-03-05,1.891,31.375,0.06,2.48,0.05,9.66
1990-03-06,0.243,31.578,0.06,1.74,0.0,8.47
1990-03-07,2.495,31.625,0.06,1.76,0.0,9.4
1990-03-08,2.041,31.503,0.06,1.84,0.36,12.2
1990-03-09,1.848,31.419,0.07,0.89,5.42,8.55
1990-03-10,1.891,31.432,0.07,1.32,0.26,12.17
1990-03-11,0.204,31.565,0.06,1.67,0.0,12.41
1990-03-12,1.983,31.48,0.06,2.68,0.01,13.77
1990-03-13,1.134,31.485,0.06,1.79,0.39,11.38
1990-03-14,1.134,31.552,0.06,1.86,0.01,11.71
1990-03-15,1.154,31.663,0.06,2.6,0.0,11.78
1990-03-16,1.423,31.632,0.06,2.37,0.0,11.07
1990-03-17,1.854,31.599,0.06,2.64,0.0,10.83
1990-03-18,0.984,31.537,0.06,2.69,0.0,11.68
1990-03-19,0.944,31.483,0.06,2.67,0.0,11.86
1990-03-20,0.47,31.516,0.06,2.2,0.0,11.02
1990-03-21,0.114,31.581,0.05,1.91,0.0,10.83
1990-03-22,0.997,31.666,0.05,3.97,0.0,12.94
1990-03-23,1.173,31.666,0.06,4.55,0.0,14.46
1990-03-24,2.361,31.707,0.06,2.26,5.52,13.23
1990-03-25,10.858,32.163,0.06,1.8,4.72,9.49
1990-03-26,11.597,32.196,0.06,2.72,0.2,10.77
1990-03-27,8.262,32.253,0.06,2.93,0.0,9.13
1990-03-28,7.811,32.253,0.06,3.06,0.0,7.74
1990-03-29,5.792,32.253,0.05,3.33,0.0,8.35
1990-03-30,4.826,32.253,0.05,3.52,0.0,9.45
1990-03-31,4.783,32.253,0.07,2.17,0.26,8.92
1990-04-01,4.108,32.253,0.13,2.34,13.27,12.46
1990-04-02,2.052,32.253,0.12,1.6,14.67,9.45
1990-04-03,3.288,32.253,0.08,1.94,1.93,7.77
1990-04-04,2.416,32.253,0.07,2.44,0.09,9.2
1990-04-05,1.024,32.253,0.08,2.29,0.0,11.45
1990-04-06,1.537,32.253,0.09,1.93,3.72,10.89
1990-04-07,2.328,32.253,0.08,1.75,3.02,7.27
1990-04-08,1.458,32.253,0.1,2.78,4.28,10.02
1990-04-09,1.498,32.253,0.12,2.05,10.16,8.86
1990-04-10,1.983,32.253,0.09,1.75,3.73,7.71
1990-04-11,2.549,32.253,0.08,2.23,0.11,5.26
1990-04-12,2.605,32.253,0.07,3.71,0.0,8.5
1990-04-13,1.546,32.253,0.06,4.29,0.0,11.57
1990-04-14,1.182,32.253,0.06,3.66,2.52,13.33
1990-04-15,3.158,32.253,0.06,3.16,0.08,10.37
1990-04-16,1.035,32.253,0.06,5.02,0.0,12.76
1990-04-17,1.597,32.253,0.06,4.14,0.0,12.43
1990-04-18,1.597,32.253,0.06,3.91,0.0,13.17
1990-04-19,1.597,32.253,0.06,3.97,0.0,10.93
1990-04-20,1.684,32.243,0.06,4.65,0.0,11.88
1990-04-21,2.553,32.116,0.06,4.2,0.0,10.07
1990-04-22,1.478,31.975,0.06,3.32,0.02,6.59
1990-04-23,0.049,31.983,0.06,4.2,1.41,8.74
1990-04-24,0.246,32.078,0.06,3.28,0.05,8.29
1990-04-25,0.787,32.191,0.06,3.94,0.08,9.96
1990-04-26,0.772,32.186,0.06,2.58,2.98,8.89
1990-04-27,0.686,32.134,0.06,3.34,0.16,12.84
1990-04-28,1.422,32.186,0.09,3.41,6.2,14.19
1990-04-29,0.587,32.132,0.1,3.08,15.97,13.58
1990-04-30,0.114,32.168,0.1,2.12,15.09,11.36
1990-05-01,1.024,32.263,0.08,2.02,3.6,11.9
1990-05-02,1.47,32.392,0.07,3.18,0.1,13.78
1990-05-03,2.824,32.557,0.06,2.76,0.6,11.27
1990-05-04,16.219,32.5,0.06,3.78,0.0,11.81
1990-05-05,14.9,32.495,0.06,4.41,0.0,12.52
1990-05-06,12.195,32.435,0.06,4.65,0.0,12.93
1990-05-07,8.531,32.41,0.06,4.87,0.0,13.09
1990-05-08,7.998,32.431,0.06,4.35,0.0,13.23
1990-05-09,9.021,32.355,0.06,4.36,0.0,14.79
1990-05-10,9.036,32.443,0.06,2.81,9.68,13.83
1990-05-11,8.797,32.49,0.06,2.88,0.61,14.11
1990-05-12,10.56,32.382,0.06,3.91,1.76,15.22
1990-05-13,9.028,32.428,0.06,3.46,0.65,13.56
1990-05-14,9.629,32.328,0.06,4.26,0.01,14.25
1990-05-15,7.699,32.472,0.06,5.04,0.0,17.82
1990-05-16,7.478,32.487,0.06,4.59,0.0,18.21
1990-05-17,7.513,32.336,0.06,4.73,0.0,17.76
1990-05-18,6.326,32.227,0.06,5.44,0.0,16.81
1990-05-19,5.829,32.284,0.06,5.8,0.0,17.34
1990-05-20,6.509,32.281,0.06,4.77,0.0,17.3
1990-05-21,6.174,32.245,0.06,5.22,0.0,16.65
1990-05-22,6.087,32.168,0.06,5.84,0.0,16.36
1990-05-23,6.0,32.253,0.06,4.98,0.0,15.94
1990-05-24,7.471,32.173,0.05,5.23,0.0,14.87
1990-05-25,17.389,31.303,0.05,6.0,0.0,15.86
1990-05-26,16.499,31.38,0.06,4.46,0.0,17.69
1990-05-27,16.108,31.334,0.05,5.29,0.0,20.31
1990-05-28,18.202,31.79,0.05,5.18,0.0,19.19
1990-05-29,19.146,32.108,0.05,5.32,0.0,16.36
1990-05-30,18.679,31.882,0.05,5.91,0.0,16.58
1990-05-31,17.269,31.892,0.05,6.78,0.0,19.65
1990-06-01,16.053,32.001,0.05,6.13,0.0,19.27
1990-06-02,18.078,31.926,0.05,6.63,0.0,20.65
1990-06-03,17.828,31.728,0.05,6.37,0.0,20.47
1990-06-04,16.497,31.728,0.06,4.68,0.0,19.68
1990-06-05,16.965,31.702,0.05,4.84,0.16,19.55
1990-06-06,18.824,31.45,0.05,4.84,0.0,16.65
1990-06-07,18.946,31.746,0.05,6.15,0.0,17.91
1990-06-08,22.869,31.259,0.05,6.05,0.0,19.33
1990-06-09,25.893,31.22,0.05,7.98,0.0,22.35
1990-06-10,29.906,31.432,0.05,7.08,0.0,20.54
1990-06-11,29.586,31.596,0.05,5.07,0.0,18.85
1990-06-12,20.5,31.864,0.05,5.4,0.0,17.08
1990-06-13,19.641,32.005,0.05,4.77,0.0,15.09
1990-06-14,19.942,31.975,0.05,5.1,0.0,17.18
1990-06-15,22.134,31.64,0.05,6.36,0.0,16.73
1990-06-16,24.204,31.712,0.05,6.32,0.0,18.91
1990-06-17,28.101,31.882,0.05,5.24,0.0,17.39
1990-06-18,26.941,31.897,0.05,6.29,0.0,20.9
1990-06-19,22.483,32.053,0.05,7.06,0.0,19.02
1990-06-20,19.97,31.882,0.05,7.61,0.0,21.33
1990-06-21,19.579,31.882,0.05,5.49,0.0,19.3
1990-06-22,20.803,31.882,0.05,6.36,0.0,18.63
1990-06-23,24.926,31.882,0.05,7.12,0.0,20.77
1990-06-24,24.796,31.885,0.05,6.22,0.0,22.67
1990-06-25,23.662,31.916,0.05,6.9,0.0,24.44
1990-06-26,20.557,31.952,0.05,6.48,0.0,21.88
1990-06-27,20.913,32.037,0.05,6.02,0.0,22.41
1990-06-28,20.576,32.04,0.05,7.78,0.0,22.29
1990-06-29,21.622,32.068,0.05,6.83,0.0,20.78
1990-06-30,26.364,32.067,0.05,6.46,0.0,21.53
1990-07-01,25.1,32.067,0.05,7.7,0.0,22.22
1990-07-02,23.759,32.068,0.05,7.37,0.0,21.91
1990-07-03,20.604,32.071,0.05,6.26,0.0,22.5
1990-07-04,20.122,32.099,0.05,7.45,0.0,23.61
1990-07-05,24.4,32.099,0.05,5.04,0.0,23.31
1990-07-06,24.877,32.099,0.05,6.76,0.0,23.01
1990-07-07,28.455,32.098,0.05,6.25,0.0,21.85
1990-07-08,28.02,32.098,0.05,5.64,0.52,21.66
1990-07-09,26.383,32.098,0.05,5.71,0.01,21.54
1990-07-10,22.694,32.095,0.05,6.09,0.0,23.67
1990-07-11,24.699,32.068,0.05,8.91,0.0,24.41
1990-07-12,23.41,32.065,0.05,8.61,0.0,24.92
1990-07-13,25.008,32.037,0.05,7.72,0.0,23.49
1990-07-14,29.088,32.029,0.05,7.49,0.0,20.75
1990-07-15,28.148,31.949,0.05,7.86,0.0,21.37
1990-07-16,27.055,32.014,0.05,7.58,0.0,22.18
1990-07-17,23.643,32.09,0.05,7.58,0.0,22.05
1990-07-18,24.612,32.009,0.05,5.54,0.0,23.21
1990-07-19,24.503,32.035,0.05,8.58,0.0,25.12
1990-07-20,25.836,32.006,0.05,8.33,0.0,25.34
1990-07-21,29.369,32.006,0.05,8.82,0.0,24.99
1990-07-22,29.895,32.001,0.05,6.62,0.0,26.37
1990-07-23,27.717,31.952,0.05,5.55,0.0,26.2
1990-07-24,23.679,32.04,0.05,6.13,0.0,24.44
1990-07-25,26.002,32.068,0.05,9.19,0.0,25.94
1990-07-26,27.906,32.068,0.05,8.18,0.0,23.73
1990-07-27,27.465,32.068,0.05,6.27,0.0,23.48
1990-07-28,32.27,32.058,0.05,7.51,0.84,23.6
1990-07-29,31.7,31.944,0.05,4.46,0.97,18.41
