date,volume,level,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,38.2,392.28,1.03,,,
1990-01-02,39.19,392.68,0.5,0.27,0.02,2.82
1990-01-03,39.71,392.89,0.51,0.19,0.0,2.63
1990-01-04,39.38,392.76,0.5,0.38,11.13,5.69
1990-01-05,40.05,393.03,0.5,0.11,0.25,1.85
1990-01-06,40.39,393.16,0.5,0.19,0.0,0.83
1990-01-07,40.51,393.21,0.51,0.32,0.0,3.36
1990-01-08,40.69,393.28,0.5,0.3,5.9,3.87
1990-01-09,40.0,393.01,0.5,0.17,0.73,1.61
1990-01-10,39.09,392.64,0.5,0.18,0.76,1.74
1990-01-11,38.54,392.42,0.5,0.62,1.22,3.64
1990-01-12,38.59,392.44,0.5,0.23,0.0,4.13
1990-01-13,38.84,392.54,0.5,0.25,0.15,2.21
1990-01-14,39.43,392.78,0.5,0.17,0.0,1.5
1990-01-15,39.95,392.99,0.5,0.22,0.04,2.35
1990-01-16,39.63,392.86,0.5,0.26,0.0,1.67
1990-01-17,39.43,392.78,0.5,0.44,0.0,1.71
1990-01-18,38.59,392.44,0.5,0.33,0.0,0.99
1990-01-19,37.75,392.1,0.5,0.19,0.06,1.09
1990-01-20,36.42,391.55,0.5,0.22,0.0,0.64
1990-01-21,36.88,391.74,0.5,0.44,0.0,1.4
1990-01-22,37.21,391.88,0.5,0.92,0.0,2.62
1990-01-23,36.01,391.38,0.5,0.62,0.0,0.23
1990-01-24,35.1,391.0,0.5,0.58,0.0,3.95
1990-01-25,34.73,390.84,0.5,0.23,0.0,4.87
1990-01-26,34.42,390.71,0.5,0.58,0.17,8.3
1990-01-27,33.84,390.46,0.5,0.62,0.13,5.28
1990-01-28,34.24,390.63,0.5,0.33,0.0,6.74
1990-01-29,34.63,390.8,0.5,0.48,6.47,4.47
1990-01-30,34.84,390.89,0.5,0.6,0.11,4.42
1990-01-31,35.12,391.01,0.5,0.48,0.0,4.63
1990-02-01,34.1,390.57,0.5,0.75,1.42,6.39
1990-02-02,33.07,390.13,0.5,0.16,0.02,4.01
1990-02-03,32.68,389.96,0.5,0.29,0.0,5.06
1990-02-04,33.07,390.13,0.5,0.36,0.0,6.13
1990-02-05,33.47,390.3,0.5,0.28,0.0,4.01
1990-02-06,32.91,390.06,0.5,0.58,0.0,7.93
1990-02-07,32.38,389.83,0.5,0.44,0.03,5.53
1990-02-08,32.14,389.72,0.5,0.46,0.0,6.47
1990-02-09,31.19,389.3,0.5,0.54,0.01,8.43
1990-02-10,30.65,389.06,0.5,0.25,0.0,5.92
1990-02-11,31.01,389.22,0.5,0.34,0.57,6.29
1990-02-12,31.37,389.38,0.5,0.71,2.14,5.74
1990-02-13,31.32,389.36,0.5,0.98,11.25,5.13
1990-02-14,31.03,389.23,0.5,0.93,0.64,8.04
1990-02-15,30.25,388.88,0.5,2.07,0.0,10.21
1990-02-16,28.86,388.24,0.5,1.32,0.0,8.42
1990-02-17,28.51,388.08,0.5,0.67,0.0,7.88
1990-02-18,28.88,388.25,0.5,1.11,0.06,9.08
1990-02-19,29.19,388.39,0.5,0.81,0.04,7.6
1990-02-20,28.0,387.84,0.5,0.84,0.0,9.0
1990-02-21,27.43,387.57,0.5,0.92,0.0,9.36
1990-02-22,27.37,387.54,0.5,0.56,0.0,6.46
1990-02-23,26.93,387.33,0.5,1.3,0.0,7.95
1990-02-24,26.41,387.11,0.5,1.35,0.0,9.71
1990-02-25,26.05,386.91,0.5,0.89,0.04,9.38
1990-02-26,25.6,386.69,0.5,0.62,0.0,4.65
1990-02-27,25.17,386.48,0.5,0.81,0.0,7.31
1990-02-28,24.74,386.27,0.5,2.53,0.02,10.95
1990-03-01,24.29,386.05,0.5,1.46,0.0,10.18
1990-03-02,23.88,385.84,0.51,0.96,1.63,7.68
1990-03-03,21.41,384.58,0.5,1.03,5.67,1.38
1990-03-04,20.7,384.21,0.5,2.04,0.17,0.7
1990-03-05,20.24,383.96,0.5,1.05,0.0,0.76
1990-03-06,19.83,383.75,0.5,1.89,0.0,2.44
1990-03-07,19.45,383.55,0.5,1.55,0.0,3.27
1990-03-08,19.03,383.32,0.5,2.6,0.0,8.41
1990-03-09,18.67,383.13,0.5,1.08,9.53,9.0
1990-03-10,18.41,382.99,0.5,1.02,0.28,6.3
1990-03-11,18.07,382.8,0.5,2.09,0.0,8.54
1990-03-12,17.67,382.57,0.5,1.51,0.0,7.93
1990-03-13,17.25,382.34,0.5,1.29,0.0,10.41
1990-03-14,16.93,382.16,0.5,1.82,9.28,11.22
1990-03-15,17.21,382.32,0.5,1.07,0.8,6.92
1990-03-16,17.37,382.41,0.5,2.02,0.02,7.26
1990-03-17,17.23,382.33,0.5,2.45,0.0,7.32
1990-03-18,16.98,382.19,0.5,2.05,0.0,7.81
1990-03-19,16.64,382.0,0.5,1.35,0.0,7.21
1990-03-20,16.35,381.83,0.5,1.24,0.0,6.57
1990-03-21,16.12,381.7,0.5,2.18,0.0,11.34
1990-03-22,15.88,381.56,0.5,2.46,0.0,11.54
1990-03-23,15.54,381.36,0.5,2.0,0.0,11.36
1990-03-24,15.3,381.22,0.5,1.64,0.0,10.19
1990-03-25,15.1,381.1,0.5,1.76,0.03,10.38
1990-03-26,14.68,380.85,0.5,1.58,2.25,4.17
1990-03-27,14.4,380.68,0.5,2.21,0.04,1.49
1990-03-28,14.11,380.5,0.5,2.23,0.14,1.72
1990-03-29,13.77,380.29,0.5,2.06,0.0,2.5
1990-03-30,13.51,380.13,0.5,1.41,0.0,1.66
1990-03-31,12.69,379.61,0.5,2.79,0.0,5.35
1990-04-01,11.91,379.11,0.5,2.02,0.0,6.32
1990-04-02,11.3,378.7,0.51,2.03,8.22,7.99
1990-04-03,11.34,378.73,0.5,1.04,15.17,5.71
1990-04-04,11.4,378.77,0.5,1.65,4.5,6.8
1990-04-05,11.34,378.73,0.5,1.76,0.1,5.95
1990-04-06,11.25,378.67,0.5,1.89,1.24,8.62
1990-04-07,11.16,378.61,0.5,1.76,0.28,8.7
1990-04-08,11.08,378.55,0.5,2.26,0.0,7.45
1990-04-09,10.97,378.48,0.5,2.29,2.14,8.05
1990-04-10,10.91,378.44,0.5,1.88,0.83,4.96
1990-04-11,10.81,378.37,0.5,2.77,0.03,3.83
1990-04-12,10.69,378.29,0.5,3.39,0.03,8.07
1990-04-13,10.56,378.2,0.5,2.45,0.05,9.48
1990-04-14,10.41,378.1,0.5,1.65,1.76,8.05
1990-04-15,10.15,377.92,0.5,1.99,2.36,4.66
1990-04-16,9.98,377.8,0.5,2.78,0.13,6.22
1990-04-17,9.82,377.69,0.5,2.67,0.09,6.86
1990-04-18,9.75,377.64,0.5,1.68,7.47,4.21
1990-04-19,9.65,377.57,0.5,2.18,2.2,3.87
1990-04-20,9.54,377.49,0.5,2.74,3.18,6.46
1990-04-21,9.59,377.53,0.51,1.91,7.17,3.11
1990-04-22,9.66,377.58,0.51,1.23,7.46,0.59
1990-04-23,9.78,377.66,0.5,1.73,5.39,1.83
1990-04-24,10.5,378.16,0.5,2.84,3.65,5.3
1990-04-25,10.17,377.94,0.5,2.52,2.49,7.24
1990-04-26,10.69,378.29,0.5,2.05,0.48,5.65
1990-04-27,11.51,378.84,0.5,3.38,0.0,8.4
1990-04-28,12.19,379.29,0.5,3.82,0.0,9.32
1990-04-29,12.55,379.52,0.5,4.59,0.0,10.99
1990-04-30,12.86,379.72,0.5,3.89,0.0,10.45
1990-05-01,12.74,379.64,0.5,2.85,0.0,10.09
1990-05-02,12.86,379.72,0.5,3.75,0.0,8.64
1990-05-03,13.0,379.81,0.5,4.7,0.0,9.78
1990-05-04,13.13,379.89,0.5,4.63,0.0,9.84
1990-05-05,13.54,380.15,0.5,4.49,0.0,10.21
1990-05-06,13.52,379.95,0.5,4.47,0.0,10.2
1990-05-07,13.51,380.13,0.5,4.3,2.45,11.32
1990-05-08,13.64,380.21,0.5,2.98,3.7,10.85
1990-05-09,14.06,380.47,0.5,3.21,2.82,10.57
1990-05-10,14.86,380.96,0.5,3.33,1.1,10.98
1990-05-11,15.68,381.44,0.5,2.94,1.09,10.8
1990-05-12,15.88,381.56,0.5,3.59,0.0,11.28
1990-05-13,15.9,381.57,0.5,4.29,0.0,12.37
1990-05-14,15.85,381.54,0.5,2.54,3.49,10.86
1990-05-15,15.94,381.59,0.5,4.57,0.06,13.34
1990-05-16,15.94,381.59,0.5,5.0,0.34,14.8
1990-05-17,15.97,381.61,0.49,4.81,0.0,15.15
1990-05-18,16.04,381.65,0.5,5.02,0.26,14.88
1990-05-19,16.19,381.74,0.5,4.75,0.52,15.18
1990-05-20,16.31,381.81,0.5,4.12,0.42,15.99
1990-05-21,16.31,381.81,0.5,3.11,8.67,14.13
1990-05-22,16.89,382.14,0.51,3.55,7.35,14.05
1990-05-23,19.99,383.84,0.51,3.05,13.74,13.68
1990-05-24,22.47,385.13,0.5,3.01,7.42,14.28
1990-05-25,24.46,386.13,0.5,2.44,1.6,11.98
1990-05-26,26.61,387.18,0.5,4.05,6.38,14.7
1990-05-27,29.84,388.69,0.5,3.52,4.96,14.29
1990-05-28,33.4,390.27,0.5,2.88,3.07,11.87
1990-05-29,36.64,391.64,0.5,5.64,0.13,12.29
1990-05-30,38.32,392.33,0.5,5.36,0.0,14.3
1990-05-31,40.49,393.2,0.5,2.83,5.52,10.99
1990-06-01,42.25,393.89,0.5,4.87,0.08,13.14
1990-06-02,44.06,394.58,0.5,4.76,0.0,15.14
1990-06-03,45.31,395.05,0.5,3.8,0.0,15.45
1990-06-04,46.48,395.48,0.5,5.32,0.0,16.53
1990-06-05,47.11,395.71,0.5,2.63,5.45,14.59
1990-06-06,47.55,395.87,0.5,1.85,8.1,12.14
1990-06-07,49.95,396.73,0.5,3.64,0.48,12.86
1990-06-08,50.89,397.06,0.5,4.02,0.0,15.28
1990-06-09,51.73,397.35,0.5,2.58,0.0,13.76
1990-06-10,53.29,397.89,0.5,3.09,0.11,11.98
1990-06-11,54.75,398.38,0.5,4.65,0.25,11.43
1990-06-12,55.98,398.79,0.5,1.83,13.01,9.77
1990-06-13,58.29,399.54,0.5,3.8,3.63,13.08
1990-06-14,60.62,400.28,0.51,3.28,7.56,13.38
1990-06-15,68.69,402.71,0.5,2.07,16.79,12.33
1990-06-16,75.38,404.61,0.5,3.52,2.68,13.35
1990-06-17,78.6,405.49,0.5,4.08,0.21,13.67
1990-06-18,82.54,406.54,0.5,2.63,11.47,14.71
1990-06-19,83.68,406.84,0.5,4.06,0.0,14.5
1990-06-20,84.64,407.09,0.5,3.84,0.12,15.97
1990-06-21,85.3,407.26,0.5,2.54,11.43,13.46
1990-06-22,85.69,407.36,0.5,4.33,0.11,15.16
1990-06-23,85.65,407.35,0.5,2.54,0.0,13.34
1990-06-24,86.82,407.65,0.5,5.34,0.0,15.28
1990-06-25,88.03,407.96,0.5,4.59,0.0,17.86
1990-06-26,88.03,407.96,0.5,5.33,1.65,18.17
1990-06-27,88.19,408.0,0.5,3.83,0.14,17.09
1990-06-28,88.07,407.97,0.5,3.83,3.05,18.19
1990-06-29,89.55,408.34,0.5,4.43,0.0,18.07
1990-06-30,90.63,408.61,0.5,4.83,0.0,18.29
1990-07-01,90.07,408.47,0.5,3.98,0.0,18.56
1990-07-02,91.67,408.87,0.5,3.59,0.0,14.9
1990-07-03,92.27,409.02,0.52,4.72,6.96,17.07
1990-07-04,92.68,409.12,0.5,2.27,12.28,12.74
1990-07-05,93.05,409.21,0.5,5.83,0.24,15.79
1990-07-06,93.18,409.24,0.5,3.05,7.55,15.4
1990-07-07,98.07,410.42,0.5,5.28,0.16,14.38
1990-07-08,100.14,410.91,0.49,5.77,0.0,16.64
1990-07-09,101.56,411.24,0.49,6.17,0.0,18.19
1990-07-10,101.51,411.23,0.5,5.64,0.03,19.32
1990-07-11,101.08,411.13,0.5,5.56,0.0,17.97
1990-07-12,100.78,411.06,0.49,5.61,0.0,15.37
1990-07-13,100.6,411.02,0.49,6.74,0.0,16.8
1990-07-14,101.17,411.15,0.49,6.97,0.02,18.19
1990-07-15,101.73,411.28,0.5,5.61,0.0,19.28
1990-07-16,102.9,411.55,0.49,4.67,0.0,19.91
