date,level,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,0.2,,,
1990-01-02,,,0.21,0.34,4.73,13.0
1990-01-03,,,0.23,0.23,12.89,13.19
1990-01-04,,,0.2,0.48,13.01,9.24
1990-01-05,,,0.19,0.87,0.25,10.63
1990-01-06,,,0.19,0.87,0.0,12.97
1990-01-07,,,0.19,0.84,0.0,12.44
1990-01-08,,,0.19,0.56,0.0,12.19
1990-01-09,,,0.19,1.08,0.0,12.49
1990-01-10,,,0.19,1.26,1.06,11.76
1990-01-11,,,0.2,0.63,4.41,10.5
1990-01-12,,,0.2,0.62,6.07,9.73
1990-01-13,,,0.19,0.55,1.18,10.84
1990-01-14,,,0.19,0.53,0.22,10.87
1990-01-15,,,0.19,0.84,0.0,11.22
1990-01-16,,,0.19,0.67,0.0,12.01
1990-01-17,,,0.19,1.24,2.15,12.25
1990-01-18,,,0.19,0.49,0.0,10.66
1990-01-19,,,0.19,0.89,0.0,10.6
1990-01-20,,,0.19,1.12,0.09,11.36
1990-01-21,,,0.19,1.2,0.0,11.64
1990-01-22,,,0.19,0.64,0.0,10.0
1990-01-23,,,0.19,1.45,0.0,10.47
1990-01-24,,,0.18,1.42,0.0,11.14
1990-01-25,,,0.19,1.68,0.0,13.59
1990-01-26,,,0.19,1.13,0.05,14.01
1990-01-27,,,0.2,0.97,0.29,13.8
1990-01-28,,,0.2,1.06,9.22,13.06
1990-01-29,,,0.19,0.62,3.8,9.0
1990-01-30,,,0.19,1.67,2.27,11.97
1990-01-31,,,0.19,0.94,0.08,13.07
1990-02-01,,,0.19,0.66,1.87,10.89
1990-02-02,,,0.19,1.15,0.1,11.43
1990-02-03,,,0.19,1.25,0.0,12.4
1990-02-04,,,0.19,1.13,0.0,12.77
1990-02-05,,,0.18,1.29,0.0,13.41
1990-02-06,,,0.19,1.64,0.0,14.19
1990-02-07,,,0.19,0.98,0.0,13.81
1990-02-08,,,0.19,1.62,0.0,16.39
1990-02-09,,,0.19,1.35,0.0,13.97
1990-02-10,,,0.19,1.49,0.0,13.43
1990-02-11,,,0.18,1.34,0.0,13.27
1990-02-12,,,0.18,1.68,0.0,12.46
1990-02-13,,,0.18,2.2,0.0,12.8
1990-02-14,,,0.18,1.76,0.0,12.84
1990-02-15,,,0.18,2.68,0.0,14.93
1990-02-16,,,0.18,1.95,0.0,13.32
1990-02-17,,,0.19,1.79,0.0,13.38
1990-02-18,,,0.19,1.53,0.0,12.39
1990-02-19,,,0.18,1.1,0.0,12.45
1990-02-20,,,0.18,2.38,0.0,14.52
1990-02-21,,,0.18,2.15,0.0,14.48
1990-02-22,,,0.18,2.57,0.0,15.03
1990-02-23,,,0.18,2.93,0.0,14.92
1990-02-24,,,0.18,2.19,0.0,14.36
1990-02-25,,,0.18,2.09,0.0,13.49
1990-02-26,,,0.18,2.04,0.0,13.69
1990-02-27,,,0.18,3.06,0.0,15.24
1990-02-28,,,0.18,2.61,0.0,15.53
1990-03-01,,,0.18,1.78,0.0,14.75
1990-03-02,,,0.18,1.95,0.0,14.11
1990-03-03,,,0.18,1.84,0.03,14.44
1990-03-04,,,0.18,3.21,4.29,12.35
1990-03-05,,,0.18,3.5,1.55,13.65
1990-03-06,,,0.18,2.79,0.18,13.54
1990-03-07,,,0.18,2.51,1.67,13.83
1990-03-08,,,0.19,2.07,0.32,14.08
1990-03-09,,,0.19,1.23,3.36,13.32
1990-03-10,,,0.18,1.78,1.77,14.1
1990-03-11,,,0.18,2.93,0.2,15.17
1990-03-12,,,0.18,2.25,0.0,15.33
1990-03-13,,,0.18,2.03,0.25,15.06
1990-03-14,,,0.18,2.42,0.0,15.2
1990-03-15,,,0.18,3.36,0.0,15.99
1990-03-16,,,0.17,2.84,0.0,15.56
1990-03-17,,,0.18,4.42,0.0,16.14
1990-03-18,,,0.18,3.68,0.0,15.1
