date,level,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,3.2,,,
1990-01-02,,,0.27,0.29,2.1,13.01
1990-01-03,,,0.37,0.23,8.54,13.51
1990-01-04,,,0.28,0.53,11.3,9.98
1990-01-05,,,0.23,1.16,0.28,11.15
1990-01-06,,,0.23,1.29,0.0,14.05
1990-01-07,,,0.23,0.86,0.0,11.98
1990-01-08,,,0.22,0.61,0.0,12.18
1990-01-09,,,0.21,1.21,0.0,13.2
1990-01-10,,,0.24,1.67,1.79,12.55
1990-01-11,,,0.31,0.62,6.93,11.04
1990-01-12,,,0.28,0.64,9.63,10.29
1990-01-13,,,0.25,0.58,2.13,11.66
1990-01-14,,,0.22,0.49,0.39,11.33
1990-01-15,,,0.22,0.94,0.0,11.93
1990-01-16,,,0.23,0.74,0.0,12.75
1990-01-17,,,0.24,1.21,3.75,12.48
1990-01-18,,,0.22,0.55,0.0,11.05
1990-01-19,,,0.22,1.07,0.0,11.19
1990-01-20,,,0.21,1.12,0.19,12.5
1990-01-21,,,0.22,1.3,0.0,12.52
1990-01-22,,,0.21,0.62,0.0,10.8
1990-01-23,,,0.21,1.69,0.0,11.55
1990-01-24,,,0.2,1.65,0.0,12.12
1990-01-25,,,0.21,1.94,0.0,14.25
1990-01-26,,,0.21,1.22,0.0,14.27
1990-01-27,,,0.22,0.96,0.05,13.65
1990-01-28,,,0.26,1.07,2.99,13.28
1990-01-29,,,0.23,0.76,5.0,9.66
1990-01-30,,,0.22,2.04,1.05,12.48
1990-01-31,,,0.23,1.01,0.08,13.05
1990-02-01,,,0.22,0.57,2.4,11.0
1990-02-02,,,0.21,1.33,0.13,11.66
1990-02-03,,,0.21,1.6,0.0,13.26
1990-02-04,,,0.21,1.3,0.0,13.36
1990-02-05,,,0.21,1.38,0.0,13.5
1990-02-06,,,0.22,1.4,0.0,13.93
1990-02-07,,,0.21,0.83,0.0,13.37
1990-02-08,,,0.21,1.87,0.0,16.3
1990-02-09,,,0.21,1.29,0.0,14.09
1990-02-10,,,0.21,1.48,0.0,13.3
1990-02-11,,,0.2,1.58,0.0,14.08
1990-02-12,,,0.2,2.0,0.0,13.09
1990-02-13,,,0.2,2.37,0.0,12.85
1990-02-14,,,0.19,2.0,0.0,13.1
1990-02-15,,,0.2,2.88,0.0,15.55
1990-02-16,,,0.21,1.81,0.0,13.77
1990-02-17,,,0.21,1.57,0.0,12.7
1990-02-18,,,0.21,1.72,0.0,12.73
1990-02-19,,,0.2,1.1,0.0,12.71
1990-02-20,,,0.2,2.18,0.0,14.14
1990-02-21,,,0.2,2.0,0.0,14.15
1990-02-22,,,0.19,2.24,0.0,14.33
1990-02-23,,,0.2,2.63,0.0,14.34
1990-02-24,,,0.2,2.05,0.0,13.96
1990-02-25,,,0.2,2.16,0.0,13.23
1990-02-26,,,0.18,2.25,0.0,14.22
1990-02-27,,,0.19,3.21,0.0,15.89
1990-02-28,,,0.2,2.52,0.0,15.55
1990-03-01,,,0.2,1.89,0.0,14.73
1990-03-02,,,0.2,2.2,0.0,14.6
1990-03-03,,,0.2,2.05,0.0,14.75
1990-03-04,,,0.2,2.58,6.09,11.98
1990-03-05,,,0.2,2.7,2.44,12.9
1990-03-06,,,0.21,2.23,0.31,13.03
1990-03-07,,,0.21,1.99,2.98,13.37
1990-03-08,,,0.25,1.66,0.38,13.52
1990-03-09,,,0.24,1.15,5.33,12.9
1990-03-10,,,0.21,1.76,2.17,14.03
1990-03-11,,,0.2,2.26,0.3,14.68
1990-03-12,,,0.2,1.97,0.0,14.65
1990-03-13,,,0.19,2.27,0.08,15.13
1990-03-14,,,0.18,2.52,0.0,15.24
1990-03-15,,,0.19,3.31,0.0,16.01
1990-03-16,,,0.17,2.4,0.0,14.75
1990-03-17,,,0.18,3.73,0.0,15.66
1990-03-18,,,0.18,3.07,0.0,14.59
1990-03-19,,,0.19,2.8,0.0,15.0
1990-03-20,,,0.18,2.59,0.0,14.63
1990-03-21,,,0.17,2.84,0.0,14.38
1990-03-22,,,0.18,3.39,0.0,14.47
1990-03-23,,,0.15,3.17,0.0,14.31
1990-03-24,,,0.18,3.64,0.01,15.91
1990-03-25,,,0.15,2.59,0.0,14.28
1990-03-26,,,0.16,4.17,0.0,15.66
1990-03-27,,,0.17,3.5,0.0,14.76
1990-03-28,,,0.17,3.2,0.0,14.66
1990-03-29,,,0.15,3.48,0.0,14.12
1990-03-30,,,0.17,4.05,0.0,13.65
1990-03-31,,,0.34,2.86,5.53,12.77
1990-04-01,,,0.43,2.38,20.69,14.28
1990-04-02,,,0.29,2.44,17.41,14.69
1990-04-03,,,0.21,2.83,3.15,13.22
1990-04-04,,,0.2,3.94,0.0,13.54
1990-04-05,,,0.23,3.33,0.0,15.02
1990-04-06,,,0.22,1.97,12.04,14.12
1990-04-07,,,0.19,2.56,1.57,12.57
1990-04-08,,,0.23,3.86,1.24,14.3
1990-04-09,,,0.22,2.37,11.21,12.54
1990-04-10,,,0.2,3.87,4.99,14.06
1990-04-11,,,0.18,3.77,0.25,13.19
1990-04-12,,,0.15,4.42,0.0,13.4
1990-04-13,,,0.18,5.22,0.0,15.92
1990-04-14,,,0.15,3.02,0.0,14.79
1990-04-15,,,0.11,4.97,0.0,15.15
1990-04-16,,,0.15,5.86,0.0,16.91
1990-04-17,,,0.18,4.48,0.0,16.2
1990-04-18,,,0.17,3.51,0.0,15.13
1990-04-19,,,0.17,4.14,0.0,15.83
1990-04-20,,,0.13,4.16,0.0,15.82
1990-04-21,,,0.13,5.35,0.0,14.54
1990-04-22,,,0.14,4.69,0.0,12.58
1990-04-23,,,0.11,4.67,0.41,12.86
1990-04-24,,,0.14,5.65,0.0,14.45
1990-04-25,,,0.14,4.42,0.0,14.98
1990-04-26,,,0.13,4.98,0.0,16.21
1990-04-27,,,0.24,4.88,0.89,15.48
1990-04-28,,,0.44,3.4,21.59,14.34
1990-04-29,,,0.34,2.97,20.32,14.93
1990-04-30,,,0.28,2.74,10.49,14.67
1990-05-01,,,0.22,2.39,8.4,14.27
1990-05-02,,,0.2,3.98,0.2,16.08
