date,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,3.59,,,
1990-01-02,,0.8,0.17,0.0,2.69
1990-01-03,,0.79,0.0,0.1,1.12
1990-01-04,,0.78,0.22,0.6,3.51
1990-01-05,,0.77,0.0,0.02,2.6
1990-01-06,,0.76,0.01,0.0,2.34
1990-01-07,,0.76,0.1,1.2,0.65
1990-01-08,,0.77,0.17,1.4,2.52
1990-01-09,,0.76,0.02,0.12,2.65
1990-01-10,,0.75,0.0,0.0,0.34
1990-01-11,,0.75,0.0,0.1,-0.15
1990-01-12,,0.75,0.0,0.0,-0.78
1990-01-13,,0.75,0.08,0.0,2.32
1990-01-14,,0.75,0.0,0.3,-2.01
1990-01-15,,0.75,0.0,0.11,0.19
1990-01-16,,0.75,0.0,0.1,-0.67
1990-01-17,,0.75,0.0,0.1,-1.3
1990-01-18,,0.75,0.1,0.3,-0.99
1990-01-19,,0.75,0.17,0.34,-1.54
1990-01-20,,0.75,0.0,0.0,-3.08
1990-01-21,,0.75,0.09,0.0,-0.3
1990-01-22,,0.75,0.14,0.0,-0.3
1990-01-23,,0.74,0.01,0.0,-3.03
1990-01-24,,0.75,0.08,0.0,-1.04
1990-01-25,,0.8,0.25,0.04,3.79
1990-01-26,,0.87,0.65,0.37,8.26
1990-01-27,,0.83,0.14,1.0,4.41
1990-01-28,,0.86,0.21,1.32,4.72
1990-01-29,,0.85,0.35,0.77,0.64
1990-01-30,,0.82,0.33,0.3,3.2
1990-01-31,,0.8,0.45,0.0,4.09
1990-02-01,,0.8,0.2,7.9,2.79
1990-02-02,,0.77,0.45,0.3,3.72
1990-02-03,,0.75,0.12,0.0,4.2
1990-02-04,,0.74,0.11,0.0,4.15
1990-02-05,,0.74,0.39,0.0,4.18
1990-02-06,,0.74,0.19,0.0,5.51
1990-02-07,,0.74,0.24,0.0,3.85
1990-02-08,,0.74,0.29,0.0,6.51
1990-02-09,,0.74,0.27,0.0,7.21
1990-02-10,,0.79,0.19,0.0,7.92
1990-02-11,,0.89,0.37,0.12,7.54
1990-02-12,,1.01,1.09,0.12,6.49
1990-02-13,,1.33,0.91,0.48,6.48
1990-02-14,,1.26,0.64,0.04,7.47
1990-02-15,,1.24,1.46,0.0,9.31
1990-02-16,,1.17,0.8,0.0,8.43
1990-02-17,,1.1,0.52,0.0,8.37
1990-02-18,,1.03,0.51,0.0,5.95
1990-02-19,,0.96,0.7,0.0,7.17
1990-02-20,,0.91,0.87,0.0,7.65
1990-02-21,,0.87,0.64,4.0,8.48
1990-02-22,,0.82,0.57,0.2,5.11
1990-02-23,,0.78,1.12,0.0,7.52
1990-02-24,,0.76,1.63,0.0,9.45
1990-02-25,,0.75,1.59,0.0,8.95
1990-02-26,,0.74,0.71,0.0,7.0
1990-02-27,,0.7,0.92,0.0,7.54
1990-02-28,,0.73,1.26,0.01,10.21
1990-03-01,,0.71,0.95,0.0,8.72
1990-03-02,,0.73,1.01,0.03,6.82
1990-03-03,,0.7,0.74,0.0,0.74
1990-03-04,,0.72,1.54,0.0,-1.25
1990-03-05,,0.72,1.52,0.0,0.85
1990-03-06,,0.72,1.51,0.0,1.46
1990-03-07,,0.72,1.79,0.0,3.72
1990-03-08,,0.73,1.79,0.0,7.8
1990-03-09,,0.7,0.8,1.39,5.39
1990-03-10,,0.7,1.4,0.1,8.15
1990-03-11,,0.72,1.68,0.0,7.38
1990-03-12,,0.72,1.47,0.0,12.18
1990-03-13,,0.7,1.2,0.0,9.19
1990-03-14,,0.7,1.71,0.0,11.34
1990-03-15,,0.7,1.29,0.0,7.91
1990-03-16,,0.7,2.12,0.0,7.38
1990-03-17,,0.7,2.59,0.0,9.44
1990-03-18,,0.72,2.43,0.0,8.71
1990-03-19,,0.7,1.68,0.0,7.63
1990-03-20,,0.7,2.16,0.0,7.95
1990-03-21,,0.69,2.38,0.0,9.3
1990-03-22,,0.69,3.17,0.0,12.68
1990-03-23,,0.72,3.11,0.01,13.8
1990-03-24,,0.73,1.16,0.01,8.95
1990-03-25,,0.69,0.94,0.01,6.07
1990-03-26,,0.7,2.42,0.02,7.12
1990-03-27,,0.69,1.62,0.0,2.68
1990-03-28,,0.69,2.27,0.0,4.22
1990-03-29,,0.69,2.41,0.0,4.37
1990-03-30,,0.69,2.1,0.0,3.54
1990-03-31,,0.7,2.44,0.0,4.76
1990-04-01,,0.72,1.98,0.0,7.53
1990-04-02,,0.72,1.18,0.7,6.3
1990-04-03,,0.72,1.47,0.03,7.09
1990-04-04,,0.72,1.65,0.01,5.45
1990-04-05,,0.74,1.67,12.58,6.22
1990-04-06,,0.74,1.28,12.46,7.45
1990-04-07,,0.74,1.64,2.9,7.69
1990-04-08,,0.75,1.66,0.1,5.72
1990-04-09,,0.83,1.76,1.88,7.02
1990-04-10,,0.79,1.36,0.12,4.93
1990-04-11,,0.75,2.72,0.0,5.43
1990-04-12,,0.73,2.7,0.02,10.2
1990-04-13,,0.73,2.41,0.0,10.17
1990-04-14,,0.74,1.78,0.15,7.4
1990-04-15,,0.75,2.19,0.02,6.52
1990-04-16,,0.76,2.02,0.06,6.44
1990-04-17,,0.77,2.46,0.0,6.51
1990-04-18,,0.85,2.03,0.07,5.75
1990-04-19,,0.96,2.5,0.1,6.35
1990-04-20,,0.97,1.95,0.04,5.79
1990-04-21,,0.94,1.82,0.01,2.81
1990-04-22,,0.91,2.09,2.2,4.42
1990-04-23,,0.89,2.52,1.3,6.5
1990-04-24,,0.86,2.1,0.4,7.48
1990-04-25,,0.85,2.25,0.0,8.14
1990-04-26,,0.82,2.47,1.99,7.44
1990-04-27,,0.78,3.41,0.1,8.99
1990-04-28,,0.75,3.85,0.0,9.76
1990-04-29,,0.72,3.76,0.0,10.65
1990-04-30,,0.71,4.47,0.0,12.6
1990-05-01,,0.7,3.16,0.0,11.51
1990-05-02,,0.69,3.22,0.0,10.84
1990-05-03,,0.68,4.1,0.0,10.14
1990-05-04,,0.69,4.72,0.0,12.08
1990-05-05,,0.68,3.91,0.0,11.98
1990-05-06,,0.68,4.72,0.0,13.07
1990-05-07,,0.68,4.58,0.0,12.96
1990-05-08,,0.69,4.04,0.0,14.39
1990-05-09,,0.69,3.48,0.3,13.62
1990-05-10,,0.7,2.91,0.7,13.32
1990-05-11,,0.68,2.83,0.0,12.27
1990-05-12,,0.7,3.81,0.0,12.87
1990-05-13,,0.72,3.59,4.64,15.12
1990-05-14,,0.69,2.67,0.2,11.6
1990-05-15,,0.68,4.56,0.0,15.2
1990-05-16,,0.68,5.22,0.0,16.6
1990-05-17,,0.69,4.57,0.0,18.16
1990-05-18,,0.71,4.21,4.8,17.96
1990-05-19,,0.69,3.11,0.4,12.6
1990-05-20,,0.69,3.97,5.58,17.32
1990-05-21,,0.94,3.81,0.23,16.28
1990-05-22,,1.37,2.5,15.52,14.65
1990-05-23,,1.6,3.03,34.35,13.29
1990-05-24,,1.84,2.66,9.09,12.34
1990-05-25,,1.82,2.58,0.42,11.15
1990-05-26,,1.73,4.15,0.1,15.05
1990-05-27,,1.65,3.8,0.0,16.44
1990-05-28,,1.54,3.68,0.5,12.67
1990-05-29,,1.47,6.15,0.0,13.43
1990-05-30,,1.39,5.36,0.0,15.75
1990-05-31,,1.31,4.31,0.0,14.74
1990-06-01,,1.24,5.14,0.0,15.11
1990-06-02,,1.17,5.03,0.01,17.57
1990-06-03,,1.1,4.68,0.0,16.91
1990-06-04,,1.14,6.66,0.06,17.79
1990-06-05,,1.21,2.76,13.42,14.96
1990-06-06,,1.18,2.22,1.2,12.49
1990-06-07,,1.11,3.07,0.0,13.45
1990-06-08,,1.05,4.21,0.0,17.79
1990-06-09,,0.98,3.21,0.0,13.12
1990-06-10,,0.92,4.56,0.0,14.52
1990-06-11,,1.37,5.07,0.0,14.96
1990-06-12,,1.55,1.79,24.37,10.55
1990-06-13,,1.47,3.46,1.1,14.12
1990-06-14,,1.51,3.08,7.87,14.91
1990-06-15,,1.51,2.09,5.23,13.4
1990-06-16,,1.44,4.76,0.2,15.47
1990-06-17,,1.39,4.23,0.3,16.6
1990-06-18,,1.33,2.31,6.97,15.83
1990-06-19,,1.31,4.39,0.3,16.94
1990-06-20,,1.35,3.1,7.17,16.36
1990-06-21,,1.3,2.99,1.1,14.94
1990-06-22,,1.24,3.9,0.0,17.56
1990-06-23,,1.16,2.79,0.0,15.43
1990-06-24,,1.1,5.19,0.0,18.59
1990-06-25,,1.01,3.6,0.0,19.69
1990-06-26,,0.96,6.09,0.0,21.28
1990-06-27,,0.92,4.31,0.2,20.84
1990-06-28,,0.88,2.59,0.42,18.34
1990-06-29,,0.82,3.22,0.0,19.54
1990-06-30,,0.78,5.07,0.0,20.46
1990-07-01,,0.75,3.4,0.0,18.41
1990-07-02,,0.73,4.83,0.0,15.86
1990-07-03,,0.71,3.81,0.0,17.89
1990-07-04,,0.69,4.19,0.0,14.67
1990-07-05,,0.69,6.74,0.0,18.5
1990-07-06,,0.68,4.1,0.01,17.2
1990-07-07,,0.67,5.49,0.0,15.7
1990-07-08,,0.66,6.78,0.0,18.23
1990-07-09,,0.66,7.63,0.0,21.45
1990-07-10,,0.64,6.67,0.0,20.88
1990-07-11,,0.66,9.31,0.0,18.52
1990-07-12,,0.67,7.2,0.0,18.72
1990-07-13,,0.67,6.76,0.0,19.23
1990-07-14,,0.69,7.13,0.0,21.26
1990-07-15,,0.69,3.88,5.8,19.92
1990-07-16,,0.67,3.25,0.3,17.51
1990-07-17,,0.67,5.74,0.0,21.84
1990-07-18,,0.66,6.04,0.0,21.61
1990-07-19,,0.66,8.15,0.0,23.27
1990-07-20,,0.67,7.52,0.0,23.4
1990-07-21,,0.66,7.08,0.0,23.76
1990-07-22,,0.67,7.96,0.0,25.33
1990-07-23,,0.69,6.52,0.0,24.31
1990-07-24,,0.67,3.79,0.0,21.31
1990-07-25,,0.66,6.4,0.0,22.89
1990-07-26,,0.67,7.27,0.0,23.63
1990-07-27,,0.67,5.3,0.0,21.17
1990-07-28,,1.09,6.03,0.0,21.93
1990-07-29,,1.38,1.79,6.93,15.05
1990-07-30,,1.27,5.03,0.3,17.59
1990-07-31,,1.19,6.36,0.0,21.15
1990-08-01,,1.11,6.56,0.0,23.46
1990-08-02,,1.04,6.44,0.0,22.66
1990-08-03,,0.98,6.75,0.3,23.35
1990-08-04,,0.91,5.62,0.0,22.96
1990-08-05,,0.83,6.53,0.0,24.94
1990-08-06,,0.79,6.85,0.0,23.62
1990-08-07,,0.72,3.85,0.0,17.7
1990-08-08,,0.68,5.53,0.0,17.09
1990-08-09,,0.68,6.61,0.0,17.36
1990-08-10,,0.68,5.65,0.0,19.35
1990-08-11,,0.68,5.63,0.0,21.06
1990-08-12,,0.68,5.0,0.0,22.83
1990-08-13,,0.68,4.0,3.7,21.02
1990-08-14,,0.68,4.31,0.2,20.66
1990-08-15,,0.67,3.72,0.0,19.83
1990-08-16,,0.67,5.52,0.0,19.93
1990-08-17,,0.67,5.63,0.0,19.96
1990-08-18,,0.67,4.97,0.0,18.34
1990-08-19,,0.69,5.38,0.0,17.85
1990-08-20,,0.71,5.65,0.35,21.62
1990-08-21,,0.67,4.03,0.0,21.24
1990-08-22,,0.67,5.81,0.0,21.19
1990-08-23,,0.68,5.97,0.0,21.35
1990-08-24,,0.69,4.98,0.0,21.22
1990-08-25,,0.72,4.26,0.08,21.02
1990-08-26,,0.71,4.04,0.04,19.2
1990-08-27,,0.68,3.88,0.0,19.45
1990-08-28,,0.68,4.75,0.0,19.49
1990-08-29,,0.69,4.44,0.0,21.43
1990-08-30,,0.72,3.22,0.05,20.11
1990-08-31,,0.74,1.82,0.32,13.73
1990-09-01,,0.71,3.01,0.0,14.09
1990-09-02,,0.68,2.24,0.0,15.03
1990-09-03,,0.67,4.57,0.0,17.91
1990-09-04,,0.68,5.17,0.0,20.42
1990-09-05,,0.68,3.82,0.0,19.0
1990-09-06,,0.68,4.5,0.0,18.78
1990-09-07,,0.68,3.53,0.0,16.76
1990-09-08,,0.72,3.48,0.0,16.01
1990-09-09,,0.81,2.46,15.85,14.31
1990-09-10,,0.75,1.56,0.7,15.48
