date,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,0.07,,,
1990-01-02,,0.0,0.32,0.0,6.2
1990-01-03,,0.22,0.09,0.0,4.92
1990-01-04,,0.26,0.37,1.83,8.05
1990-01-05,,0.12,0.01,0.28,7.34
1990-01-06,,0.06,0.0,0.1,5.79
1990-01-07,,0.17,0.0,0.48,5.2
1990-01-08,,0.13,0.33,1.6,7.03
1990-01-09,,0.03,0.01,0.1,6.19
1990-01-10,,0.01,0.17,0.0,4.99
1990-01-11,,0.0,0.09,0.0,3.84
1990-01-12,,0.0,0.34,0.0,4.6
1990-01-13,,0.0,0.12,0.0,4.62
1990-01-14,,0.0,0.07,0.2,3.98
1990-01-15,,0.0,0.09,0.0,4.54
1990-01-16,,0.0,0.34,0.1,2.77
1990-01-17,,0.0,0.31,0.0,2.78
1990-01-18,,0.0,0.38,0.1,2.77
1990-01-19,,0.0,0.37,0.1,3.73
1990-01-20,,0.0,0.0,0.0,1.82
1990-01-21,,0.0,0.24,0.0,3.68
1990-01-22,,0.0,0.21,0.0,4.06
1990-01-23,,0.0,0.18,0.0,-0.62
1990-01-24,,0.01,0.3,0.0,0.22
1990-01-25,,0.12,0.47,0.0,5.76
1990-01-26,,0.08,0.7,0.0,11.19
1990-01-27,,0.03,0.36,0.34,8.58
1990-01-28,,0.66,0.43,0.44,7.56
1990-01-29,,0.18,0.37,3.12,5.72
1990-01-30,,0.02,0.33,0.1,5.95
1990-01-31,,0.06,0.92,0.0,8.46
1990-02-01,,0.03,0.44,2.79,8.14
1990-02-02,,0.01,1.1,0.1,6.45
1990-02-03,,0.0,0.35,0.0,8.6
1990-02-04,,0.0,0.68,0.0,8.98
1990-02-05,,0.0,0.43,0.0,7.75
1990-02-06,,0.0,0.77,0.0,11.05
1990-02-07,,0.0,0.31,0.0,8.63
1990-02-08,,0.0,0.49,0.0,10.42
1990-02-09,,0.0,0.53,0.0,10.81
1990-02-10,,0.08,0.56,0.0,11.16
1990-02-11,,0.05,0.57,0.0,10.1
1990-02-12,,0.01,1.47,0.0,10.15
1990-02-13,,0.0,3.19,0.06,13.42
1990-02-14,,0.0,2.62,0.0,12.54
1990-02-15,,0.0,2.7,0.0,13.89
1990-02-16,,0.0,2.45,0.0,13.25
1990-02-17,,0.0,0.97,0.0,10.9
1990-02-18,,0.0,0.93,0.0,10.04
1990-02-19,,0.0,1.05,0.0,9.9
1990-02-20,,0.0,0.59,0.0,9.92
1990-02-21,,0.0,1.28,1.69,11.18
1990-02-22,,0.0,0.57,0.04,8.15
1990-02-23,,0.0,1.37,0.0,10.37
1990-02-24,,0.0,1.82,0.0,12.33
1990-02-25,,0.0,1.57,0.0,11.86
1990-02-26,,0.0,0.88,0.0,10.01
1990-02-27,,0.0,1.65,0.0,10.9
1990-02-28,,0.0,3.92,0.0,15.4
1990-03-01,,0.0,2.27,0.0,13.61
1990-03-02,,0.0,2.92,0.0,12.05
1990-03-03,,0.0,1.45,0.21,5.76
1990-03-04,,0.0,2.24,0.0,4.38
1990-03-05,,0.0,1.15,0.0,4.99
1990-03-06,,0.0,1.84,0.0,5.71
1990-03-07,,0.0,2.15,0.0,7.45
1990-03-08,,0.0,2.39,0.0,11.64
1990-03-09,,0.0,1.36,1.8,10.76
1990-03-10,,0.0,2.41,0.1,13.76
1990-03-11,,0.0,2.67,0.0,13.12
1990-03-12,,0.0,1.79,0.0,12.39
1990-03-13,,0.0,1.45,0.0,12.48
1990-03-14,,0.0,2.48,0.0,14.66
1990-03-15,,0.0,2.12,0.0,12.25
1990-03-16,,0.0,2.58,0.0,12.07
1990-03-17,,0.0,3.1,0.0,13.1
1990-03-18,,0.0,2.48,0.0,12.17
1990-03-19,,0.0,1.78,0.0,11.56
1990-03-20,,0.0,2.72,0.0,12.15
1990-03-21,,0.0,2.75,0.0,12.27
1990-03-22,,0.0,3.73,0.0,15.61
1990-03-23,,0.0,3.99,0.0,18.85
1990-03-24,,0.0,1.62,0.1,13.55
1990-03-25,,0.0,1.35,0.1,11.46
1990-03-26,,0.0,2.98,0.0,11.26
1990-03-27,,0.0,3.73,0.0,6.87
1990-03-28,,0.0,3.41,0.0,8.04
1990-03-29,,0.0,4.66,0.0,7.88
1990-03-30,,0.0,3.36,0.0,7.51
1990-03-31,,0.0,3.15,0.0,9.92
1990-04-01,,0.07,2.58,0.0,11.93
1990-04-02,,0.07,1.61,1.14,10.65
1990-04-03,,0.03,1.52,0.4,10.47
1990-04-04,,0.01,4.25,0.0,11.34
1990-04-05,,0.0,2.28,3.28,11.87
1990-04-06,,0.13,1.87,4.28,13.05
1990-04-07,,0.07,2.19,4.85,12.59
1990-04-08,,0.01,2.27,0.2,9.76
1990-04-09,,0.01,2.13,3.27,9.92
1990-04-10,,0.01,1.53,0.86,8.16
1990-04-11,,0.0,4.22,0.0,8.77
1990-04-12,,0.0,4.87,0.0,15.01
1990-04-13,,0.0,5.43,0.0,14.6
1990-04-14,,0.0,2.61,2.16,12.34
1990-04-15,,0.0,2.89,0.1,10.65
1990-04-16,,0.0,2.76,0.0,10.08
1990-04-17,,0.0,3.59,0.0,11.56
1990-04-18,,0.0,4.46,0.0,10.52
1990-04-19,,0.0,4.92,0.0,10.82
1990-04-20,,0.0,5.31,0.0,11.05
1990-04-21,,0.0,3.92,0.1,8.93
1990-04-22,,0.0,2.33,0.77,7.4
1990-04-23,,0.0,2.78,0.51,8.99
1990-04-24,,0.0,2.59,0.7,10.85
1990-04-25,,0.0,3.39,0.82,11.35
1990-04-26,,0.0,3.77,0.49,11.54
1990-04-27,,0.0,4.33,0.0,12.88
1990-04-28,,0.0,5.55,0.0,14.64
1990-04-29,,0.0,4.24,0.0,14.64
1990-04-30,,0.0,3.64,0.0,15.53
1990-05-01,,0.0,4.43,0.0,15.76
1990-05-02,,0.0,2.73,0.0,13.66
1990-05-03,,0.0,6.28,0.0,14.26
1990-05-04,,0.0,6.07,0.0,15.9
1990-05-05,,0.0,5.98,0.0,15.64
1990-05-06,,0.0,6.26,0.0,15.76
1990-05-07,,0.0,5.41,0.0,16.57
1990-05-08,,0.0,6.28,0.0,18.16
1990-05-09,,0.0,4.55,2.86,17.61
1990-05-10,,0.0,4.35,0.23,16.75
1990-05-11,,0.0,3.4,0.0,15.89
1990-05-12,,0.0,4.92,0.0,17.13
1990-05-13,,0.0,4.2,2.23,17.52
1990-05-14,,0.0,3.45,0.1,16.2
1990-05-15,,0.0,6.0,0.0,19.66
1990-05-16,,0.0,6.29,0.0,21.1
1990-05-17,,0.0,6.18,0.0,21.04
1990-05-18,,0.0,6.14,1.45,21.47
1990-05-19,,0.0,5.42,0.84,19.45
1990-05-20,,0.0,4.08,3.21,19.0
1990-05-21,,1.35,4.38,3.05,20.35
1990-05-22,,1.08,3.56,15.8,18.89
1990-05-23,,1.86,3.99,12.09,18.99
1990-05-24,,0.43,2.22,10.39,15.16
1990-05-25,,0.04,3.82,0.3,15.67
1990-05-26,,0.01,5.65,0.2,20.05
1990-05-27,,0.07,3.76,0.1,20.55
1990-05-28,,0.01,3.27,1.45,16.8
1990-05-29,,0.0,7.86,0.0,18.62
1990-05-30,,0.0,5.81,0.0,20.26
1990-05-31,,0.0,5.43,0.0,19.35
1990-06-01,,0.0,6.03,0.0,18.85
1990-06-02,,0.0,6.71,0.0,20.62
1990-06-03,,0.0,6.0,0.0,20.66
1990-06-04,,0.12,5.66,0.21,21.61
1990-06-05,,0.15,4.7,8.8,20.68
1990-06-06,,0.07,2.75,0.6,17.28
1990-06-07,,0.01,4.96,0.0,18.79
1990-06-08,,0.0,4.69,0.0,22.58
1990-06-09,,0.0,5.47,0.0,18.85
1990-06-10,,0.02,4.41,0.0,18.62
1990-06-11,,3.93,4.79,0.17,19.56
1990-06-12,,0.62,1.99,21.52,15.21
1990-06-13,,0.11,4.07,1.4,18.99
1990-06-14,,0.35,3.3,6.9,19.16
1990-06-15,,0.07,2.64,3.64,18.55
1990-06-16,,0.01,5.32,0.08,20.67
1990-06-17,,0.0,5.3,0.35,21.25
1990-06-18,,0.0,2.76,2.33,20.3
1990-06-19,,0.0,5.07,0.1,22.08
1990-06-20,,0.0,4.15,2.45,21.68
1990-06-21,,0.0,3.88,0.3,20.23
1990-06-22,,0.0,4.81,0.46,22.86
1990-06-23,,0.0,3.85,0.0,20.83
1990-06-24,,0.0,5.7,0.0,22.58
1990-06-25,,0.0,4.0,0.0,24.5
1990-06-26,,0.0,6.87,0.0,26.83
1990-06-27,,0.0,4.95,0.2,25.13
1990-06-28,,0.0,3.57,0.2,23.5
1990-06-29,,0.0,3.73,0.0,24.21
1990-06-30,,0.0,6.25,0.0,25.33
1990-07-01,,0.0,3.65,0.0,23.47
1990-07-02,,0.0,5.08,0.0,20.8
1990-07-03,,0.0,4.45,0.09,23.85
1990-07-04,,0.0,5.87,0.0,20.0
1990-07-05,,0.0,7.12,0.0,23.12
1990-07-06,,0.0,4.87,0.0,22.93
1990-07-07,,0.0,5.94,0.0,20.47
1990-07-08,,0.0,6.73,0.0,22.97
1990-07-09,,0.0,6.89,0.0,25.85
1990-07-10,,0.0,6.71,0.0,25.09
1990-07-11,,0.0,10.18,0.0,22.55
1990-07-12,,0.0,8.08,0.0,22.35
1990-07-13,,0.0,8.25,0.0,22.62
1990-07-14,,0.0,9.14,0.0,24.77
1990-07-15,,0.0,6.01,3.64,24.62
1990-07-16,,0.0,5.44,0.19,22.48
1990-07-17,,0.0,6.87,0.0,26.4
1990-07-18,,0.0,8.59,0.0,27.17
1990-07-19,,0.0,9.67,0.0,27.8
1990-07-20,,0.0,8.63,0.0,27.16
1990-07-21,,0.0,7.71,0.0,26.87
1990-07-22,,0.0,7.11,0.0,27.81
1990-07-23,,0.0,7.29,0.0,27.43
1990-07-24,,0.0,6.3,0.0,27.37
1990-07-25,,0.0,7.92,0.0,27.4
1990-07-26,,0.0,8.09,0.0,27.75
1990-07-27,,0.0,7.15,0.0,26.26
1990-07-28,,3.29,7.2,0.0,26.39
1990-07-29,,0.51,3.52,5.83,21.03
1990-07-30,,0.05,7.06,0.2,22.55
1990-07-31,,0.01,7.54,0.0,25.01
1990-08-01,,0.0,7.27,0.0,26.74
1990-08-02,,0.0,8.19,0.0,27.6
1990-08-03,,0.0,8.2,0.1,27.61
1990-08-04,,0.0,6.8,0.0,26.29
1990-08-05,,0.0,6.86,0.0,28.14
1990-08-06,,0.0,7.53,0.0,28.15
1990-08-07,,0.0,8.65,0.0,24.09
1990-08-08,,0.0,4.9,0.1,21.15
1990-08-09,,0.0,6.29,0.0,23.05
1990-08-10,,0.0,6.09,0.0,23.89
1990-08-11,,0.0,6.53,0.0,25.33
1990-08-12,,0.0,5.37,0.0,26.48
1990-08-13,,0.0,4.56,1.86,25.1
1990-08-14,,0.0,6.02,2.67,26.23
1990-08-15,,0.0,4.54,0.54,23.87
1990-08-16,,0.0,5.36,0.0,23.75
1990-08-17,,0.0,6.38,0.0,24.52
