date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,282.426,14.998,48.58,,,
1990-01-02,256.753,14.998,69.93,0.34,4.81,6.41
1990-01-03,286.917,14.998,65.84,0.61,2.11,6.93
1990-01-04,281.588,14.998,64.83,0.25,0.23,5.34
1990-01-05,230.163,14.998,63.59,0.33,0.0,6.48
1990-01-06,196.92,14.998,53.06,0.38,0.0,9.06
1990-01-07,173.253,14.998,49.26,0.55,0.67,9.16
1990-01-08,164.249,14.998,45.73,0.25,0.1,5.26
1990-01-09,153.828,14.998,42.2,0.29,0.0,5.46
1990-01-10,127.999,14.998,38.82,0.24,0.0,5.26
1990-01-11,105.995,14.998,35.67,0.21,0.0,3.69
1990-01-12,104.912,14.998,32.72,0.52,0.0,4.33
1990-01-13,93.164,14.998,29.99,0.36,0.0,6.25
1990-01-14,95.082,14.998,27.42,0.26,0.0,5.92
1990-01-15,95.995,14.998,25.02,0.32,0.0,5.57
1990-01-16,94.745,14.998,22.77,0.32,0.0,5.57
1990-01-17,79.245,14.998,20.67,0.25,0.0,4.77
1990-01-18,59.999,14.998,18.72,0.41,0.0,6.03
1990-01-19,58.582,14.998,16.91,0.19,0.0,3.53
1990-01-20,42.83,14.998,15.2,0.22,0.0,3.07
1990-01-21,40.995,14.998,13.6,0.4,0.0,5.09
1990-01-22,40.995,14.998,12.13,0.4,0.0,5.01
1990-01-23,40.995,14.998,10.75,0.44,0.0,4.83
1990-01-24,40.995,14.998,9.5,0.77,0.0,10.43
1990-01-25,40.246,14.998,8.88,0.76,0.01,10.81
1990-01-26,32.002,14.998,8.78,0.9,0.59,11.25
1990-01-27,37.085,14.998,9.55,0.79,0.71,9.61
1990-01-28,121.747,14.998,19.09,1.1,8.56,8.7
1990-01-29,423.495,14.998,23.96,0.57,1.05,4.4
1990-01-30,263.586,14.998,29.65,1.17,5.01,7.45
1990-01-31,262.836,14.998,32.39,0.85,0.18,9.52
1990-02-01,297.415,14.998,36.54,1.01,5.42,5.96
1990-02-02,215.086,14.998,37.53,0.87,0.34,8.5
1990-02-03,226.084,14.998,37.54,1.06,0.98,11.02
1990-02-04,213.745,14.998,35.77,0.59,0.06,9.24
1990-02-05,186.503,14.998,33.02,0.52,0.0,8.88
1990-02-06,155.587,14.998,30.35,1.19,1.47,11.09
1990-02-07,121.663,14.998,29.84,1.14,1.28,10.88
1990-02-08,161.5,14.998,28.18,0.88,0.0,11.27
1990-02-09,151.245,14.998,25.58,0.61,0.0,12.18
1990-02-10,99.587,14.998,22.79,0.58,0.0,12.44
1990-02-11,107.579,14.998,19.32,0.85,0.0,10.68
1990-02-12,123.582,14.998,16.8,1.41,0.0,10.2
1990-02-13,105.581,14.998,14.55,1.68,0.0,9.92
1990-02-14,78.337,14.998,12.5,1.49,0.0,10.34
1990-02-15,74.079,14.998,10.6,1.19,0.0,9.5
1990-02-16,107.997,14.998,9.02,1.06,0.0,9.38
1990-02-17,107.914,14.998,7.81,0.93,0.0,7.83
