date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1990-01-01,,,10.74,,,
1990-01-02,,,1.0,0.32,0.3,9.05
1990-01-03,,,2.36,1.48,5.27,7.45
1990-01-04,,,3.35,0.34,6.47,7.23
1990-01-05,,,2.8,0.43,1.6,8.69
1990-01-06,,,5.89,0.57,3.53,10.83
1990-01-07,,,6.77,0.25,21.9,7.08
1990-01-08,,,4.44,0.14,0.51,6.84
1990-01-09,,,3.13,0.35,0.0,7.84
1990-01-10,,,2.26,0.34,0.0,7.25
1990-01-11,,,1.65,0.14,0.0,7.6
1990-01-12,,,1.22,0.72,0.0,7.41
1990-01-13,,,0.93,0.69,0.0,7.71
1990-01-14,,,0.82,0.59,1.49,9.12
1990-01-15,,,0.7,0.17,0.4,9.13
1990-01-16,,,0.55,0.03,0.0,7.49
1990-01-17,,,0.47,0.35,0.1,8.87
1990-01-18,,,0.48,0.45,1.17,8.85
1990-01-19,,,0.4,0.28,0.0,7.18
1990-01-20,,,0.32,0.33,0.0,7.5
1990-01-21,,,0.26,0.58,0.0,7.4
1990-01-22,,,0.27,1.1,0.6,9.65
1990-01-23,,,0.51,0.94,1.18,10.67
1990-01-24,,,2.3,0.99,5.48,11.97
1990-01-25,,,3.04,0.07,3.59,11.58
1990-01-26,,,3.23,0.45,11.4,9.69
1990-01-27,,,5.18,0.72,4.57,8.6
1990-01-28,,,6.44,0.39,21.14,7.03
1990-01-29,,,7.74,0.57,1.18,7.32
1990-01-30,,,8.63,0.95,23.48,8.23
1990-01-31,,,9.64,1.08,11.51,9.55
1990-02-01,,,12.89,1.42,12.1,7.21
1990-02-02,,,13.42,0.89,33.69,8.97
1990-02-03,,,10.32,0.9,16.58,10.35
1990-02-04,,,7.27,0.64,0.99,8.6
1990-02-05,,,5.46,0.9,0.0,11.15
1990-02-06,,,4.91,1.52,7.37,12.21
1990-02-07,,,5.09,2.31,6.53,11.22
1990-02-08,,,5.63,1.59,15.18,12.76
1990-02-09,,,5.21,0.54,7.7,11.45
1990-02-10,,,4.46,0.65,3.8,12.67
1990-02-11,,,4.31,0.54,4.15,9.15
1990-02-12,,,4.38,1.51,8.85,9.42
1990-02-13,,,3.52,0.61,2.68,10.91
1990-02-14,,,2.66,0.78,0.33,10.24
1990-02-15,,,1.98,1.38,0.0,10.91
1990-02-16,,,1.55,0.96,0.53,10.69
1990-02-17,,,1.17,0.87,0.0,11.54
1990-02-18,,,2.66,1.38,0.4,11.36
1990-02-19,,,3.93,1.02,10.96,10.22
1990-02-20,,,3.24,1.67,0.2,13.93
1990-02-21,,,3.34,0.6,7.61,11.52
1990-02-22,,,2.45,0.88,0.2,11.8
1990-02-23,,,1.78,1.82,0.0,16.29
1990-02-24,,,1.56,2.09,0.0,16.05
1990-02-25,,,1.81,1.02,5.46,11.55
1990-02-26,,,1.72,1.44,1.23,11.48
1990-02-27,,,1.89,0.81,1.83,11.14
1990-02-28,,,1.8,0.76,0.64,11.53
1990-03-01,,,1.53,0.65,2.35,9.75
1990-03-02,,,1.19,1.26,0.47,7.48
1990-03-03,,,0.89,2.46,0.1,8.41
1990-03-04,,,0.67,3.43,0.0,7.23
1990-03-05,,,0.53,3.07,0.0,9.91
1990-03-06,,,0.41,1.43,0.0,10.33
1990-03-07,,,0.51,2.19,0.0,12.25
1990-03-08,,,1.05,1.36,5.35,13.75
1990-03-09,,,1.03,1.02,1.83,10.35
1990-03-10,,,0.79,1.59,0.0,10.45
1990-03-11,,,0.6,2.36,0.0,14.49
1990-03-12,,,0.47,1.47,0.1,14.0
1990-03-13,,,0.48,1.98,0.0,14.19
1990-03-14,,,0.74,0.99,1.88,9.65
1990-03-15,,,0.62,1.9,0.0,10.94
1990-03-16,,,0.47,1.89,0.0,13.66
1990-03-17,,,0.37,2.43,0.0,16.82
1990-03-18,,,0.29,2.99,0.0,16.22
1990-03-19,,,0.24,3.05,0.0,16.61
1990-03-20,,,0.2,3.14,0.0,16.7
1990-03-21,,,0.18,3.09,0.0,16.16
1990-03-22,,,0.17,2.56,0.0,15.81
1990-03-23,,,0.19,1.21,0.4,11.63
1990-03-24,,,0.23,1.85,0.0,10.14
1990-03-25,,,0.46,2.35,1.81,10.1
1990-03-26,,,0.42,3.2,0.0,9.99
1990-03-27,,,0.33,2.94,0.0,9.25
1990-03-28,,,0.27,3.17,0.0,8.86
1990-03-29,,,0.22,3.32,0.0,9.61
1990-03-30,,,0.18,3.71,0.0,10.82
1990-03-31,,,0.17,4.23,0.0,10.9
1990-04-01,,,0.85,3.92,0.9,15.23
1990-04-02,,,3.23,3.95,13.39,15.02
1990-04-03,,,3.92,0.34,12.58,9.57
1990-04-04,,,3.1,2.09,1.07,8.85
1990-04-05,,,2.75,1.61,3.91,8.24
1990-04-06,,,2.99,1.88,2.9,8.66
1990-04-07,,,3.28,1.13,12.03,7.64
1990-04-08,,,2.41,2.09,0.3,10.01
1990-04-09,,,1.76,2.88,0.0,11.42
1990-04-10,,,1.31,2.95,0.1,8.51
1990-04-11,,,0.98,1.75,0.26,9.86
