time,Surface Water Area (km2)
1985-03-05T10:32:00,31.60
1985-03-14T10:26:00,25.54
1985-04-15T10:26:00,23.12
1985-05-08T10:32:00,21.58
1985-06-09T10:32:00,12.23
1985-06-25T10:32:00,7.49
1986-06-12T10:26:00,5.32
1986-11-12T10:14:00,13.03
1986-11-28T10:14:00,27.67
1987-01-06T10:21:00,25.13
1987-01-22T10:22:00,21.56
1987-03-11T10:23:00,7.18
1987-03-27T10:24:00,8.45
1987-04-12T10:25:00,10.44
1987-05-14T10:25:00,7.00
1987-05-30T10:26:00,6.13
1988-02-26T10:31:00,16.18
1988-03-29T10:32:00,13.71
1988-04-30T10:32:00,11.63
1988-06-01T10:32:00,11.50
1988-08-04T10:32:00,11.79
1989-02-12T10:32:00,15.23
1989-03-09T10:25:00,13.26
1989-04-01T10:31:00,18.08
1989-04-17T10:31:00,13.34
1989-06-04T10:30:00,12.13
1989-06-20T10:29:00,10.90
1990-01-23T10:18:00,55.69
1990-02-24T10:17:00,52.15
1990-03-28T10:16:00,50.96
1990-04-13T10:16:00,54.00
1990-04-20T10:22:00,52.02
1990-05-06T10:22:00,52.05
1990-05-15T10:16:00,51.47
1990-05-22T10:22:00,51.56
1990-06-07T10:22:00,50.68
1990-12-16T10:21:00,61.63
1991-04-23T10:24:00,53.63
1991-05-02T10:18:00,54.09
1991-05-09T10:24:00,51.72
1991-05-10T10:15:00,51.48
1991-05-25T10:24:00,50.89
1991-11-01T10:26:00,39.90
1991-11-17T10:26:00,42.16
1991-12-12T10:20:00,51.15
1992-02-05T10:26:00,42.53
1992-02-14T10:20:00,42.07
1992-02-21T10:26:00,43.26
1992-03-24T10:26:00,37.10
1992-04-18T10:19:00,34.54
1992-05-11T10:25:00,33.52
1992-06-28T10:25:00,32.57
1993-01-06T10:23:00,33.56
1993-01-22T10:23:00,29.17
1993-02-07T10:24:00,26.12
1993-02-16T10:17:00,23.38
1993-02-23T10:24:00,23.65
1993-05-30T10:24:00,24.66
1993-06-15T10:24:00,21.03
1993-10-21T10:24:00,16.62
1994-02-10T10:23:00,20.61
1994-03-07T10:16:00,21.49
1994-03-14T10:22:00,20.01
1994-03-23T10:16:00,20.07
1994-05-01T10:21:00,17.62
1994-05-10T10:15:00,17.26
1994-05-26T10:15:00,19.24
1994-06-11T10:14:00,16.89
1994-12-27T10:15:00,28.58
1995-01-12T10:14:00,20.38
1995-01-21T10:08:00,19.93
1995-02-22T10:07:00,15.84
1995-03-26T10:05:00,13.44
1995-04-02T10:11:00,13.46
1995-04-18T10:10:00,13.20
1995-12-14T10:03:00,26.30
1996-02-16T10:07:00,86.17
1996-02-25T10:02:00,84.84
1996-03-03T10:08:00,85.95
1996-03-12T10:03:00,84.83
1996-03-28T10:04:00,83.52
1996-05-22T10:13:00,80.51
1996-05-31T10:07:00,78.69
1996-06-07T10:14:00,80.14
1996-06-23T10:15:00,78.73
1996-07-09T10:16:00,75.52
1996-09-27T10:20:00,72.53
1996-11-30T10:23:00,79.26
1997-02-11T10:20:00,118.08
1997-02-18T10:27:00,116.55
1997-02-27T10:21:00,116.18
1997-03-06T10:27:00,116.83
1997-03-15T10:22:00,114.05
1997-03-31T10:22:00,113.75
1997-04-23T10:29:00,111.91
1997-05-09T10:30:00,110.91
1997-06-03T10:25:00,110.28
1997-06-19T10:25:00,110.95
1997-06-26T10:31:00,110.48
1997-07-05T10:26:00,109.10
1997-07-12T10:32:00,108.48
1997-07-21T10:26:00,109.23
1997-07-28T10:33:00,107.16
1997-08-06T10:27:00,107.29
1997-08-13T10:33:00,106.98
1997-08-29T10:34:00,106.48
1997-09-07T10:28:00,107.21
1997-09-23T10:28:00,107.18
1997-10-09T10:29:00,106.98
1997-10-16T10:35:00,106.33
1997-11-01T10:35:00,109.22
1998-01-13T10:31:00,115.08
1998-02-14T10:32:00,115.34
1998-03-02T10:32:00,112.57
1998-03-09T10:38:00,111.46
1998-03-25T10:38:00,109.49
1998-05-05T10:33:00,109.49
1998-06-13T10:40:00,108.89
1998-06-22T10:33:00,112.77
1998-06-29T10:40:00,111.15
1998-07-08T10:34:00,109.27
1998-07-15T10:40:00,108.40
1998-07-24T10:34:00,108.17
1998-07-31T10:40:00,109.25
1998-08-16T10:40:00,108.27
1998-08-25T10:34:00,109.77
1998-09-10T10:34:00,106.95
1998-10-12T10:34:00,107.33
1998-10-19T10:40:00,106.98
1998-10-28T10:34:00,107.60
1998-11-20T10:41:00,107.78
1998-11-29T10:34:00,110.39
1998-12-06T10:41:00,109.29
1998-12-15T10:34:00,110.02
1998-12-22T10:41:00,109.74
1999-01-07T10:41:00,111.56
1999-01-16T10:34:00,110.16
1999-03-21T10:34:00,105.21
1999-03-28T10:40:00,105.23
1999-04-06T10:34:00,105.05
1999-04-13T10:40:00,104.27
1999-05-08T10:34:00,103.38
1999-05-15T10:40:00,103.81
1999-05-24T10:34:00,101.45
1999-07-02T10:39:00,102.91
1999-07-10T10:54:00,100.82
1999-07-18T10:39:00,100.04
1999-08-27T10:55:00,95.19
1999-09-12T10:55:00,94.80
1999-09-28T10:55:00,93.68
1999-09-29T10:32:00,94.41
1999-10-15T10:32:00,94.54
1999-10-31T10:32:00,89.84
1999-11-07T10:38:00,95.72
1999-11-08T10:48:00,97.49
1999-11-16T10:31:00,96.06
1999-11-23T10:37:00,97.87
1999-11-24T10:48:00,97.70
1999-12-01T10:54:00,95.36
1999-12-10T10:48:00,98.23
1999-12-17T10:55:00,100.87
1999-12-18T10:31:00,101.56
2000-01-18T10:54:00,99.31
2000-02-19T10:54:00,93.47
2000-03-06T10:54:00,96.11
2000-03-15T10:48:00,91.41
2000-05-02T10:48:00,91.95
2000-05-09T10:54:00,93.89
2000-05-18T10:48:00,92.80
2000-05-25T10:54:00,93.05
