time,Surface Water Volume (km3)
1985-03-05T10:32:00,0.18
1985-03-14T10:26:00,0.13
1985-04-15T10:26:00,0.12
1985-05-08T10:32:00,0.10
1985-06-09T10:32:00,0.04
1985-06-25T10:32:00,0.02
1986-06-12T10:26:00,0.01
1986-11-12T10:14:00,0.05
1986-11-28T10:14:00,0.15
1987-01-06T10:21:00,0.13
1987-01-22T10:22:00,0.10
1987-03-11T10:23:00,0.02
1987-03-27T10:24:00,0.03
1987-04-12T10:25:00,0.03
1987-05-14T10:25:00,0.02
1987-05-30T10:26:00,0.02
1988-02-26T10:31:00,0.07
1988-03-29T10:32:00,0.05
1988-04-30T10:32:00,0.04
1988-06-01T10:32:00,0.04
1988-08-04T10:32:00,0.04
1989-02-12T10:32:00,0.06
1989-03-09T10:25:00,0.05
1989-04-01T10:31:00,0.08
1989-04-17T10:31:00,0.05
1989-06-04T10:30:00,0.04
1989-06-20T10:29:00,0.04
1990-01-23T10:18:00,0.44
1990-02-24T10:17:00,0.39
1990-03-28T10:16:00,0.38
1990-04-13T10:16:00,0.42
1990-04-20T10:22:00,0.39
1990-05-06T10:22:00,0.39
1990-05-15T10:16:00,0.39
1990-05-22T10:22:00,0.39
1990-06-07T10:22:00,0.38
1990-12-16T10:21:00,0.51
1991-04-23T10:24:00,0.41
1991-05-02T10:18:00,0.42
1991-05-09T10:24:00,0.39
1991-05-10T10:15:00,0.39
1991-05-25T10:24:00,0.38
1991-11-01T10:26:00,0.26
1991-11-17T10:26:00,0.29
1991-12-12T10:20:00,0.38
1992-02-05T10:26:00,0.29
1992-02-14T10:20:00,0.28
1992-02-21T10:26:00,0.30
1992-03-24T10:26:00,0.24
1992-04-18T10:19:00,0.21
1992-05-11T10:25:00,0.20
1992-06-28T10:25:00,0.19
1993-01-06T10:23:00,0.20
1993-01-22T10:23:00,0.16
1993-02-07T10:24:00,0.14
1993-02-16T10:17:00,0.12
1993-02-23T10:24:00,0.12
1993-05-30T10:24:00,0.13
1993-06-15T10:24:00,0.10
1993-10-21T10:24:00,0.07
1994-02-10T10:23:00,0.10
1994-03-07T10:16:00,0.10
1994-03-14T10:22:00,0.09
1994-03-23T10:16:00,0.09
1994-05-01T10:21:00,0.08
1994-05-10T10:15:00,0.07
1994-05-26T10:15:00,0.09
1994-06-11T10:14:00,0.07
1994-12-27T10:15:00,0.16
1995-01-12T10:14:00,0.10
1995-01-21T10:08:00,0.09
1995-02-22T10:07:00,0.07
1995-03-26T10:05:00,0.05
1995-04-02T10:11:00,0.05
1995-04-18T10:10:00,0.05
1995-12-14T10:03:00,0.14
1996-02-16T10:07:00,0.84
1996-02-25T10:02:00,0.82
1996-03-03T10:08:00,0.84
1996-03-12T10:03:00,0.82
1996-03-28T10:04:00,0.80
1996-05-22T10:13:00,0.76
1996-05-31T10:07:00,0.73
1996-06-07T10:14:00,0.76
1996-06-23T10:15:00,0.73
1996-07-09T10:16:00,0.69
1996-09-27T10:20:00,0.65
1996-11-30T10:23:00,0.74
1997-02-11T10:20:00,1.36
1997-02-18T10:27:00,1.33
1997-02-27T10:21:00,1.32
1997-03-06T10:27:00,1.33
1997-03-15T10:22:00,1.29
1997-03-31T10:22:00,1.28
1997-04-23T10:29:00,1.25
1997-05-09T10:30:00,1.23
1997-06-03T10:25:00,1.22
1997-06-19T10:25:00,1.23
1997-06-26T10:31:00,1.23
1997-07-05T10:26:00,1.20
1997-07-12T10:32:00,1.19
1997-07-21T10:26:00,1.21
1997-07-28T10:33:00,1.17
1997-08-06T10:27:00,1.17
1997-08-13T10:33:00,1.17
1997-08-29T10:34:00,1.16
1997-09-07T10:28:00,1.17
1997-09-23T10:28:00,1.17
1997-10-09T10:29:00,1.17
1997-10-16T10:35:00,1.16
1997-11-01T10:35:00,1.21
1998-01-13T10:31:00,1.30
1998-02-14T10:32:00,1.31
1998-03-02T10:32:00,1.26
1998-03-09T10:38:00,1.24
1998-03-25T10:38:00,1.21
1998-05-05T10:33:00,1.21
1998-06-13T10:40:00,1.20
1998-06-22T10:33:00,1.27
1998-06-29T10:40:00,1.24
1998-07-08T10:34:00,1.21
1998-07-15T10:40:00,1.19
1998-07-24T10:34:00,1.19
1998-07-31T10:40:00,1.21
1998-08-16T10:40:00,1.19
1998-08-25T10:34:00,1.21
1998-09-10T10:34:00,1.17
1998-10-12T10:34:00,1.17
1998-10-19T10:40:00,1.17
1998-10-28T10:34:00,1.18
1998-11-20T10:41:00,1.18
1998-11-29T10:34:00,1.23
1998-12-06T10:41:00,1.21
1998-12-15T10:34:00,1.22
1998-12-22T10:41:00,1.21
1999-01-07T10:41:00,1.24
1999-01-16T10:34:00,1.22
1999-03-21T10:34:00,1.14
1999-03-28T10:40:00,1.14
1999-04-06T10:34:00,1.14
1999-04-13T10:40:00,1.12
1999-05-08T10:34:00,1.11
1999-05-15T10:40:00,1.12
1999-05-24T10:34:00,1.08
1999-07-02T10:39:00,1.10
1999-07-10T10:54:00,1.07
1999-07-18T10:39:00,1.06
1999-08-27T10:55:00,0.98
1999-09-12T10:55:00,0.97
1999-09-28T10:55:00,0.96
1999-09-29T10:32:00,0.97
1999-10-15T10:32:00,0.97
1999-10-31T10:32:00,0.90
1999-11-07T10:38:00,0.99
1999-11-08T10:48:00,1.02
1999-11-16T10:31:00,0.99
1999-11-23T10:37:00,1.02
1999-11-24T10:48:00,1.02
1999-12-01T10:54:00,0.98
1999-12-10T10:48:00,1.03
1999-12-17T10:55:00,1.07
1999-12-18T10:31:00,1.08
2000-01-18T10:54:00,1.04
2000-02-19T10:54:00,0.95
2000-03-06T10:54:00,0.99
2000-03-15T10:48:00,0.92
2000-05-02T10:48:00,0.93
2000-05-09T10:54:00,0.96
2000-05-18T10:48:00,0.94
2000-05-25T10:54:00,0.95
2000-06-10T10:54:00,0.98
2000-06-19T10:47:00,0.92
2000-06-26T10:53:00,0.98
2000-07-05T10:47:00,0.91
2000-07-12T10:53:00,0.91
2000-07-28T10:53:00,0.84
2000-11-01T10:52:00,0.71
2000-11-17T10:52:00,0.75
2000-12-12T10:46:00,0.77
2001-01-13T10:46:00,0.91
2001-01-29T10:46:00,1.04
2001-02-21T10:52:00,1.06
2001-04-03T10:46:00,1.19
2001-04-10T10:52:00,1.20
2001-04-19T10:46:00,1.17
2001-05-05T10:46:00,1.17
2001-05-28T10:51:00,1.14
2001-06-06T10:45:00,1.13
2001-06-13T10:51:00,1.13
2001-06-22T10:45:00,1.13
2001-06-29T10:51:00,1.12
2001-07-24T10:45:00,1.08
2001-08-09T10:44:00,1.08
2001-09-01T10:50:00,1.08
2001-09-10T10:44:00,1.08
2001-09-17T10:50:00,1.06
2001-09-26T10:44:00,1.07
2001-11-13T10:44:00,1.13
2001-11-20T10:50:00,1.13
2001-11-29T10:44:00,1.16
2001-12-06T10:50:00,1.17
2001-12-15T10:44:00,1.15
2002-01-07T10:50:00,1.17
2002-02-01T10:44:00,1.16
2002-02-08T10:51:00,1.11
2002-02-17T10:44:00,1.14
2002-02-24T10:51:00,1.12
2002-03-21T10:44:00,1.12
2002-04-22T10:44:00,1.12
2002-04-29T10:50:00,1.13
2002-05-24T10:44:00,1.12
2002-06-09T10:44:00,1.11
2002-06-16T10:50:00,1.15
2002-07-02T10:50:00,1.12
2002-07-11T10:44:00,1.09
2002-07-18T10:50:00,1.11
2002-08-03T10:50:00,1.09
2002-08-19T10:50:00,1.04
2002-09-04T10:50:00,1.11
2002-09-13T10:43:00,1.09
2002-09-29T10:43:00,1.11
2002-12-02T10:44:00,1.19
2003-01-10T10:50:00,1.23
2003-01-19T10:44:00,1.18
2003-01-26T10:50:00,1.24
2003-02-27T10:50:00,1.18
2003-03-08T10:44:00,1.23
2003-03-31T10:50:00,1.19
2003-04-25T10:44:00,1.21
2003-05-02T10:50:00,1.21
2003-05-11T10:44:00,1.21
2003-05-18T10:50:00,1.19
2003-05-27T10:44:00,1.17
2003-10-09T10:50:00,1.10
2003-12-12T10:50:00,1.31
2003-12-28T10:51:00,1.30
2004-05-29T10:45:00,1.29
2004-06-05T10:51:00,1.31
2004-06-30T10:44:00,1.28
2004-07-07T10:51:00,1.29
2004-07-16T10:44:00,1.24
2004-09-25T10:50:00,1.22
2004-10-04T10:44:00,1.19
2004-11-12T10:51:00,1.09
2004-12-30T10:51:00,1.23
2005-02-16T10:51:00,1.16
2005-03-04T10:51:00,1.13
2005-05-07T10:51:00,1.12
2005-05-23T10:51:00,1.12
2005-06-08T10:51:00,1.11
2005-09-28T10:51:00,0.95
2005-12-17T10:51:00,0.94
2006-01-02T10:51:00,0.97
2006-04-08T10:52:00,0.88
2006-06-11T10:52:00,0.83
2006-06-20T10:45:00,0.83
2006-08-14T10:51:00,0.71
2006-08-30T10:51:00,0.67
2006-12-20T10:52:00,0.87
2007-03-10T10:52:00,0.86
2007-05-29T10:52:00,0.91
2007-06-23T10:46:00,0.87
2007-06-30T10:52:00,0.86
2007-09-27T10:45:00,0.82
2007-10-20T10:52:00,0.82
2007-11-05T10:52:00,0.83
2008-02-09T10:52:00,0.83
2008-03-21T10:46:00,0.82
2008-06-25T10:45:00,0.77
2008-07-11T10:45:00,0.73
2008-07-18T10:51:00,0.73
2008-08-03T10:51:00,0.72
2008-08-19T10:51:00,0.69
2008-08-28T10:45:00,0.68
2008-10-06T10:50:00,0.67
2008-11-23T10:51:00,0.71
2008-12-25T10:51:00,0.78
2009-02-11T10:52:00,0.83
2009-03-31T10:52:00,0.79
2009-04-09T10:46:00,0.82
2009-05-02T10:52:00,0.77
2009-05-18T10:52:00,0.73
2009-05-27T10:46:00,0.72
2009-06-12T10:46:00,0.69
2009-09-23T10:52:00,0.58
2009-10-02T10:46:00,0.57
2009-10-09T10:52:00,0.56
2010-04-12T10:48:00,1.35
2010-04-28T10:48:00,1.36
2010-05-05T10:54:00,1.35
2010-05-21T10:54:00,1.34
2010-06-06T10:54:00,1.35
2010-06-22T10:54:00,1.32
2010-07-01T10:48:00,1.34
2010-09-10T10:54:00,1.26
2010-09-26T10:54:00,1.26
2011-02-01T10:55:00,1.42
2011-03-21T10:55:00,1.40
2011-03-30T10:49:00,1.40
2011-04-15T10:49:00,1.36
2011-05-08T10:55:00,1.35
2011-05-24T10:55:00,1.34
2011-06-02T10:49:00,1.35
2011-06-18T10:49:00,1.33
2011-08-28T10:55:00,1.28
2011-09-06T10:49:00,1.27
2011-09-13T10:55:00,1.27
2011-09-22T10:49:00,1.27
2011-10-15T10:55:00,1.27
2011-10-31T10:55:00,1.29
2011-12-18T10:56:00,1.34
2012-01-03T10:56:00,1.32
2012-01-19T10:56:00,1.35
2012-02-04T10:56:00,1.30
2012-02-20T10:56:00,1.28
2012-02-29T10:50:00,1.28
2012-03-07T10:56:00,1.25
2012-04-08T10:56:00,1.24
2012-04-17T10:50:00,1.24
2012-04-24T10:56:00,1.27
2012-07-29T10:57:00,1.12
2012-09-15T10:57:00,1.01
2012-10-01T10:57:00,1.04
2013-01-30T10:52:00,1.26
2013-04-19T11:03:00,1.41
2013-04-20T10:51:00,1.41
2013-05-05T11:03:00,1.38
2013-05-13T10:58:00,1.35
2013-05-14T10:57:00,1.31
2013-05-22T10:51:00,1.34
2013-05-29T10:57:00,1.40
2013-05-30T10:58:00,1.33
2013-06-14T10:57:00,1.32
2013-06-15T10:57:00,1.33
2013-06-22T11:04:00,1.32
2013-06-30T10:57:00,1.32
2013-07-01T10:57:00,1.32
2013-07-08T11:04:00,1.31
2013-07-09T10:51:00,1.33
2013-07-17T10:57:00,1.30
2013-07-24T11:04:00,1.30
2013-07-25T10:51:00,1.27
2013-08-09T11:04:00,1.28
2013-08-18T10:57:00,1.26
2013-08-25T11:04:00,1.27
2013-09-03T10:58:00,1.26
2013-09-10T11:04:00,1.25
2013-09-19T10:57:00,1.26
2013-09-26T11:04:00,1.26
2013-10-05T10:57:00,1.27
2013-11-13T11:03:00,1.24
2013-11-21T10:58:00,1.28
2013-11-29T11:03:00,1.33
2013-11-30T10:52:00,1.33
2013-12-07T10:58:00,1.32
2013-12-08T10:57:00,1.34
2013-12-15T11:03:00,1.33
2013-12-23T10:58:00,1.30
2014-01-08T10:58:00,1.33
2014-01-09T10:57:00,1.41
2014-02-02T10:52:00,1.34
2014-03-13T10:58:00,1.37
2014-04-06T11:02:00,1.37
2014-04-15T10:55:00,1.35
2014-04-22T11:02:00,1.32
2014-04-30T10:59:00,1.35
2014-05-01T10:55:00,1.36
2014-05-08T11:01:00,1.36
2014-05-16T10:59:00,1.35
2014-05-17T10:55:00,1.33
2014-05-24T11:01:00,1.26
2014-06-01T10:59:00,1.32
2014-06-02T10:55:00,1.31
2014-06-09T11:01:00,1.36
2014-06-17T10:59:00,1.32
2014-06-18T10:55:00,1.33
2014-06-25T11:01:00,1.28
2014-07-04T10:55:00,1.29
2014-07-11T11:02:00,1.29
2014-07-20T10:55:00,1.28
2014-07-27T11:02:00,1.29
2014-07-28T10:53:00,1.29
2014-08-04T10:59:00,1.28
2014-08-05T10:55:00,1.28
2014-08-12T11:02:00,1.28
2014-08-20T10:59:00,1.26
2014-08-21T10:56:00,1.27
2014-08-28T11:02:00,1.26
2014-09-05T10:59:00,1.26
2014-09-29T11:02:00,1.28
2014-10-08T10:56:00,1.20
2014-10-23T11:00:00,1.29
2014-10-24T10:56:00,1.27
2014-10-31T11:02:00,1.28
2014-11-09T10:56:00,1.19
2014-12-02T11:02:00,1.36
2014-12-10T11:00:00,1.39
2014-12-11T10:56:00,1.34
2014-12-26T11:00:00,1.35
2015-01-03T11:02:00,1.40
2015-01-11T11:00:00,1.36
2015-01-12T10:56:00,1.35
2015-01-19T11:02:00,1.39
2015-01-27T11:00:00,1.33
2015-01-28T10:55:00,1.36
2015-02-04T11:02:00,1.31
2015-02-12T11:00:00,1.32
2015-02-13T10:55:00,1.31
2015-02-28T11:01:00,1.33
2015-03-08T11:01:00,1.30
2015-03-16T11:01:00,1.29
2015-04-01T11:01:00,1.28
2015-04-02T10:55:00,1.30
2015-04-18T10:55:00,1.25
2015-05-11T11:01:00,1.31
2015-05-12T10:55:00,1.33
2015-05-19T11:01:00,1.32
2015-05-20T10:55:00,1.29
2015-05-27T11:01:00,1.29
2015-06-04T11:01:00,1.25
2015-06-05T10:55:00,1.25
2015-06-20T11:01:00,1.25
2015-06-21T10:55:00,1.26
2015-06-28T11:01:00,1.25
2015-07-06T11:01:00,1.28
2015-07-07T10:55:00,1.26
2015-07-12T11:16:00,1.29
2015-07-14T11:01:00,1.23
2015-07-22T11:01:00,1.26
2015-07-23T10:55:00,1.22
2015-07-30T11:01:00,1.25
2015-08-01T11:16:00,1.25
2015-08-11T11:19:00,1.28
2015-08-15T11:01:00,1.20
2015-08-21T11:16:00,1.25
2015-09-08T11:02:00,1.19
2015-09-10T11:16:00,1.23
2015-09-24T11:02:00,1.18
2015-09-25T10:55:00,1.19
2015-09-30T11:18:00,1.23
2015-10-02T11:02:00,1.01
2015-10-27T10:56:00,1.17
2015-11-11T11:02:00,1.23
2015-11-12T10:56:00,1.24
2015-11-27T11:03:00,1.24
2015-11-28T10:56:00,1.28
2015-11-29T11:15:00,1.23
2015-11-29T11:21:00,1.23
2015-12-05T11:02:00,1.24
2015-12-19T11:21:00,1.26
2015-12-30T10:56:00,1.21
2016-01-30T11:03:00,1.24
2016-01-31T10:56:00,1.18
2016-02-16T10:55:00,1.22
2016-02-17T11:18:00,1.22
2016-03-02T11:04:00,1.19
2016-03-03T10:55:00,1.16
2016-03-08T11:20:00,1.21
2016-03-10T11:02:00,1.19
2016-04-07T11:12:00,1.20
2016-04-17T11:11:00,1.18
2016-04-27T11:01:00,1.16
2016-04-27T11:15:00,1.26
2016-05-21T11:04:00,1.15
2016-05-27T11:10:00,1.12
2016-06-06T11:04:00,1.22
2016-06-06T11:18:00,1.23
2016-06-07T10:55:00,1.14
2016-06-14T11:01:00,1.20
2016-06-22T11:04:00,1.16
2016-06-23T10:55:00,1.12
2016-06-26T11:12:00,1.16
2016-06-30T11:01:00,1.14
2016-07-06T11:09:00,1.16
2016-07-08T11:04:00,1.13
2016-07-09T10:55:00,1.11
2016-07-16T11:02:00,1.09
2016-07-16T11:09:00,1.13
2016-07-24T11:04:00,1.07
2016-07-25T10:55:00,1.06
2016-07-26T11:17:00,1.11
2016-08-01T11:02:00,1.06
2016-08-05T11:12:00,1.08
2016-08-09T11:04:00,1.06
2016-08-10T10:56:00,1.06
2016-08-17T11:02:00,0.97
2016-09-02T11:02:00,0.99
2016-09-04T11:20:00,1.05
2016-09-10T11:04:00,0.98
2016-09-24T11:12:00,0.98
2016-10-28T11:04:00,0.99
2016-10-29T10:56:00,0.96
2016-11-13T11:04:00,0.98
2016-11-13T11:16:00,0.98
2016-11-14T10:56:00,1.04
2016-11-29T11:04:00,0.99
2016-12-13T11:14:00,1.02
2016-12-23T11:02:00,1.08
2016-12-23T11:16:00,1.01
2016-12-31T11:04:00,1.06
2017-01-01T10:56:00,0.96
2017-01-02T11:14:00,0.95
2017-01-08T11:02:00,1.09
2017-01-12T11:14:00,1.00
2017-01-16T11:04:00,1.02
2017-01-17T10:56:00,1.04
2017-01-24T11:02:00,1.00
2017-02-17T11:04:00,0.93
2017-02-21T11:18:00,0.99
2017-03-29T11:01:00,0.91
2017-04-02T11:18:00,0.91
2017-04-06T11:04:00,0.87
2017-04-07T10:55:00,0.90
2017-04-12T11:17:00,0.88
2017-04-14T11:01:00,0.88
2017-04-22T11:04:00,0.82
2017-04-22T11:13:00,0.89
2017-04-23T10:55:00,0.91
2017-05-02T11:09:00,0.88
2017-05-08T11:04:00,0.86
2017-05-09T10:55:00,0.84
2017-05-16T11:01:00,0.84
2017-05-22T11:09:00,0.86
2017-05-24T11:04:00,0.84
2017-06-01T11:01:00,0.80
2017-06-01T11:12:00,0.83
2017-06-02T10:58:00,0.81
2017-06-09T11:04:00,0.85
2017-06-10T10:55:00,0.79
2017-06-17T11:01:00,0.81
2017-06-18T10:58:00,0.77
2017-06-21T11:12:00,0.82
2017-06-26T10:55:00,0.76
2017-07-01T11:17:00,0.79
2017-07-03T11:01:00,0.75
2017-07-04T10:58:00,0.73
2017-07-11T11:04:00,0.72
