like1,parT,chain,KGEval
1.81772760,562.64640000,0.00000000,-0.76501664
2.34054180,916.51013000,0.00000000,
2.34862020,974.91090000,0.00000000,
2.34518500,946.87305000,0.00000000,
2.35747650,1070.73430000,0.00000000,
2.29794800,188.16154000,0.00000000,-0.14108559
2.17194300,699.64954000,0.00000000,
2.15404340,690.66830000,0.00000000,-0.84243038
2.34565420,950.38490000,0.00000000,
1.59001310,485.66348000,0.00000000,-0.44807282
2.29567100,188.50728000,0.00000000,-0.14114328
2.29998780,801.49290000,0.00000000,
1.48659540,450.48000000,1.00000000,-0.34239385
1.39644710,415.29654000,2.00000000,-0.23714022
1.37303110,380.11310000,3.00000000,-0.13331857
1.37842860,375.40400000,1.00000000,-0.12095267
1.53869040,469.02520000,2.00000000,-0.39765562
1.41566290,422.21460000,3.00000000,-0.25522609
1.87015200,579.84360000,1.00000000,-0.92196293
1.38168920,406.42566000,2.00000000,-0.21328118
1.53866340,469.01898000,3.00000000,-0.39763824
2.26620300,762.28613000,1.00000000,
2.03650280,637.01294000,2.00000000,-0.90136221
1.58226010,482.78885000,3.00000000,-0.43935319
1.73196760,529.61380000,1.00000000,-0.58659594
1.37492220,401.16385000,2.00000000,-0.19613053
1.52533380,465.38880000,3.00000000,-0.38666283
2.02935930,238.38846000,1.00000000,-0.17825094
1.41565590,422.21150000,2.00000000,-0.25521620
1.95115150,606.03450000,3.00000000,-0.93929366
2.28055620,777.07043000,1.00000000,
2.01772050,629.92960000,2.00000000,-0.91084934
1.46361340,335.64807000,3.00000000,-0.12219122
1.62603010,497.57010000,1.00000000,-0.48177417
1.47376310,333.02300000,2.00000000,-0.12867540
2.34084200,918.31630000,3.00000000,
1.37096070,397.70480000,1.00000000,-0.18558161
1.36790720,388.90897000,2.00000000,-0.15750339
1.36941770,393.30690000,3.00000000,-0.17053761
1.37302830,380.11618000,1.00000000,-0.13332691
1.53766970,319.53882000,2.00000000,-0.17616714
1.39806180,360.35132000,3.00000000,-0.09679697
1.42728590,346.85382000,1.00000000,-0.09941719
1.40374730,358.05957000,2.00000000,-0.09534612
1.38996960,369.26532000,3.00000000,-0.10792479
1.38949130,369.72433000,1.00000000,-0.10851935
1.36745770,388.07500000,2.00000000,-0.15490359
1.37070930,397.25034000,3.00000000,-0.18399696
1.36868880,396.03380000,1.00000000,-0.17953242
1.78644340,277.69138000,2.00000000,-0.22940744
1.46709410,443.01126000,3.00000000,-0.32082486
1.36806010,395.03640000,1.00000000,-0.17674315
2.00767600,626.22700000,2.00000000,-0.91545520
1.38067450,373.48425000,3.00000000,-0.11690169
1.37040170,384.35544000,1.00000000,-0.14387589
1.41997530,424.87210000,2.00000000,-0.26371307
1.37836950,404.61377000,3.00000000,-0.20634869
1.37206380,380.82070000,1.00000000,-0.13512218
1.36803590,389.03552000,2.00000000,-0.15791988
1.36969660,393.14294000,3.00000000,-0.16993761
1.36832600,390.60898000,1.00000000,-0.16159109
1.38861070,411.95264000,2.00000000,-0.22720258
1.37525430,401.28080000,3.00000000,-0.19654719
1.36918510,393.46246000,1.00000000,-0.17113600
1.37786790,376.90690000,2.00000000,-0.12432739
1.37042130,385.18470000,3.00000000,-0.14617866
1.36993700,396.82465000,1.00000000,-0.18231280
2.34817400,971.05585000,2.00000000,
2.32883760,861.81240000,3.00000000,
1.63504450,499.85562000,1.00000000,-0.48811761
1.45336200,436.66992000,2.00000000,-0.30092449
1.37090790,383.39557000,3.00000000,-0.14111895
