like1,parT,chain
8.656841,145.45149,0.0
14.953615,662.33044,0.0
14.953359,490.43762,0.0
10.019556,177.49748,0.0
13.813457,334.87607,0.0
14.953615,1099.7499,0.0
12.255343,251.89053,0.0
14.953615,941.2958,0.0
14.953615,625.99945,0.0
14.953615,508.8461,0.0
14.953615,712.56354,0.0
14.953615,753.208,0.0
14.111107,354.8758,1.0
12.295056,253.58733,2.0
10.82908,199.51941,3.0
14.953615,815.8148,1.0
14.953615,808.7399,2.0
14.953615,801.665,3.0
12.930808,283.27155,1.0
11.461186,220.5095,2.0
10.467764,189.1285,3.0
14.788623,434.17978,1.0
6.972327,115.151566,2.0
11.582713,225.01381,3.0
9.186094,157.3355,1.0
8.200966,136.24353,2.0
10.334898,185.58604,3.0
12.7170515,272.70956,1.0
10.235234,182.9805,2.0
5.573122,93.25143,3.0
14.953615,684.97284,1.0
7.8633966,129.98116,2.0
9.029387,153.73932,3.0
9.119311,155.796,1.0
7.426539,122.46353,2.0
13.150087,294.98788,3.0
6.946653,114.747475,1.0
6.2618017,103.99945,2.0
5.917968,98.62544,3.0
6.3459387,105.316925,1.0
5.7163706,95.48229,2.0
8.011862,132.64984,3.0
5.4404535,91.18774,1.0
6.4422297,106.82564,2.0
5.942398,99.00668,3.0
14.651883,410.95584,1.0
6.272459,104.16629,2.0
12.669998,270.4685,3.0
5.6916533,95.09721,1.0
5.5661216,93.14248,2.0
6.828944,112.896164,3.0
5.480828,91.81548,1.0
8.296981,138.11597,2.0
5.388448,90.37953,3.0
6.0316243,100.39961,1.0
10.329114,185.43405,2.0
5.4003816,90.56497,3.0
6.918421,114.30329,1.0
6.419177,106.46437,2.0
10.868807,200.72614,3.0
5.477324,91.76101,1.0
6.1550198,102.32858,2.0
5.4328966,91.07027,3.0
7.076946,116.799126,1.0
5.5584846,93.02363,2.0
5.4794655,91.794304,3.0
5.679415,94.906586,1.0
5.5599966,93.047165,2.0
5.500245,92.117455,3.0
5.9509344,99.13992,1.0
5.716076,95.4777,2.0
5.5985045,93.64659,3.0
5.8176937,97.06144,1.0
5.4339676,91.086914,2.0
5.411208,90.73322,3.0
5.4406133,91.19022,1.0
5.420499,90.8776,2.0
5.380262,90.25234,3.0
8.330634,138.77576,1.0
5.4665747,91.593864,2.0
5.3992047,90.54668,3.0
5.519509,92.41717,1.0
5.4799905,91.80245,2.0
8.6942005,146.2643,3.0
