like1,parT,chain,KGEval
0.62336590,508.76352000,0.00000000,0.03056606
0.48039904,1064.58670000,0.00000000,0.35364644
0.62196755,516.21716000,0.00000000,0.04073462
0.61939114,523.38100000,0.00000000,0.05023014
0.47131884,957.08550000,0.00000000,0.34951634
0.47229960,965.60060000,0.00000000,0.35001064
0.76006114,125.14287600,0.00000000,-0.07155618
0.83933900,155.78331000,0.00000000,-0.10843042
0.61609125,536.65130000,0.00000000,0.06806330
0.46146578,862.10425000,0.00000000,0.34209803
0.94777840,213.77963000,0.00000000,-0.15657601
0.47611013,1013.52606000,0.00000000,0.35194746
0.47208926,963.34546000,1.00000000,0.34987493
0.46749696,760.86310000,2.00000000,0.33449383
0.46674535,811.48364000,3.00000000,0.33889779
0.47029275,948.15980000,1.00000000,0.34891601
0.47139335,957.71700000,2.00000000,0.34955118
0.46940714,939.23410000,3.00000000,0.34824995
0.46443720,890.97864000,1.00000000,0.34408309
0.46441472,816.35660000,2.00000000,0.33921230
0.46152460,853.66760000,3.00000000,0.34150165
0.46751523,764.87160000,1.00000000,0.33508268
0.86451840,334.81775000,2.00000000,-0.13158585
0.46416932,889.19885000,3.00000000,0.34395809
0.46185666,836.79395000,1.00000000,0.34043042
0.46154016,849.44910000,2.00000000,0.34122823
0.46831173,741.18130000,3.00000000,0.32945814
0.46713284,809.26960000,1.00000000,0.33874731
0.46509966,898.06560000,2.00000000,0.34461286
0.46248160,875.86664000,3.00000000,0.34304738
0.46984687,723.99880000,1.00000000,0.32503728
0.46180555,839.16360000,2.00000000,0.34057505
0.46773094,806.59880000,3.00000000,0.33856935
0.46328830,882.25820000,1.00000000,0.34348356
0.46154794,849.30743000,2.00000000,0.34121888
0.46187428,836.37866000,3.00000000,0.34040801
0.46149220,850.63390000,1.00000000,0.34131039
0.46148092,856.36910000,2.00000000,0.34169155
0.46324778,823.53937000,3.00000000,0.33968137
0.46161327,866.15845000,1.00000000,0.34238350
0.46141222,859.91300000,2.00000000,0.34195299
0.46146807,856.79034000,3.00000000,0.34172206
0.46148020,862.65784000,1.00000000,0.34213554
0.46149123,856.05347000,2.00000000,0.34166853
0.46140960,859.35565000,3.00000000,0.34191338
0.46159297,865.78280000,1.00000000,0.34235602
0.46144790,857.54510000,2.00000000,0.34177745
0.46152110,853.42630000,3.00000000,0.34148451
0.46146154,861.92100000,1.00000000,0.34208546
0.46142924,860.63837000,2.00000000,0.34200015
0.46141702,859.99700000,3.00000000,0.34195834
0.46145675,857.16820000,1.00000000,0.34174956
0.46142134,858.54060000,2.00000000,0.34185199
0.46140930,859.22680000,3.00000000,0.34190372
0.46141645,858.72110000,1.00000000,0.34186514
0.46141200,859.89716000,2.00000000,0.34195194
0.46140870,859.30914000,3.00000000,0.34190989
0.46144220,857.76526000,1.00000000,0.34179363
0.47851990,692.74260000,2.00000000,0.30154075
0.46141390,859.93475000,3.00000000,0.34195440
0.46140894,859.61110000,1.00000000,0.34193316
0.46140885,859.46010000,2.00000000,0.34192168
0.46159503,847.91940000,3.00000000,0.34112641
0.46140873,859.58080000,1.00000000,0.34193094
0.46140835,859.40380000,2.00000000,0.34191730
0.46167228,841.56006000,3.00000000,0.34073302
0.46227570,831.22100000,1.00000000,0.34011184
0.46140882,859.67633000,2.00000000,0.34193774
0.46140796,859.51600000,3.00000000,0.34192612
0.46141484,858.83120000,1.00000000,0.34187355
0.46140936,859.36414000,2.00000000,0.34191415
0.46140897,859.63070000,3.00000000,0.34193456
