like1,parT,chain
1.1904967,1092.6693,0.0
0.8933807,476.6665,0.0
0.64628947,133.40909,0.0
0.83815396,429.1731,0.0
0.7590087,117.79342,0.0
0.65520513,311.66824,0.0
1.1301471,895.8764,0.0
1.1782703,1048.0437,0.0
0.8690054,454.33832,0.0
0.6765181,128.76758,0.0
0.945571,530.1448,0.0
1.010354,630.1708,0.0
0.6022417,281.2911,1.0
0.5006425,207.3501,2.0
0.5434127,244.32059,3.0
0.5049166,168.99815,1.0
0.5376193,240.33319,2.0
0.49856836,204.66568,3.0
0.63944083,302.71704,1.0
0.5081674,215.74231,2.0
0.914727,497.01193,3.0
1.1724725,1027.9213,1.0
0.5419513,155.03093,2.0
0.4905292,192.26843,3.0
0.50529385,168.79456,1.0
0.49105412,180.5315,2.0
0.70281273,338.77173,3.0
0.491478,179.8483,1.0
0.490524,192.25699,2.0
0.48927882,186.05264,3.0
0.7952633,398.14578,1.0
0.67210424,321.2332,2.0
0.50248164,170.3796,3.0
0.53144526,235.8576,1.0
0.497098,202.42787,2.0
0.4893067,185.71301,3.0
0.49023098,191.57379,1.0
0.4894305,188.81322,2.0
0.48927128,187.43292,3.0
0.4914841,194.07045,1.0
0.5775013,266.42108,2.0
0.52426034,230.24576,3.0
0.49360168,177.16388,1.0
0.48944882,184.71043,2.0
0.4893774,188.4837,3.0
0.4906205,181.32402,1.0
0.48925328,186.79623,2.0
0.48957846,189.53233,3.0
0.4892845,187.63997,1.0
0.48926118,187.2181,2.0
0.48925522,187.00716,3.0
0.48927754,186.07169,1.0
0.48925343,186.7523,2.0
0.48925716,187.09262,3.0
0.48929662,187.79248,1.0
0.48925394,186.92256,2.0
0.809321,408.1117,3.0
0.49947596,205.89384,1.0
0.48966888,189.89174,2.0
0.48929748,187.80237,3.0
