like1,parT,chain,KGEval
4.07767800,1060.04040000,0.00000000,-0.25425320
7.30637500,434.63757000,0.00000000,-0.97849397
5.50926450,684.09570000,0.00000000,-0.59785974
8.64809900,327.77680000,0.00000000,-1.18846874
3.99893100,1088.34840000,0.00000000,-0.23682258
6.90345900,477.20496000,0.00000000,-0.90365267
5.79560800,632.15300000,0.00000000,-0.66586338
4.56723640,904.87146000,0.00000000,-0.36810903
15.92142600,113.36075600,0.00000000,-2.07239294
4.79969740,842.04450000,0.00000000,-0.42446973
12.08420300,184.53918000,0.00000000,-1.60055534
7.22052400,443.21484000,0.00000000,-0.96306423
4.63385250,886.22205000,1.00000000,-0.38415902
4.29403350,987.28520000,2.00000000,-0.30352519
4.28062960,991.58990000,3.00000000,-0.30041882
4.78398700,846.09674000,1.00000000,-0.42063383
4.04478170,1071.74160000,2.00000000,-0.24693667
5.45865060,693.90857000,3.00000000,-0.58565024
4.54415600,911.45930000,1.00000000,-0.36257158
4.52130500,918.04710000,2.00000000,-0.35710196
4.49867870,924.63490000,3.00000000,-0.35169935
6.62602500,510.25238000,1.00000000,-0.84845125
6.24203820,561.89390000,2.00000000,-0.76710207
5.41783100,701.96920000,3.00000000,-0.57576997
4.23484040,1006.49164000,1.00000000,-0.28985748
4.11372230,1047.42000000,2.00000000,-0.26232568
4.05557160,1067.88430000,3.00000000,-0.24933095
4.27039500,994.89435000,1.00000000,-0.29805125
4.15470930,1033.31800000,2.00000000,-0.27157422
4.09905700,1052.52980000,3.00000000,-0.25903431
4.41016050,951.04240000,1.00000000,-0.33070038
4.23773240,1005.54144000,2.00000000,-0.29052212
7.43843840,421.92456000,3.00000000,-1.00170097
4.78135000,846.77954000,1.00000000,-0.41999029
4.51738170,919.18475000,2.00000000,-0.35616421
4.06650450,1063.99510000,3.00000000,-0.25176252
4.33399250,974.60320000,1.00000000,-0.31282437
4.03794860,1074.19450000,2.00000000,-0.24542304
4.01835200,1081.27140000,3.00000000,-0.24109457
3.99182560,1090.95350000,1.00000000,-0.23526410
4.09303700,1054.63730000,2.00000000,-0.25768593
4.01814200,1081.34750000,3.00000000,-0.24104833
4.01377600,1082.93320000,1.00000000,-0.24008639
4.06899830,1063.11070000,2.00000000,-0.25231792
3.97277020,1097.98230000,3.00000000,-0.23109652
4.17097900,1027.79250000,1.00000000,-0.27526518
5.91183570,612.68190000,2.00000000,-0.69284232
4.88608550,820.23724000,3.00000000,-0.44560852
3.99533720,1089.66490000,1.00000000,-0.23603406
3.98402430,1093.82360000,2.00000000,-0.23355578
4.03784800,1074.23050000,3.00000000,-0.24540088
4.00504830,1086.11240000,1.00000000,-0.23816627
3.97868350,1095.79440000,2.00000000,-0.23238798
3.98524450,1093.37390000,3.00000000,-0.23382285
4.03245540,1076.17180000,1.00000000,-0.24420792
4.01562830,1082.26010000,2.00000000,-0.24049437
3.98236130,1094.43680000,3.00000000,-0.23319197
4.04121200,1073.02200000,1.00000000,-0.24614570
3.98668240,1092.84450000,2.00000000,-0.23413754
4.00018700,1087.88890000,3.00000000,-0.23709826
3.97899840,1095.67810000,1.00000000,-0.23245678
3.97588200,1096.83020000,2.00000000,-0.23177593
3.96966300,1099.13430000,3.00000000,-0.23041863
3.97071400,1098.74440000,1.00000000,-0.23064790
3.97469500,1097.26940000,2.00000000,-0.23151676
3.97270370,1098.00700000,3.00000000,-0.23108197
4.16012050,1031.47580000,1.00000000,-0.27280054
3.99063010,1091.39260000,2.00000000,-0.23500216
3.97412370,1097.48100000,3.00000000,-0.23139197
3.96798180,1099.75830000,1.00000000,-0.23005204
4.39055870,957.03040000,2.00000000,-0.32608187
3.97598810,1096.79090000,3.00000000,-0.23179913
4.00506500,1086.10630000,1.00000000,-0.23816994
3.97037480,1098.87020000,2.00000000,-0.23057391
3.96917800,1099.31420000,3.00000000,-0.23031289
3.97189200,1098.30760000,1.00000000,-0.23090495
4.06397900,1064.89170000,2.00000000,-0.25120039
3.96743580,1099.96100000,3.00000000,-0.22993304
3.97334960,1097.76770000,1.00000000,-0.23122297
3.96808170,1099.72120000,2.00000000,-0.23007382
3.96939750,1099.23280000,3.00000000,-0.23036073
3.97752710,1096.22180000,1.00000000,-0.23213529
3.96789100,1099.79200000,2.00000000,-0.23003225
3.97029600,1098.89950000,3.00000000,-0.23055668
3.98704700,1092.71030000,1.00000000,-0.23421736
3.96830680,1099.63770000,2.00000000,-0.23012285
3.96787120,1099.79930000,3.00000000,-0.23002796
3.96864410,1099.51250000,1.00000000,-0.23019639
4.01578800,1082.20200000,2.00000000,-0.24052961
3.99208760,1090.85730000,3.00000000,-0.23532152
3.96882220,1099.44630000,1.00000000,-0.23023528
3.96840200,1099.60230000,2.00000000,-0.23014364
3.96756170,1099.91430000,3.00000000,-0.22996045
4.17129370,1027.68620000,1.00000000,-0.27533656
3.96918850,1099.31030000,2.00000000,-0.23031519
3.96863500,1099.51570000,3.00000000,-0.23019451
