like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
1.5852678,0.75727946,0.89873,0.28263018,0.62525725,0.705361,2.7562125,0.0
0.97653764,0.46268257,0.2770703,0.16000405,0.36935896,0.96402067,4.347262,0.0
1.4354742,0.53132147,0.1507587,0.7603953,0.33591554,0.5908756,3.3381498,0.0
2.2857828,0.8906595,0.88324565,0.861325,0.6713158,0.76697284,4.4233055,0.0
1.6806592,0.9042264,0.02378677,0.6762184,0.944414,0.93990237,1.6087922,0.0
1.4515228,0.64184934,0.48257166,0.19729283,0.7319527,0.3290106,2.7697372,0.0
1.5491313,0.44857147,0.13443673,0.40416104,0.1538828,0.8905926,3.1097229,0.0
2.9973536,0.72635144,0.25918594,0.6168748,0.93766254,0.7532123,4.5295978,0.0
3.053119,0.8090677,0.46901986,0.49531427,0.9046696,0.8811762,4.444873,0.0
2.9069793,0.84187,0.7004124,0.076033875,0.7478662,0.6463382,2.27429,0.0
1.6610475,0.7634609,0.8518086,0.9263315,0.63700324,0.2129485,4.616819,0.0
3.0903869,0.7374772,0.945951,0.014913593,0.8969114,0.96005183,4.2249556,0.0
0.83061665,0.48805973,0.8299742,0.47842485,0.44336084,0.88076735,1.583898,0.0
1.6074753,0.64802086,0.95380735,0.6524801,0.2600682,0.58579475,1.9796665,0.0
1.4187579,0.5902295,0.8809294,0.3475291,0.68768454,0.5856375,4.422371,0.0
1.8297321,0.87769735,0.39901474,0.20743461,0.6300138,0.13232434,4.8680825,0.0
2.068754,0.894113,0.975872,0.26910743,0.29549947,0.10974283,3.049692,0.0
1.7402979,0.3741904,0.63210297,0.9252731,0.7147423,0.702094,3.834507,0.0
1.5419139,0.42834568,0.6837837,0.20686835,0.1358587,0.22440663,3.0313172,0.0
0.7445146,0.38923854,0.42917457,0.58988315,0.53484255,0.27519393,3.2093205,0.0
0.8251022,0.29431596,0.461713,0.14194912,0.5994129,0.04183217,2.1297748,0.0
1.8742936,0.32377982,0.38840947,0.56215125,0.7337551,0.9180548,2.8319533,0.0
2.0158029,0.8862148,0.268971,0.8306335,0.40205294,0.40174296,2.15156,0.0
1.7961016,0.73446846,0.7293249,0.9552376,0.76884824,0.40111008,3.2251313,0.0
2.395224,0.94248366,0.34897813,0.5303041,0.9608978,0.79241,4.394048,0.0
1.8779995,0.81346774,0.19684166,0.9909258,0.38276255,0.32269913,4.578646,0.0
1.5036973,0.7639092,0.7097877,0.7821209,0.74024934,0.22809666,3.18073,0.0
1.4299338,0.52943826,0.3735984,0.6788255,0.43239498,0.1540424,2.1279447,0.0
1.5271559,0.58069354,0.97225463,0.8632738,0.29399654,0.5123012,2.3832073,0.0
0.6785621,0.26832205,0.78387487,0.28833625,0.5507875,0.4793162,4.2740097,0.0
1.4090757,0.7331218,0.85210216,0.78822017,0.8583106,0.17008811,1.756576,0.0
1.0646418,0.5170692,0.64555174,0.44482931,0.66909635,0.09941395,1.4058126,0.0
1.9117887,0.84830046,0.078733005,0.033070486,0.4045619,0.60698265,1.0813298,0.0
1.5345547,0.51353544,0.20420222,0.30323803,0.11586028,0.7168444,3.057933,0.0
0.6974795,0.4037266,0.7444706,0.23543258,0.63662827,0.20549445,2.9926543,0.0
1.4456878,0.5092968,0.4819881,0.77556807,0.39713442,0.15109001,3.4552164,0.0
0.8423156,0.52781665,0.9037997,0.60884744,0.9615318,0.09642136,4.771441,0.0
1.5406449,0.5659028,0.76919097,0.22004117,0.36162937,0.034258187,1.1781092,0.0
2.1976714,0.956383,0.10695157,0.9867085,0.2333509,0.19954936,3.2620213,0.0
1.5457534,0.60205364,0.09960967,0.069082275,0.34073377,0.28607813,1.6377854,0.0
1.053574,0.35453326,0.30204418,0.722921,0.3837971,0.35523605,3.5656826,0.0
1.7701678,0.8226905,0.8850458,0.7007313,0.63875043,0.6856658,2.4934702,0.0
1.7739387,0.7720461,0.7950142,0.9333249,0.33104905,0.9883667,4.882004,0.0
1.8046939,0.7709998,0.9038337,0.77076614,0.3936984,0.07679533,3.0593863,0.0
1.960552,0.9328384,0.39083537,0.582638,0.6577149,0.33846137,2.538083,0.0
1.2354392,0.63398606,0.7350807,0.98190635,0.54294425,0.49562207,3.6233726,0.0
1.884792,0.85088116,0.3300695,0.766864,0.49737427,0.28737125,2.069694,0.0
2.1437225,0.44730037,0.8095885,0.89902264,0.76752484,0.95991087,1.135904,0.0
2.0291252,0.38150263,0.12310619,0.6774355,0.97035915,0.32683903,3.6823647,0.0
2.197405,0.673849,0.63289714,0.38906798,0.7556595,0.47626418,1.1962649,0.0
1.2693213,0.3307854,0.64597535,0.60663533,0.11920517,0.19385731,2.1364148,0.0
1.703223,0.708243,0.91181535,0.30202648,0.13793561,0.9787547,3.2651796,0.0
1.5073326,0.62399507,0.82339877,0.31030947,0.35080814,0.70005465,2.7965713,1.0
0.810782,0.2969631,0.45301065,0.21736316,0.37987983,0.8364409,2.949096,2.0
1.8022695,0.7696798,0.4983488,0.2314599,0.26311332,0.6274335,4.297434,3.0
1.3910668,0.64152175,0.71389306,0.64162457,0.67919344,0.48694098,2.936493,4.0
0.71003246,0.2922058,0.953173,0.60874295,0.40471476,0.79382837,3.0874894,5.0
