date,storage,inflow,outflow
1990-01-01,78436449.313,64.421,418.224
1990-01-02,74681743.372,42.475,85.932
1990-01-03,71767239.583,48.846,82.579
1990-01-04,69283202.000,50.970,79.720
1990-01-05,68192141.846,65.837,78.465
1990-01-06,68979977.566,88.490,79.372
1990-01-07,71810646.448,115.391,82.629
1990-01-08,73717750.990,106.896,84.823
1990-01-09,79068593.222,152.911,90.980
1990-01-10,81979176.120,130.257,96.570
1990-01-11,81788005.693,93.445,95.658
1990-01-12,80492963.588,77.163,92.152
1990-01-13,79278327.698,77.163,91.221
1990-01-14,77617207.787,70.084,89.310
1990-01-15,75995016.896,68.668,87.443
1990-01-16,74463874.559,67.960,85.682
1990-01-17,72514868.625,60.881,83.439
1990-01-18,70408343.763,56.634,81.015
1990-01-19,68436663.855,55.926,78.746
1990-01-20,66420716.213,53.094,76.427
1990-01-21,64364503.792,50.262,74.061
1990-01-22,63161824.688,58.757,72.677
1990-01-23,61845418.745,55.926,71.162
1990-01-24,60036091.714,48.139,69.080
1990-01-25,60337529.773,72.916,69.427
1990-01-26,57830037.778,37.520,66.542
1990-01-27,57051403.900,56.634,65.646
1990-01-28,56955137.249,64.421,65.535
1990-01-29,55921778.768,52.386,64.346
1990-01-30,54814943.600,50.262,63.073
1990-01-31,52584278.234,34.688,60.506
1990-02-01,50722242.280,36.812,58.363
1990-02-02,49696181.034,45.307,57.183
1990-02-03,50153738.539,63.005,57.709
1990-02-04,49012165.637,43.183,56.396
1990-02-05,48418859.905,48.846,55.713
1990-02-06,46989125.932,37.520,54.068
1990-02-07,46690035.115,50.262,53.724
1990-02-08,45639112.245,40.351,52.514
1990-02-09,44905779.085,43.183,51.671
1990-02-10,48411266.643,96.277,55.704
1990-02-11,52934963.244,113.267,60.909
1990-02-12,55770043.269,96.985,64.172
1990-02-13,55400166.858,59.465,63.746
1990-02-14,55620055.627,66.544,63.999
1990-02-15,55041261.665,56.634,63.333
1990-02-16,54236607.090,53.094,62.407
1990-02-17,52558917.393,41.059,60.477
1990-02-18,50087216.263,29.025,57.633
1990-02-19,48395339.983,36.104,55.686
1990-02-20,47913451.078,49.554,55.131
1990-02-21,47586416.937,50.970,54.755
1990-02-22,46565717.278,41.767,53.581
1990-02-23,45748594.902,43.183,52.640
1990-02-24,45506040.652,49.554,52.361
1990-02-25,44840380.359,43.891,51.595
1990-02-26,45125070.196,55.218,51.923
1990-02-27,44326940.356,41.767,51.005
1990-02-28,44658058.535,55.218,51.386
1990-03-01,44069077.900,43.891,50.708
1990-03-02,44479153.289,55.926,51.180
1990-03-03,44907786.918,56.634,51.673
1990-03-04,45742700.171,62.297,52.634
1990-03-05,44777441.041,40.351,51.523
1990-03-06,45624140.955,62.297,52.497
1990-03-07,46171718.230,59.465,53.127
1990-03-08,47114898.114,65.129,54.213
1990-03-09,48696027.901,74.332,56.032
1990-03-10,49577785.085,67.252,57.046
1990-03-11,48933332.630,48.846,56.305
1990-03-12,49070393.371,58.049,56.463
1990-03-13,48360621.461,47.431,55.646
1990-03-14,48104430.939,52.386,55.351
1990-03-15,47760127.247,50.970,54.955
1990-03-16,48392754.413,63.005,55.683
1990-03-17,47021020.788,38.228,54.105
1990-03-18,48554999.798,73.624,55.870
1990-03-19,50339666.703,78.579,57.923
