like1,parT,chain,KGEval
1.89453070,1637.67030000,0.00000000,-1.81840500
1.89651270,1648.47920000,0.00000000,-1.82006610
1.82873850,1295.59880000,0.00000000,-1.76579207
1.77404930,1043.16880000,0.00000000,-1.72984477
1.88619850,1592.59200000,0.00000000,-1.81152865
1.83759680,1340.51060000,0.00000000,-1.77317930
1.85423540,1424.94140000,0.00000000,-1.78599925
3.36165020,103.46335600,0.00000000,-4.84300682
1.90238710,1680.18950000,0.00000000,-1.82487427
1.76358810,395.19644000,0.00000000,-1.89296338
1.90014280,1668.22970000,0.00000000,-1.82307202
1.83823820,351.61792000,0.00000000,-1.98832881
1.71693110,438.77496000,1.00000000,-1.82582005
1.69001170,482.35350000,2.00000000,-1.78284861
1.89574280,1644.27500000,3.00000000,-1.81941909
1.80499000,1181.65300000,1.00000000,-1.74857901
1.74064620,904.68470000,2.00000000,-1.71445011
1.70534900,766.20056000,3.00000000,-1.70594573
1.76365670,998.60540000,1.00000000,-1.72451517
1.69195590,701.61206000,2.00000000,-1.70922951
1.75167910,404.61874000,3.00000000,-1.87578614
1.77409340,1043.35080000,1.00000000,-1.72986641
1.70088020,746.19104000,2.00000000,-1.70634248
1.94156770,1983.23820000,3.00000000,-1.85054327
1.74736130,931.85815000,1.00000000,-1.71718430
1.67883940,525.93200000,2.00000000,-1.75815585
1.69286180,707.10583000,3.00000000,-1.70873554
1.68386200,498.53946000,1.00000000,-1.77292082
1.67780070,600.07574000,2.00000000,-1.72917272
1.67671980,549.30760000,3.00000000,-1.74927786
1.67611420,575.40490000,1.00000000,-1.73822161
1.67675000,548.61334000,2.00000000,-1.74948354
1.67621950,562.00910000,3.00000000,-1.74460606
1.87175390,1513.29460000,1.00000000,-1.79941647
1.68720580,489.05032000,2.00000000,-1.77837184
1.68094110,627.62540000,3.00000000,-1.72156793
1.67664870,550.66846000,1.00000000,-1.74884728
1.67614710,563.03670000,2.00000000,-1.74408954
1.67595930,569.22076000,3.00000000,-1.74105572
1.67735020,594.81726000,1.00000000,-1.73083066
1.68695640,670.50415000,2.00000000,-1.71326750
1.67619930,578.41320000,3.00000000,-1.73694551
1.76425210,1001.17240000,1.00000000,-1.72481232
1.67837830,609.56494000,2.00000000,-1.72619545
1.71514380,805.36865000,3.00000000,-1.70661174
1.67722120,541.21466000,1.00000000,-1.75193407
1.67597480,570.64520000,2.00000000,-1.74038157
1.67637910,555.92993000,3.00000000,-1.74727582
1.67614190,576.43243000,1.00000000,-1.73777618
1.67603620,572.82660000,2.00000000,-1.73936996
1.67602680,565.61490000,3.00000000,-1.74279745
1.67613420,563.28754000,1.00000000,-1.74396512
1.68211030,635.19670000,2.00000000,-1.72000296
1.67598140,566.96640000,3.00000000,-1.74213484
1.67619450,562.35626000,1.00000000,-1.74443368
1.68912830,683.86250000,2.00000000,-1.71133589
1.67596070,568.88055000,3.00000000,-1.74122069
1.67681800,547.26150000,1.00000000,-1.74988904
1.78602120,1095.76820000,2.00000000,-1.73677551
1.67616280,562.83734000,3.00000000,-1.74419113
