like1,parT,chain,like_val
1.22913030,195.32155000,0.00000000,0.89667071
0.95776445,653.91315000,0.00000000,1.17674302
1.08645250,750.03296000,0.00000000,1.20079138
1.23733300,1063.10700000,0.00000000,1.23483807
1.43369230,1488.31640000,0.00000000,1.25396906
1.25801940,1105.33130000,0.00000000,1.23738479
1.52083840,2104.79420000,0.00000000,1.26822733
1.51401400,1967.97160000,0.00000000,1.26580930
1.14125860,846.69714000,0.00000000,1.21568491
1.21524670,1013.26450000,0.00000000,1.23147636
1.20346680,985.31604000,0.00000000,1.22953481
1.46236900,1592.06540000,0.00000000,1.25712647
0.74195900,538.21265000,1.00000000,1.11935741
0.61189580,294.56174000,2.00000000,0.74310689
0.50845075,422.51220000,3.00000000,0.99769585
0.60247180,472.67725000,1.00000000,1.06085176
1.21782140,1019.32950000,2.00000000,1.23189291
0.88028765,611.35510000,3.00000000,1.15985502
1.44163450,1515.53930000,1.00000000,1.25485390
0.91535217,630.28730000,2.00000000,1.16807946
0.49686936,413.87747000,3.00000000,0.98457540
1.46553860,1605.06270000,1.00000000,1.25748829
1.15018800,865.30084000,2.00000000,1.21806007
1.08182370,745.28560000,3.00000000,1.19995332
0.63250310,289.54230000,1.00000000,0.73347930
0.47836230,351.70987000,2.00000000,0.87349288
0.93201000,639.58920000,3.00000000,1.17167420
1.16451010,203.38063000,1.00000000,0.84280131
0.69908650,516.93365000,2.00000000,1.10265767
0.51161325,328.09080000,3.00000000,0.81991379
0.54268664,315.06717000,1.00000000,0.78894509
0.47708100,393.87220000,2.00000000,0.95240247
0.78055710,558.27760000,3.00000000,1.13205091
0.46966055,376.37140000,1.00000000,0.92135523
0.57229584,458.18110000,2.00000000,1.04485723
0.50126850,417.27625000,3.00000000,0.98980032
0.49793008,335.46658000,1.00000000,0.83720790
0.47513965,355.91898000,2.00000000,0.88236722
0.57010734,457.09830000,3.00000000,1.04363134
0.72805566,531.05066000,1.00000000,1.11431032
0.47019088,365.23220000,2.00000000,0.90040322
0.47033703,379.55222000,3.00000000,0.92711654
0.73897450,536.68820000,1.00000000,1.11836865
0.46949634,375.32898000,2.00000000,0.91943562
0.47082230,363.51944000,3.00000000,0.89714120
0.47049105,364.47232000,1.00000000,0.89896972
0.47421554,389.17490000,2.00000000,0.94422145
0.81223375,574.96920000,3.00000000,1.14164569
0.49311662,410.78530000,1.00000000,0.97975596
0.46927866,369.90067000,2.00000000,0.90935511
0.46924824,372.61480000,3.00000000,0.91449980
0.46927842,369.94543000,1.00000000,0.90944273
0.46925968,373.15842000,2.00000000,0.91549123
0.46922192,371.55190000,3.00000000,0.91256318
0.46974970,377.20355000,1.00000000,0.92288818
0.55797810,450.96020000,2.00000000,1.03625396
0.46921080,371.21786000,3.00000000,0.91192433
0.46951088,367.73560000,1.00000000,0.90517500
0.46930283,373.64390000,2.00000000,0.91637056
0.46922818,370.68976000,3.00000000,0.91091758
