like1,parT,chain,KGEval
0.72508520,696.81854000,0.00000000,0.20450588
1.57546580,2065.09280000,0.00000000,-0.62869072
1.40426420,1461.30740000,0.00000000,-0.49452896
0.91247630,567.74800000,0.00000000,0.09406128
1.54703460,1918.98860000,0.00000000,-0.60298987
0.72642080,679.62573000,0.00000000,0.21643360
1.15839110,476.59320000,0.00000000,-0.05319181
1.35849880,1360.68250000,0.00000000,-0.45301537
1.53637780,1872.35930000,0.00000000,-0.59570296
0.95532924,947.28564000,0.00000000,-0.12213992
0.79451627,831.38556000,0.00000000,0.02624302
0.72509190,700.09580000,0.00000000,0.20167996
0.78750500,825.88910000,1.00000000,0.03422567
0.73275536,761.35380000,2.00000000,0.13097733
0.72755796,729.08620000,3.00000000,0.17371623
1.38076810,1409.82250000,1.00000000,-0.47381894
0.78419477,823.69073000,2.00000000,0.03741339
0.73296170,761.89330000,3.00000000,0.13030784
0.82312220,604.19590000,1.00000000,0.18865340
0.72712020,731.79860000,2.00000000,0.16931196
1.56360220,2001.21840000,3.00000000,-0.61786364
1.16126950,1096.03400000,1.00000000,-0.29440212
0.91502090,566.73706000,2.00000000,0.08937288
0.72499550,699.06130000,3.00000000,0.20258310
0.81696826,606.73206000,1.00000000,0.19256331
0.72714406,714.07370000,2.00000000,0.19109716
0.78109926,821.41540000,3.00000000,0.04116039
1.15305900,1088.69530000,1.00000000,-0.28807686
0.92350400,925.29430000,2.00000000,-0.09324859
0.72754383,729.35590000,3.00000000,0.17325233
0.73448145,765.74066000,1.00000000,0.12554827
0.72686654,732.91830000,2.00000000,0.16815999
0.72665840,716.50700000,3.00000000,0.18916170
0.73133355,755.05554000,1.00000000,0.13851475
0.72661810,717.34064000,2.00000000,0.18842961
1.46426270,1607.90780000,3.00000000,-0.54134242
0.73550360,769.37800000,1.00000000,0.12046547
0.72634970,680.78190000,2.00000000,0.21603163
0.72575990,689.92163000,3.00000000,0.20952370
0.82498440,856.87890000,1.00000000,-0.00912807
0.73891896,776.84870000,2.00000000,0.10891069
0.72670585,736.83360000,3.00000000,0.16377629
0.72569853,686.11790000,1.00000000,0.21309463
1.16551450,473.64960000,2.00000000,-0.05522752
0.92535290,926.54205000,3.00000000,-0.09481344
0.72657007,704.49084000,1.00000000,0.19875806
0.72593430,692.05830000,2.00000000,0.20773342
0.72573990,685.84200000,3.00000000,0.21328063
