like1,parT,chain,KGEval
1.45786860,932.20465000,0.00000000,-0.64070646
1.36291660,568.68176000,0.00000000,-0.64020394
1.55131290,121.68938400,0.00000000,-0.14784774
1.29480460,509.66367000,0.00000000,-0.63829622
1.27413240,243.27069000,0.00000000,-0.52482688
1.45458610,813.87630000,0.00000000,-0.64060820
1.40757050,185.06819000,0.00000000,-0.31382582
1.45784770,921.49805000,0.00000000,-0.64071013
1.45783000,990.06506000,0.00000000,-0.64069803
1.37199820,200.68346000,0.00000000,-0.36681746
1.45777070,1071.04300000,0.00000000,-0.64059367
1.07981350,346.94952000,0.00000000,-0.58209236
1.26796070,493.21560000,1.00000000,-0.63650582
1.17193470,420.08258000,2.00000000,-0.61918310
1.11558990,378.09390000,3.00000000,-0.59947367
1.45776950,1072.88980000,1.00000000,-0.64059081
1.10413920,301.47318000,2.00000000,-0.53880473
1.09223380,359.67566000,3.00000000,-0.58919522
1.36132740,205.45105000,1.00000000,-0.38380312
1.08981880,357.55734000,2.00000000,-0.58803090
1.19149920,433.61050000,3.00000000,-0.62416870
1.43233240,685.95920000,1.00000000,-0.64041827
1.45573070,833.12720000,2.00000000,-0.64064384
1.21426840,451.40427000,3.00000000,-0.62931246
1.08410010,315.80515000,1.00000000,-0.54644911
1.20287930,442.24347000,2.00000000,-0.62685792
1.11664660,379.02430000,3.00000000,-0.59991828
1.08056390,347.94226000,1.00000000,-0.58264733
1.07589940,338.32718000,2.00000000,-0.57542121
1.17153040,275.80197000,3.00000000,-0.53955587
1.14043350,285.74080000,1.00000000,-0.53714638
1.43000960,679.31530000,2.00000000,-0.64039734
1.13946520,397.34770000,3.00000000,-0.60879038
1.11374150,376.43872000,1.00000000,-0.59860136
1.11574030,378.22644000,2.00000000,-0.59953462
1.07612510,338.95596000,3.00000000,-0.57603754
1.08016050,347.41473000,1.00000000,-0.58234729
1.07584570,329.23965000,2.00000000,-0.56245931
1.07648310,327.06616000,3.00000000,-0.55957425
1.08188780,318.23624000,1.00000000,-0.54975592
1.07600960,328.59610000,2.00000000,-0.56158176
1.07536230,333.77603000,3.00000000,-0.56903602
1.07775120,324.21136000,1.00000000,-0.55586400
1.08359910,316.34518000,2.00000000,-0.54720521
1.07538570,335.58044000,3.00000000,-0.57201335
1.08238890,317.65810000,1.00000000,-0.54893545
1.09204450,359.51425000,2.00000000,-0.58910977
1.07599040,338.58618000,3.00000000,-0.57567546
