like1,parT,chain,KGEval
4.40506120,578.47170000,0.00000000,-0.57824119
4.69140620,225.06769000,0.00000000,-0.49328001
3.92174240,1383.59130000,0.00000000,-0.45822912
4.21997930,863.02203000,0.00000000,-0.62507765
4.01113650,1243.13280000,0.00000000,-0.64662024
4.29683160,736.25400000,0.00000000,-0.60688603
3.37316580,1922.74120000,0.00000000,-0.40299081
4.18867250,907.55853000,0.00000000,-0.63021054
4.58105000,360.95996000,0.00000000,-0.53282770
3.48440800,1795.60530000,0.00000000,-0.42059934
4.56969600,374.08337000,0.00000000,-0.53582502
4.00441500,1255.61120000,0.00000000,-0.64657047
3.21877240,2182.07570000,1.00000000,-0.37918540
3.28915000,2052.40840000,2.00000000,-0.39073175
3.58231660,1690.00670000,3.00000000,-0.44149349
3.96910330,1321.96580000,1.00000000,-0.54583704
3.72510550,1558.78550000,2.00000000,-0.45388019
3.29987650,2032.42500000,3.00000000,-0.39249710
3.38742200,1904.16060000,1.00000000,-0.40488642
3.63139530,1643.87600000,2.00000000,-0.44841795
4.56582100,378.58163000,3.00000000,-0.53684915
4.00879860,1247.44030000,1.00000000,-0.64659727
4.00000100,1263.78210000,2.00000000,-0.64646588
3.99565270,1271.95310000,3.00000000,-0.64640030
3.75730680,1529.69370000,1.00000000,-0.45318875
3.32304760,1988.84060000,2.00000000,-0.39672575
3.27236530,2085.45830000,3.00000000,-0.38784973
3.41378520,1871.20760000,1.00000000,-0.40896009
3.34322930,1961.80810000,2.00000000,-0.39937378
3.95491120,1349.03100000,3.00000000,-0.48964229
3.55614300,1715.02920000,1.00000000,-0.43542066
3.41169380,1873.72720000,2.00000000,-0.40864140
3.95823570,1342.67110000,3.00000000,-0.50054901
3.69241520,1588.05690000,1.00000000,-0.45306851
3.52695320,1746.10880000,2.00000000,-0.43053869
3.28450850,2062.21260000,3.00000000,-0.38987690
3.26041220,2107.25050000,1.00000000,-0.38592574
3.40588430,1880.95250000,2.00000000,-0.40761878
3.31914000,1994.10140000,3.00000000,-0.39625748
3.30432150,2023.63300000,1.00000000,-0.39334367
3.23939600,2147.28320000,2.00000000,-0.38228967
3.25595380,2116.37060000,3.00000000,-0.38509895
3.65351800,1623.41590000,1.00000000,-0.45012105
3.32728720,1983.18650000,2.00000000,-0.39729851
3.24280670,2141.23850000,3.00000000,-0.38285522
4.06522460,1143.98860000,1.00000000,-0.64567301
3.34221500,1963.06790000,2.00000000,-0.39925166
3.24254300,2141.74930000,3.00000000,-0.38280518
