like1,parT,chain,KGEval
0.87808480,1317.87680000,0.00000000,0.15139122
0.83566300,577.89850000,0.00000000,0.15014178
0.83814480,776.44510000,0.00000000,0.16527257
0.87808480,1709.12900000,0.00000000,0.15139122
0.87808480,1422.22880000,0.00000000,0.15139122
0.85513450,967.14594000,0.00000000,0.15870481
0.87808480,1351.68410000,0.00000000,0.15139122
0.87808480,2104.78370000,0.00000000,0.15139122
0.84072580,863.71910000,0.00000000,0.16275900
0.83522680,547.92255000,0.00000000,0.14761062
0.87808480,1839.35390000,0.00000000,0.15139122
0.87065840,1093.62220000,0.00000000,0.15314948
0.83870685,512.06310000,1.00000000,0.13617987
0.83608810,583.78200000,2.00000000,0.15006010
0.83535480,565.85230000,3.00000000,0.14934877
0.83799905,835.56030000,1.00000000,0.16405800
0.83566916,577.49835000,2.00000000,0.15013746
0.83566844,578.29860000,3.00000000,0.15013903
0.83724207,530.97000000,1.00000000,0.14171889
0.87808480,2116.78780000,2.00000000,0.15139122
0.87808480,2188.59080000,3.00000000,0.15139122
0.87808480,1874.36790000,1.00000000,0.15139122
0.87421536,1132.16590000,2.00000000,0.15271733
0.83672917,595.27234000,3.00000000,0.15015803
0.83563180,571.59750000,1.00000000,0.14989201
0.83452207,559.76000000,2.00000000,0.14888409
0.75943980,128.69919000,3.00000000,0.07319395
0.83667010,600.73456000,1.00000000,0.15009457
0.87808480,2184.06790000,2.00000000,0.15139122
0.83604926,583.29340000,3.00000000,0.15005309
0.86899376,1076.71860000,1.00000000,0.15376702
0.83669980,594.40204000,2.00000000,0.15017140
0.83480830,561.39496000,3.00000000,0.14904720
0.83711785,812.74580000,1.00000000,0.16454777
0.83741957,631.86847000,2.00000000,0.15709616
0.83893156,747.79376000,3.00000000,0.16657884
0.83676850,598.86035000,1.00000000,0.15003586
0.83594700,582.35630000,2.00000000,0.15003719
0.83797250,677.11786000,3.00000000,0.16648157
0.83544650,568.82920000,1.00000000,0.14985366
0.83440910,550.69073000,2.00000000,0.14793980
0.83388990,555.22540000,3.00000000,0.14822054
0.83549290,569.84680000,1.00000000,0.14985669
0.83861180,658.82030000,2.00000000,0.16585414
0.83396804,552.94310000,3.00000000,0.14810333
0.83533770,565.60800000,1.00000000,0.14929407
0.83407515,556.76526000,2.00000000,0.14837769
0.83403450,552.34393000,3.00000000,0.14806488
0.83654386,616.94150000,1.00000000,0.15070103
0.87808480,1777.72910000,2.00000000,0.15139122
0.87808480,1197.33530000,3.00000000,0.15139122
0.83396750,552.95807000,1.00000000,0.14810464
0.83390980,554.09174000,2.00000000,0.14817539
0.83387780,554.65857000,3.00000000,0.14819991
0.83412580,557.16907000,1.00000000,0.14844095
0.83666620,607.99470000,2.00000000,0.15017013
0.83387000,555.05610000,3.00000000,0.14821524
0.83543090,567.35010000,1.00000000,0.14964226
0.87808480,1375.32560000,2.00000000,0.15139122
0.83453447,559.84705000,3.00000000,0.14890088
