like1,parT,chain,KGEval
0.98532140,684.67200000,0.00000000,-0.13849176
0.79544073,888.61700000,0.00000000,-0.11255477
0.93453795,750.05370000,0.00000000,-0.13040429
0.77992940,901.01420000,0.00000000,-0.10451875
0.92144350,305.66006000,0.00000000,-0.10506824
0.93094280,329.56180000,0.00000000,-0.11670469
0.88481840,230.09357000,0.00000000,-0.05405548
0.86989605,205.99678000,0.00000000,-0.03310949
0.93186440,331.99380000,0.00000000,-0.11779886
0.97469413,460.74860000,0.00000000,-0.14906231
0.76302516,912.19556000,0.00000000,-0.04663726
0.64880520,1046.08130000,0.00000000,0.18078417
0.84680057,174.66852000,1.00000000,-0.00265456
0.95920175,410.79218000,2.00000000,-0.14220196
0.89739525,253.19545000,3.00000000,-0.07201301
0.71223390,953.26337000,1.00000000,0.07112316
0.67970370,994.33124000,2.00000000,0.14956673
0.88948100,801.03800000,3.00000000,-0.12378029
0.68057970,993.17426000,1.00000000,0.14923702
0.62951300,1085.33440000,2.00000000,0.21223147
0.65242434,1039.25430000,3.00000000,0.17503494
0.82929885,847.29970000,1.00000000,-0.11779156
0.66890776,1009.92730000,2.00000000,0.15214083
0.71616685,949.27216000,3.00000000,0.06077087
0.65211487,1039.83280000,1.00000000,0.17553747
0.74934614,920.43536000,2.00000000,-0.00549648
0.69038284,980.13410000,3.00000000,0.13292284
0.68570304,986.47240000,1.00000000,0.14321869
0.66507590,1016.27686000,2.00000000,0.15526648
0.63396260,1075.88570000,3.00000000,0.20399558
0.67676526,998.37520000,1.00000000,0.15075027
0.63215950,1080.13340000,2.00000000,0.20717144
0.64177450,1059.69380000,3.00000000,0.19150341
0.70100900,965.98670000,1.00000000,0.10198851
0.62984910,1084.67380000,2.00000000,0.21151557
0.64816680,1047.30050000,3.00000000,0.18173510
0.63541900,1072.51400000,1.00000000,0.20142868
0.65944900,1026.32410000,2.00000000,0.16359337
0.64705860,1049.41910000,3.00000000,0.18340974
0.67108690,1006.64360000,1.00000000,0.15148454
0.63861340,1065.98720000,2.00000000,0.19640318
0.63420290,1075.33040000,3.00000000,0.20356614
0.64005727,1063.10730000,1.00000000,0.19417506
0.62314117,1097.15940000,2.00000000,0.22489220
0.62774557,1088.64640000,3.00000000,0.21581368
0.64270680,1057.85930000,1.00000000,0.19006257
0.62487490,1093.91220000,2.00000000,0.22145581
0.63104606,1082.34780000,3.00000000,0.20906715
0.62649710,1090.91660000,1.00000000,0.21825893
0.62480336,1094.03800000,2.00000000,0.22159469
0.62395880,1095.59860000,3.00000000,0.22325082
0.62803080,1088.13000000,1.00000000,0.21526160
0.62184525,1099.69460000,2.00000000,0.22754058
0.62332940,1096.80350000,3.00000000,0.22450988
0.63109046,1082.26610000,1.00000000,0.20899208
0.62426890,1095.02670000,2.00000000,0.22263874
0.64798800,1047.64500000,3.00000000,0.18200755
0.62409980,1095.33810000,1.00000000,0.22296793
0.62681280,1090.33620000,2.00000000,0.21762577
0.62545410,1092.83720000,3.00000000,0.22031163
0.62295854,1097.51640000,1.00000000,0.22526533
0.62240165,1098.60550000,2.00000000,0.22641183
0.62212497,1099.15000000,3.00000000,0.22697790
0.62205166,1099.29210000,1.00000000,0.22711994
0.62259260,1098.22570000,2.00000000,0.22600963
0.62232125,1098.75890000,3.00000000,0.22656848
0.62438000,1094.82030000,1.00000000,0.22241888
0.63600540,1071.23270000,2.00000000,0.20044547
0.62230474,1098.78650000,3.00000000,0.22659767
0.62584054,1092.12260000,1.00000000,0.21955026
0.66254276,1020.69730000,2.00000000,0.15855907
0.62216300,1099.07480000,3.00000000,0.22689892
