like1,parT,chain,like_val
1.40495220,160.98495000,0.00000000,0.97988583
1.20634810,1050.34960000,0.00000000,1.10944656
1.41067920,1486.51320000,0.00000000,1.13027127
0.40728885,401.30948000,0.00000000,0.81680214
1.20278870,1042.48740000,0.00000000,1.10891276
1.89926000,115.98411000,0.00000000,1.58851139
0.47489405,304.53323000,0.00000000,0.58014361
1.43232740,1561.61280000,0.00000000,1.13272519
1.20819410,1054.31580000,0.00000000,1.10971299
1.16764510,960.45844000,0.00000000,1.10278929
1.42257440,1526.92760000,0.00000000,1.13162194
1.42377350,1531.10940000,0.00000000,1.13175801
1.03326330,725.82960000,1.00000000,1.06980033
0.75924670,563.56950000,2.00000000,1.00487088
0.58162755,482.43950000,3.00000000,0.93527396
0.78654736,577.52220000,1.00000000,1.01321717
0.48464320,441.02774000,2.00000000,0.88285150
0.37594697,372.78050000,3.00000000,0.76027285
0.75363060,560.72170000,1.00000000,1.00311540
1.06844570,760.59000000,2.00000000,1.07670119
0.37274948,360.85330000,3.00000000,0.73397517
0.82685590,598.46173000,1.00000000,1.02474395
1.10276380,820.47460000,2.00000000,1.08677360
0.37845560,376.44888000,3.00000000,0.76802423
0.43488142,417.17340000,1.00000000,0.84488966
0.39036426,389.01337000,2.00000000,0.79358087
1.02764740,721.66460000,3.00000000,1.06884272
0.45556706,427.61000000,1.00000000,0.86217792
0.43240392,317.95096000,2.00000000,0.62004489
0.38084310,345.36572000,3.00000000,0.69629000
0.54848800,468.58527000,1.00000000,0.91932142
1.34021570,168.19257000,2.00000000,0.89108526
1.07362190,768.97797000,3.00000000,1.07825033
1.22102360,1080.93930000,1.00000000,1.11144897
0.62336260,499.88562000,2.00000000,0.95364703
0.48128542,302.73337000,3.00000000,0.57470691
0.74296860,555.33900000,1.00000000,0.99969884
0.55705327,472.17618000,2.00000000,0.92362786
0.37734160,374.93335000,3.00000000,0.76483450
0.38191630,344.25146000,1.00000000,0.69338373
0.74550340,556.61475000,2.00000000,1.00053404
0.50596535,450.43310000,3.00000000,0.89609750
0.38735127,339.59113000,1.00000000,0.68096909
0.37317222,358.02000000,2.00000000,0.72749959
1.03715370,728.69410000,3.00000000,1.07040605
0.41649115,406.97550000,1.00000000,0.82706210
0.37825158,376.17060000,2.00000000,0.76744049
0.37275510,360.76816000,3.00000000,0.73378175
