like1,parT,chain,KGEval
1.07731990,1573.27540000,0.00000000,0.09131741
1.07731990,376.42624000,0.00000000,0.09131741
1.07731990,1649.96570000,0.00000000,0.09131741
1.07731990,123.92770400,0.00000000,0.09131741
1.07731990,780.87036000,0.00000000,0.09131741
1.07731990,1216.30290000,0.00000000,0.09131741
1.07731990,1679.99830000,0.00000000,0.09131741
1.07731990,511.95367000,0.00000000,0.09131741
1.07731990,1205.44200000,0.00000000,0.09131741
1.07731990,1631.05410000,0.00000000,0.09131741
1.07731990,1125.81640000,0.00000000,0.09131741
1.07731990,255.57930000,0.00000000,0.09131741
1.07731990,1463.67850000,1.00000000,0.09131741
1.07731990,1721.91480000,2.00000000,0.09131741
1.07731990,1682.87240000,3.00000000,0.09131741
1.07731990,1618.27030000,1.00000000,0.09131741
1.07731990,252.34143000,2.00000000,0.09131741
1.07731990,500.51105000,3.00000000,0.09131741
1.07731990,1619.93310000,1.00000000,0.09131741
1.07731990,1679.99830000,2.00000000,0.09131741
1.07731990,1619.93310000,3.00000000,0.09131741
1.07731990,768.32806000,1.00000000,0.09131741
1.07731990,255.57930000,2.00000000,0.09131741
1.07731990,1465.60060000,3.00000000,0.09131741
1.07731990,1463.67850000,1.00000000,0.09131741
1.07731990,1205.44200000,2.00000000,0.09131741
1.07731990,1721.91480000,3.00000000,0.09131741
1.07731990,252.34143000,1.00000000,0.09131741
1.07731990,500.51105000,2.00000000,0.09131741
1.07731990,252.34143000,3.00000000,0.09131741
1.07731990,1679.99830000,1.00000000,0.09131741
1.07731990,1619.93310000,2.00000000,0.09131741
1.07731990,1679.99830000,3.00000000,0.09131741
1.07731990,157.82002000,1.00000000,0.09131741
1.07731990,2152.65770000,2.00000000,0.09131741
1.07731990,1112.22840000,3.00000000,0.09131741
1.07731990,1205.44200000,1.00000000,0.09131741
1.07731990,1721.91480000,2.00000000,0.09131741
1.07731990,1205.44200000,3.00000000,0.09131741
1.07731990,500.51105000,1.00000000,0.09131741
1.07731990,252.34143000,2.00000000,0.09131741
1.07731990,500.51105000,3.00000000,0.09131741
1.07731990,1619.93310000,1.00000000,0.09131741
1.07731990,2114.04980000,2.00000000,0.09131741
1.07731990,1679.99830000,3.00000000,0.09131741
1.07731990,1787.62590000,1.00000000,0.09131741
1.07731990,1650.43790000,2.00000000,0.09131741
1.07731990,1464.81020000,3.00000000,0.09131741
