like1,parT,chain,KGEval
5.98058460,173.92757000,0.00000000,-4.94517615
2.04710170,1920.28420000,0.00000000,-1.21398051
4.51339500,370.53090000,0.00000000,-3.06147345
2.82386830,776.60620000,0.00000000,-2.03901782
3.52179300,607.43360000,0.00000000,-2.54976112
2.07854460,2144.31790000,0.00000000,-1.20542055
2.06658960,2056.82060000,0.00000000,-1.20792249
2.54406930,859.50910000,0.00000000,-1.78810023
1.98438980,1383.81670000,0.00000000,-1.28511683
7.35432430,101.79981000,0.00000000,-7.11338385
2.00515000,1646.05460000,0.00000000,-1.23215381
2.04337840,1177.55310000,0.00000000,-1.38175605
2.01706650,1720.31860000,1.00000000,-1.22429986
1.99358080,1552.06760000,2.00000000,-1.24862560
1.98760760,1467.94210000,3.00000000,-1.26660521
2.06654830,1147.79140000,1.00000000,-1.39790563
1.98531650,1396.92300000,2.00000000,-1.28151794
1.99083860,1521.48880000,3.00000000,-1.25582437
1.98900590,1495.59720000,1.00000000,-1.26227473
2.03128300,1813.64140000,2.00000000,-1.21775191
2.00640250,1654.61930000,3.00000000,-1.23106641
1.98707700,1451.41260000,1.00000000,-1.26945211
2.01122930,1685.84840000,2.00000000,-1.22762238
1.99530320,1568.63050000,3.00000000,-1.24505306
1.98684950,1439.70690000,1.00000000,-1.27168018
2.07291750,2102.80760000,2.00000000,-1.20645870
2.02497670,1771.25730000,3.00000000,-1.22035201
1.98388050,1368.87230000,1.00000000,-1.28958068
1.98458580,1340.82170000,2.00000000,-1.29905876
1.98396430,1354.84700000,3.00000000,-1.29413746
1.98507980,1334.19470000,1.00000000,-1.30151255
1.98497880,1392.80370000,2.00000000,-1.28261812
1.98384690,1363.49910000,3.00000000,-1.29128392
2.05562660,1979.50900000,1.00000000,-1.21098357
1.99419240,1281.26510000,2.00000000,-1.32427887
1.98400490,1374.60360000,3.00000000,-1.28782156
1.98397820,1373.65800000,1.00000000,-1.28810755
1.98698890,1447.57340000,2.00000000,-1.27016262
1.98387670,1368.57860000,3.00000000,-1.28967244
1.98434420,1344.94100000,1.00000000,-1.29757428
1.99418990,1558.09910000,2.00000000,-1.24727295
1.98391690,1356.90660000,3.00000000,-1.29344625
1.98534750,1397.27700000,1.00000000,-1.28142462
1.98405080,1376.06200000,2.00000000,-1.28738361
1.98384990,1365.45450000,3.00000000,-1.29065759
1.98675080,1421.27300000,1.00000000,-1.27557987
1.98567160,1327.93430000,2.00000000,-1.30389001
1.98407020,1351.26900000,3.00000000,-1.29535742
1.98389940,1370.09170000,1.00000000,-1.28920155
1.98385800,1366.79540000,2.00000000,-1.29023273
1.98384870,1365.14730000,3.00000000,-1.29075546
1.98386680,1360.15080000,1.00000000,-1.29237208
1.98384850,1362.80260000,2.00000000,-1.29150845
1.98384670,1364.12850000,3.00000000,-1.29108144
1.98384940,1362.55350000,1.00000000,-1.29158901
1.98385040,1365.56600000,2.00000000,-1.29062212
1.98384670,1364.05970000,3.00000000,-1.29110353
1.98386760,1360.07070000,1.00000000,-1.29239834
1.98384700,1364.47140000,2.00000000,-1.29097148
1.98385060,1362.27110000,3.00000000,-1.29168049
