like1,parT,chain,KGEval
2.58868030,340.70633000,0.00000000,-2.28699688
3.78388450,764.25836000,0.00000000,-2.44234496
2.01972270,262.14145000,0.00000000,-2.13705984
3.75757120,742.93730000,0.00000000,-2.44120426
1.17643400,165.54079000,0.00000000,-1.67590940
0.57960695,100.98524500,0.00000000,-0.91399812
3.35858440,529.95734000,0.00000000,-2.41306143
3.97111100,991.29930000,0.00000000,-2.44792545
3.00941230,424.34122000,0.00000000,-2.36638190
0.53973460,94.11511000,0.00000000,-0.80227647
3.18419810,470.72357000,0.00000000,-2.39167641
3.32323030,516.87897000,0.00000000,-2.40906312
1.64915810,217.41072000,1.00000000,-1.98461045
2.77291400,373.68405000,2.00000000,-2.32391435
1.08103850,155.76292000,3.00000000,-1.59339522
1.63076320,215.24622000,1.00000000,-1.97521245
3.28793450,504.65625000,2.00000000,-2.40502334
1.10443100,158.11572000,3.00000000,-1.61385440
3.13471300,456.14676000,1.00000000,-2.38484469
1.16550930,164.40384000,2.00000000,-1.66663633
1.80039660,235.50732000,3.00000000,-2.05579273
3.72155170,716.96576000,1.00000000,-2.43963630
2.85371610,389.51022000,2.00000000,-2.33891799
0.87225360,134.77270000,3.00000000,-1.38567570
0.78909165,126.11542500,1.00000000,-1.28016662
0.64742050,110.11526500,2.00000000,-1.05501879
1.37032190,186.12837000,3.00000000,-1.82640440
1.10200270,157.86615000,1.00000000,-1.61170405
0.82053100,129.42570000,2.00000000,-1.32171212
0.54138404,94.44756000,3.00000000,-0.80780571
2.54681920,334.01633000,1.00000000,-2.27820146
0.60053426,104.00461600,2.00000000,-0.96169212
0.72705233,119.38866400,3.00000000,-1.18983699
1.45748700,195.63512000,1.00000000,-1.88000434
0.69605500,115.89072400,2.00000000,-1.13969721
0.88256540,135.82681000,3.00000000,-1.39803656
0.58724160,102.11519000,1.00000000,-0.93192887
0.56152046,98.11515000,2.00000000,-0.86804085
0.55011790,96.11513500,3.00000000,-0.83539323
0.60903530,105.16914000,1.00000000,-0.97989561
0.57192380,99.80836000,2.00000000,-0.89522880
0.55577004,97.12796000,3.00000000,-0.85199923
0.64800130,110.18696000,1.00000000,-1.05608531
1.68890080,222.10164000,2.00000000,-2.00436866
0.61213250,105.58610500,3.00000000,-0.98637616
3.00463680,423.19574000,1.00000000,-2.36559635
0.70326847,116.71516000,2.00000000,-1.15160085
2.08233200,269.95544000,3.00000000,-2.15735227
