date,storage,inflow,outflow
1999-05-05,36184021.343,108.142,2.528
1999-05-06,44814141.571,103.017,3.131
1999-05-07,55058317.231,122.414,3.847
1999-05-08,64659772.506,115.646,4.518
1999-05-09,73469151.659,107.094,5.134
1999-05-10,81848732.635,102.705,5.719
1999-05-11,90195033.151,102.903,6.302
1999-05-12,98313731.273,100.836,6.870
1999-05-13,106369110.066,100.666,7.432
1999-05-14,114060019.478,96.985,7.970
1999-05-15,121563759.077,95.343,8.494
1999-05-16,129547720.901,101.459,9.052
1999-05-17,138023623.045,107.745,9.644
1999-05-18,147243925.074,117.005,10.289
1999-05-19,157666202.511,131.645,11.017
1999-05-20,169044921.203,143.510,11.812
1999-05-21,180423375.544,144.302,12.607
1999-05-22,192866841.526,157.498,13.476
1999-05-23,209873237.769,211.498,14.665
1999-05-24,241388432.047,381.626,16.867
1999-05-25,287427385.809,552.942,20.084
1999-05-26,326074351.015,470.087,22.784
1999-05-27,356182080.098,373.357,24.888
1999-05-28,384893225.211,359.199,26.894
1999-05-29,411367400.023,335.158,28.744
1999-05-30,435279998.690,307.181,30.415
1999-05-31,457480474.312,288.916,31.966
1999-06-01,481568691.159,312.448,33.649
1999-06-02,501776940.282,268.953,35.061
1999-06-03,519641136.221,243.071,36.309
1999-06-04,540311575.735,276.995,37.754
1999-06-05,565750902.058,333.968,39.531
1999-06-06,591565311.566,340.113,41.335
1999-06-07,612314793.061,282.941,42.785
1999-06-08,629019611.083,237.295,43.952
1999-06-09,643440303.980,211.866,44.960
1999-06-10,656191319.802,193.432,45.851
1999-06-11,668809909.223,192.781,46.733
1999-06-12,684188326.021,225.798,47.807
1999-06-13,708195211.849,327.342,49.485
1999-06-14,741287035.007,434.804,51.797
1999-06-15,788358200.458,599.891,55.086
1999-06-16,844502400.360,708.826,59.009
1999-06-17,890861772.540,598.815,62.248
1999-06-18,932006219.355,541.332,65.123
1999-06-19,968370764.070,488.550,67.664
1999-06-20,997637291.900,408.442,69.709
1999-06-21,1023488915.051,370.724,71.515
1999-06-22,1049114810.669,369.902,73.306
1999-06-23,1073619043.174,358.632,75.018
1999-06-24,1099070616.551,371.375,76.797
1999-06-25,1123914715.001,366.080,78.533
1999-06-26,1145278038.797,327.286,80.025
1999-06-27,1163383297.285,290.842,81.290
1999-06-28,1179752968.424,271.898,82.434
1999-06-29,1195221844.028,262.553,83.515
1999-06-30,1210926217.566,266.376,84.612
1999-07-01,1231210452.644,320.801,86.030
1999-07-02,1250782013.364,313.920,87.397
1999-07-03,1265768742.130,261.902,88.444
1999-07-04,1277613479.537,226.364,89.272
1999-07-05,1289049108.225,222.428,90.071
