like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.8107396,1.025497,0.44964096,0.03923175,0.7525182,0.91493833,0.5410056,4.2024584,1.0
0.7351066,0.75880873,0.4246344,0.3321128,0.8562945,0.9606636,0.5946648,2.9776893,1.0
0.74478257,1.6428031,0.6377484,0.47812173,0.7664116,0.33835086,0.50843364,2.1130562,1.0
0.7580031,1.5760518,0.8057658,0.1786307,0.84201664,0.5824323,0.9455849,1.0321556,1.0
0.84554464,0.7215403,0.26072875,0.96849203,0.11376631,0.76061064,0.4733013,4.339192,1.0
0.7322521,0.7292742,0.27657342,0.655087,0.2213721,0.97871906,0.44687977,2.8322432,1.0
0.75583035,2.197789,0.9501685,0.43204197,0.19096725,0.40609828,0.34504738,3.3366985,1.0
0.75592,2.152278,0.9774229,0.69047827,0.14606327,0.5652039,0.6007427,2.5171378,1.0
1.0103275,1.0393817,0.8004423,0.65849847,0.27902007,0.8686792,0.5858304,4.2866917,1.0
0.75629544,1.1971877,0.3614716,0.7753098,0.81762516,0.40936604,0.4639793,2.585358,1.0
0.837097,1.4062845,0.8716694,0.72753066,0.5220454,0.7012216,0.7763031,2.3952873,1.0
0.95614713,0.9872934,0.20315911,0.6172881,0.5142607,0.5582093,0.43956304,2.1342487,1.0
0.75114334,1.9989595,0.8572443,0.8216511,0.9104783,0.40937626,0.615211,3.6748638,1.0
0.82726824,1.5165411,0.8898017,0.16687374,0.7807409,0.77979755,0.39413345,2.7478757,1.0
1.0141785,0.9971915,0.8310603,0.84840804,0.29656386,0.8607016,0.7169816,4.6800704,1.0
0.755932,2.1695373,0.93613577,0.32300898,0.48486686,0.3594482,0.6009288,2.8679688,1.0
0.7314548,1.2991153,0.44936284,0.48668125,0.021311523,0.26160997,0.48892936,3.786167,1.0
0.74634016,0.9883614,0.3749131,0.99839735,0.8564343,0.7453881,0.20271896,2.3209713,1.0
0.93233997,1.2489754,0.21868747,0.25271368,0.6413989,0.381933,0.7887169,1.2320712,1.0
0.7867959,0.919195,0.31804872,0.03117736,0.33868307,0.5847752,0.5906884,3.0685635,1.0
0.7463187,1.7749583,0.73011047,0.84344304,0.3073297,0.36395302,0.71245074,3.7407155,1.0
0.9431696,1.5006697,0.89485687,0.3208288,0.6679192,0.93298733,0.655319,1.5755059,1.0
0.84633076,1.1547016,0.7883338,0.48036498,0.6587222,0.75093776,0.5975328,1.1837626,1.0
1.0167404,1.0223786,0.8261042,0.7316687,0.76940596,0.8828526,0.48957974,1.3208438,1.0
0.7486465,1.2913152,0.375976,0.9317295,0.7086018,0.18691304,0.1779223,1.3747959,1.0
1.0529523,1.2468483,0.8497639,0.6078115,0.37238765,0.81741047,0.9687825,1.1179672,1.0
0.7553233,2.1433797,0.923182,0.47442845,0.7256172,0.33290264,0.59317756,1.2645648,1.0
0.75571,2.1611435,0.93339854,0.2551653,0.54829174,0.39975053,0.47270548,2.3649693,1.0
0.75116974,1.0996565,0.36869505,0.5939501,0.08029264,0.45780966,0.9466547,4.4954433,1.0
0.7407742,1.213382,0.61982185,0.11351672,0.85519785,0.8486102,0.033065036,2.8829556,1.0
0.84573936,1.0607612,0.2692897,0.8045112,0.51314926,0.51986593,0.62166154,2.5578911,1.0
0.73672855,0.85144424,0.43563324,0.88550645,0.38601434,0.5923223,0.8698352,2.5958884,1.0
0.75147134,2.0652516,0.8845286,0.13403618,0.35045958,0.11913745,0.53160954,1.6159822,1.0
0.75865805,1.0260932,0.35241142,0.9614379,0.8023589,0.650255,0.2863971,2.4749193,1.0
0.7470582,1.8137044,0.7483633,0.5005975,0.12009902,0.28047115,0.7381558,4.893747,1.0
0.75187904,1.9664805,0.8338049,0.37169877,0.22666848,0.17855287,0.77010196,2.0549932,1.0
1.0226953,1.9039108,0.7489803,0.08851448,0.60207963,0.9076157,0.44762024,1.5805181,1.0
0.746108,1.5271914,0.56632733,0.4747229,0.79418373,0.4194317,0.13824214,3.7078977,1.0
0.7455192,1.5822424,0.58271766,0.7052028,0.50717837,0.2323893,0.9703542,2.7746716,1.0
0.86227113,1.5743119,0.68308306,0.162007,0.9044832,0.8888453,0.96644366,4.4790883,1.0
0.75532395,2.1519413,0.9336694,0.28595042,0.8146882,0.54466915,0.012156493,2.4727345,1.0
0.8441137,0.8092452,0.6500033,0.67492586,0.009675847,0.6948415,0.93038845,3.7135298,1.0
0.7558401,2.1805177,0.9411454,0.6373941,0.079700224,0.38069376,0.31638247,3.323433,1.0
0.88773113,0.8593538,0.23819588,0.1808222,0.24782933,0.6065153,0.6622988,1.0354651,1.0
0.76264423,1.9789087,0.94736415,0.72204876,0.2699444,0.71454406,0.23188505,2.3100967,1.0
0.74820936,1.143024,0.574838,0.7690781,0.703223,0.6990422,0.30202407,3.8439815,1.0
0.739284,1.2461292,0.39885294,0.79978746,0.21565123,0.36311197,0.39986858,3.0930972,1.0
0.7503327,1.7950988,0.80601513,0.61770153,0.6082072,0.56117827,0.40574756,1.664408,1.0
0.79620886,0.62367946,0.2932194,0.09375586,0.94024265,0.7655344,0.96302867,1.3204256,1.0
0.77118427,0.9050161,0.3356933,0.1919587,0.07249511,0.55027705,0.890155,3.4416397,1.0
0.7619618,1.4434679,0.773538,0.6439241,0.9085518,0.7173556,0.42409748,4.2742586,1.0
0.7451585,1.6057032,0.60291666,0.18372521,0.0946446,0.26508075,0.24944635,1.9761703,1.0
0.7448121,1.6577573,0.64898354,0.35638204,0.3119013,0.34358373,0.4231826,3.4446876,1.0
0.8666661,0.72979724,0.24920104,0.2794499,0.37753636,0.6478408,0.71400976,1.2765281,1.0
0.74511385,1.6038822,0.60078496,0.12118502,0.26727676,0.19292232,0.4880318,1.7484626,1.0
0.73921466,1.0017284,0.39934886,0.7655018,0.14831537,0.6098048,0.38730934,3.3811443,1.0
