like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
1.70249690,0.22431664,0.26367960,0.53360530,0.74375840,0.39386073,2.56098300,0.00000000,2.02835687
0.98168710,0.45780793,0.63690120,0.57165400,0.86774814,0.84928220,1.99815740,0.00000000,1.24831819
1.15347110,0.51253310,0.22492374,0.58030987,0.74352910,0.91039210,2.30157920,0.00000000,1.07148796
0.47157866,0.69116056,0.94265276,0.39262150,0.79062074,0.53197247,2.89547750,0.00000000,0.99870261
1.47295500,0.29874805,0.60517690,0.41689703,0.53884540,0.13197728,4.24655150,0.00000000,1.87303732
0.98532987,0.74936420,0.33797887,0.75199230,0.35891290,0.35246184,3.65511080,0.00000000,1.32912364
0.68275810,0.77917550,0.49697572,0.73418930,0.53761770,0.66193440,1.77365490,0.00000000,1.15212609
1.15842210,0.88765240,0.84821945,0.13431627,0.20977654,0.67727850,1.35588650,0.00000000,1.29708273
0.75367420,0.51503160,0.68432200,0.78718920,0.71677690,0.88539493,2.37607260,0.00000000,0.91966101
0.73400754,0.62011164,0.22018296,0.62136270,0.59016156,0.40055624,2.70632310,0.00000000,1.11366260
0.77968955,0.54324640,0.43037662,0.51820517,0.62539023,0.97471064,3.25226880,0.00000000,0.97953390
0.95866615,0.50925120,0.29693530,0.06159098,0.31724430,0.90125906,2.86090640,0.00000000,1.48939344
1.09485800,0.81356984,0.08629706,0.32058540,0.21189928,0.50033740,2.50903270,0.00000000,1.33410728
1.11279420,0.39221752,0.19671460,0.44201946,0.91843280,0.08092124,1.73711970,0.00000000,1.31856759
1.14173840,0.48246208,0.49973267,0.44319203,0.41033850,0.03043652,1.37151610,0.00000000,1.46892665
1.01998420,0.65756680,0.27581580,0.21193624,0.24741470,0.59049300,2.75699260,0.00000000,1.41968702
0.84752700,0.67241170,0.57584880,0.18013223,0.35480782,0.77633520,2.24402200,0.00000000,1.33864299
1.10983990,0.52009606,0.16985717,0.48758802,0.87585120,0.45833650,2.48591400,0.00000000,1.21950407
0.46844035,0.83040740,0.53709733,0.89445020,0.79274267,0.38887995,4.79171100,0.00000000,1.05574661
1.02574600,0.40493098,0.85613920,0.35598330,0.92117100,0.24229580,3.35678030,0.00000000,1.38350807
1.06596980,0.56586100,0.17850749,0.20083767,0.84067386,0.38792363,2.65023300,0.00000000,1.04640218
0.97703490,0.69356300,0.56781800,0.59109205,0.40729874,0.12909326,3.74256870,0.00000000,1.29932067
0.61898255,0.61158210,0.18343638,0.43036770,0.60767750,0.33839402,3.34991740,0.00000000,1.06358407
