like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.30582434,0.67692770,0.21650806,0.23444223,0.68953650,0.30713412,3.77055480,0.00000000,0.66431102
1.03213260,0.75827116,0.45793530,0.26053400,0.23471399,0.10915922,3.92365800,0.00000000,1.29797459
0.98195386,0.47858256,0.38954887,0.57471377,0.26965240,0.52453360,2.26670170,0.00000000,1.31651207
0.81351400,0.29348540,0.09964929,0.55455520,0.52156390,0.68342537,1.59180240,0.00000000,1.07989468
0.39812347,0.59342116,0.08749110,0.27335533,0.71873070,0.27009916,1.62800880,0.00000000,0.61979619
0.69714250,0.38210110,0.19952534,0.75390630,0.85456120,0.41605413,2.67982000,0.00000000,0.67200970
1.13957980,0.38383195,0.87209010,0.64968050,0.25097638,0.35989618,3.46321900,0.00000000,1.37872380
0.27967950,0.72058994,0.50143900,0.25186220,0.52345510,0.84500617,4.42455100,0.00000000,0.97356149
1.36282720,0.20315845,0.36879042,0.83038680,0.76427240,0.53308964,3.18644100,0.00000000,1.32415179
0.43435960,0.53765880,0.14326817,0.76200100,0.76493394,0.42694268,1.78413980,0.00000000,0.73341042
1.00540750,0.52086970,0.43125343,0.84982220,0.98269504,0.05310114,1.64524890,0.00000000,1.13052988
1.19647630,0.91357490,0.69070137,0.65490380,0.18701287,0.87591845,1.11118110,0.00000000,1.13913802
1.16848020,0.51387720,0.33990467,0.78100705,0.13056320,0.09632597,4.26835780,0.00000000,1.41533830
1.11860130,0.23876123,0.89252940,0.50277580,0.56645334,0.45698540,2.88051960,0.00000000,1.28006630
1.18017240,0.30185652,0.93196154,0.46599275,0.33432558,0.34516627,4.72951650,0.00000000,1.36051440
1.03078470,0.42309946,0.11408823,0.67071480,0.41628770,0.22184170,1.24014910,0.00000000,1.22149114
1.16285010,0.76929210,0.99624430,0.72132283,0.77923185,0.19301966,4.54021450,0.00000000,1.29034090
1.07617350,0.93016356,0.53487150,0.93555070,0.72170870,0.27681250,2.21014400,0.00000000,1.05318562
0.50777940,0.79261667,0.36212328,0.73952526,0.44802985,0.86351540,4.07783400,0.00000000,1.05430632
1.04648880,0.68118840,0.18934177,0.38430706,0.48947912,0.05487594,1.15519110,0.00000000,1.12799660
1.09266470,0.61746490,0.55523586,0.60671866,0.73201424,0.05274910,1.08966000,0.00000000,1.03195522
0.90767336,0.41729630,0.12263701,0.24189770,0.33953170,0.00263878,3.80781980,0.00000000,1.28582416
0.66754323,0.50640680,0.78395355,0.19134460,0.50499960,0.72784960,3.26521470,0.00000000,1.06927044
0.55123470,0.43969380,0.29273188,0.40065935,0.60709070,0.81351980,1.09205720,0.00000000,0.94211942
1.15757600,0.28398502,0.46513507,0.86874974,0.53262585,0.21997061,4.54046540,0.00000000,1.26605174
1.23202980,0.96344000,0.74225380,0.32623696,0.16713114,0.97309643,2.25545300,0.00000000,1.11052630
1.13508770,0.79173857,0.67187840,0.20542602,0.16034590,0.10691921,4.44603970,0.00000000,1.29639066
0.76585860,0.37443888,0.49983990,0.08432426,0.49848312,0.40515003,2.30163900,0.00000000,1.11322994
0.99414575,0.80746390,0.28397563,0.81384087,0.43255305,0.15629587,1.53921930,0.00000000,1.18203292
0.74538010,0.81231550,0.66452710,0.20919137,0.88538283,0.01253063,3.95919900,0.00000000,0.65556972
0.50263816,0.60248387,0.89128750,0.63475084,0.70637030,0.61520100,1.65188980,0.00000000,0.91494968
1.09417100,0.42666653,0.21729392,0.84558270,0.19683598,0.73779340,1.50002560,0.00000000,1.40500577
0.80444470,0.75503916,0.50083566,0.71831910,0.42351300,0.71758085,2.23086290,0.00000000,1.12140059
0.72644020,0.43782860,0.01391114,0.00625453,0.66569200,0.75533910,3.24144150,0.00000000,0.64311308
0.48380712,0.91731656,0.73381810,0.40879613,0.66905710,0.59869420,1.81925170,0.00000000,0.81460143
0.88144034,0.50958150,0.08078527,0.61038080,0.43118972,0.52465690,1.44644010,0.00000000,1.15699106
1.18253220,0.26177943,0.91708200,0.08641130,0.50841490,0.16964456,1.20584890,0.00000000,1.29193409
1.18329050,0.24438699,0.83728700,0.46514726,0.29587385,0.48365638,2.35066990,0.00000000,1.41325069
1.03824580,0.66046137,0.17525725,0.23611416,0.19621266,0.94747835,2.91749620,0.00000000,1.35057307
1.04165460,0.62442780,0.32445890,0.14987072,0.92924690,0.86581250,1.93937990,0.00000000,1.56036751
1.03326460,0.49419633,0.73013836,0.66645080,0.61613180,0.24476336,1.18935230,0.00000000,1.09459594
1.13441490,0.85829850,0.83787500,0.36781287,0.18227310,0.77338270,4.42854830,0.00000000,1.19682152
0.40833200,0.54241950,0.49899074,0.61817160,0.63507074,0.66881996,2.32053640,0.00000000,0.85981189
0.90612430,0.48996782,0.28709140,0.35641363,0.93209946,0.91052530,2.75947260,0.00000000,1.27676125
0.57638430,0.73916626,0.41683640,0.25766850,0.68260770,0.14171585,1.89978410,0.00000000,0.76581811
1.49837270,0.77703303,0.13477735,0.62230060,0.90624310,0.97390574,2.45913310,0.00000000,2.27211547
0.64205390,0.53965060,0.56792500,0.44952420,0.60058886,0.48622793,4.13859650,0.00000000,0.95046988
0.63131475,0.38520950,0.18846272,0.67884950,0.75265000,0.50968000,4.66176300,0.00000000,0.72110813
1.15940120,0.89964324,0.58825740,0.72037834,0.19852486,0.19330665,3.51089930,0.00000000,1.21953699
1.06756900,0.85912746,0.67604680,0.10287920,0.23359768,0.67224824,3.68232250,0.00000000,1.17328065
0.67486850,0.67355260,0.83086910,0.94098410,0.83243185,0.94019980,3.62514640,0.00000000,0.60190492
1.20155170,0.43325058,0.81575940,0.23216596,0.10704777,0.74821310,2.37677650,0.00000000,1.45107869
0.83622617,0.68121910,0.09209665,0.14202896,0.62288550,0.87207190,4.13451500,1.00000000,0.74609277
0.68519676,0.50171490,0.57453520,0.08474571,0.77123610,0.83353700,4.96301650,2.00000000,0.61569182
1.06120600,0.94438520,0.99838240,0.95533960,0.49626806,0.64326050,4.16538200,3.00000000,1.10117661
1.03451400,0.25920388,0.41078990,0.23768762,0.88671710,0.65373975,3.34275770,4.00000000,0.92592970
1.00156330,0.88169074,0.33545557,0.82426846,0.80441356,0.63955170,4.77947330,5.00000000,0.44187352
0.42873280,0.75057190,0.68737620,0.69110520,0.61128790,0.67265500,3.78152400,6.00000000,0.94586469
1.01587770,0.39130798,0.75506150,0.95557880,0.25976148,0.87072680,1.81598760,7.00000000,1.36576162
