date,storage,inflow,outflow
1987-05-01,58282398.002,8.627,5.393
1987-05-02,58292406.635,5.510,5.394
1987-05-03,58417443.924,6.853,5.406
1987-05-04,58427831.196,5.527,5.407
1987-05-05,58439421.170,5.542,5.408
1987-05-06,58451090.010,5.544,5.409
1987-05-07,58463951.317,5.559,5.410
1987-05-08,58476967.048,5.562,5.411
1987-05-09,58722667.305,8.278,5.434
1987-05-10,58851468.320,6.937,5.446
1987-05-11,58981812.075,6.967,5.458
1987-05-12,59346131.874,9.709,5.492
1987-05-13,59830021.983,11.138,5.537
1987-05-14,60313819.150,11.182,5.582
1987-05-15,61038626.455,14.039,5.650
1987-05-16,61887496.402,15.554,5.729
1987-05-17,62739701.342,15.672,5.809
1987-05-18,63842316.687,18.673,5.911
1987-05-19,64953354.633,18.874,6.015
1987-05-20,65794018.875,15.823,6.093
1987-05-21,66408809.287,13.266,6.150
1987-05-22,66767988.326,10.341,6.184
1987-05-23,67128070.323,10.385,6.217
1987-05-24,67359711.620,8.920,6.239
1987-05-25,67592160.119,8.951,6.261
1987-05-26,67864321.731,9.436,6.286
1987-05-27,68135681.312,9.452,6.311
1987-05-28,68298336.328,8.209,6.326
1987-05-29,68460978.087,8.224,6.342
1987-05-30,68492813.175,6.713,6.345
1987-05-31,68523365.519,6.701,6.347
1987-06-01,68734436.353,8.810,6.367
1987-06-02,68861540.009,7.850,6.379
1987-06-03,69010770.369,8.120,6.393
1987-06-04,69052271.447,6.877,6.397
1987-06-05,69117868.472,7.162,6.403
1987-06-06,69183113.081,7.164,6.409
1987-06-07,69453026.502,9.558,6.434
1987-06-08,69588791.025,8.018,6.447
1987-06-09,69723557.088,8.019,6.459
1987-06-10,69676741.614,5.913,6.455
1987-06-11,70411032.734,15.022,6.523
1987-06-12,70079912.554,2.660,6.492
1987-06-13,69814585.598,0.727,3.798
1987-06-14,69671819.347,4.802,6.454
1987-06-15,69661243.829,6.331,6.453
1987-06-16,69494246.233,4.505,6.438
1987-06-17,69328582.223,4.505,6.422
1987-06-18,69247894.149,5.481,6.415
1987-06-19,69167850.422,5.481,6.407
1987-06-20,68826601.729,2.426,6.376
1987-06-21,68617757.423,3.939,6.356
1987-06-22,68329413.470,2.992,6.329
1987-06-23,68125653.772,3.952,6.310
1987-06-24,67973318.764,4.533,6.296
1987-06-25,67772402.719,3.952,6.277
1987-06-26,67467667.774,2.722,6.249
1987-06-27,67295045.629,4.235,6.233
1987-06-28,66971066.698,2.453,6.203
1987-06-29,66673930.894,2.736,6.175
1987-06-30,66508932.915,4.250,6.160
1987-07-01,66216687.497,2.750,6.132
1987-07-02,65925147.363,2.731,6.105
1987-07-03,65638335.250,2.759,6.079
1987-07-04,65353813.523,2.759,6.052
1987-07-05,65071563.891,2.759,6.026
1987-07-06,64792853.860,2.774,6.000
1987-07-07,64432623.265,1.289,5.458
1987-07-08,64160129.830,2.787,5.941
1987-07-09,63796266.187,1.302,5.513
1987-07-10,63530054.426,2.801,5.882
1987-07-11,63158086.294,1.331,5.636
1987-07-12,62899370.705,2.829,5.823
1987-07-13,62641521.190,2.815,5.799
1987-07-14,62262136.900,1.373,5.764
1987-07-15,61885782.245,1.373,5.729
1987-07-16,61639626.730,2.857,5.706
1987-07-17,61270471.693,1.399,5.672
1987-07-18,60905378.835,1.412,5.638
1987-07-19,60586229.619,1.142,4.836
1987-07-20,60328081.574,2.596,5.584
1987-07-21,60393750.497,6.350,5.590
1987-07-22,60336415.366,4.921,5.585
1987-07-23,60104089.644,2.874,5.563
1987-07-24,59922988.180,3.450,5.546
1987-07-25,59669450.878,2.588,5.522
1987-07-26,59341638.241,1.173,4.967
1987-07-27,59214537.370,4.009,5.480
1987-07-28,58884489.012,1.181,5.001
1987-07-29,58544020.963,1.477,5.418
1987-07-30,58207386.007,1.490,5.386
1987-07-31,57970034.519,2.617,5.364
1987-08-01,57629645.950,1.218,5.158
1987-08-02,57285624.334,1.231,5.213
1987-08-03,57057862.186,2.643,5.279
1987-08-04,56737380.697,1.540,5.249
1987-08-05,56395116.815,1.256,5.217
1987-08-06,56080870.599,1.551,5.188
1987-08-07,55747277.787,1.296,5.157
1987-08-08,55437022.831,0.207,3.798
1987-08-09,55133770.323,1.590,5.100
1987-08-10,54951390.760,2.972,5.083
1987-08-11,54645628.604,0.259,3.798
1987-08-12,54351952.886,1.628,5.027
1987-08-13,54061479.463,1.638,5.000
1987-08-14,53760037.307,0.309,3.798
1987-08-15,53591542.057,3.006,4.956
1987-08-16,53286227.770,1.394,4.928
1987-08-17,52984465.852,1.407,4.900
1987-08-18,52686227.933,1.420,4.872
1987-08-19,52391485.873,1.433,4.844
1987-08-20,52073541.317,0.118,3.798
1987-08-21,51810176.368,1.742,4.790
1987-08-22,51550028.793,1.755,4.766
1987-08-23,51404324.531,3.066,4.752
1987-08-24,51149560.704,1.780,4.729
1987-08-25,50872403.974,1.495,4.703
1987-08-26,50598574.756,1.508,4.677
1987-08-27,50415127.875,2.537,4.660
1987-08-28,50147178.771,1.534,4.635
1987-08-29,49882569.359,1.548,4.611
1987-08-30,49595559.957,1.262,4.584
1987-08-31,49292389.801,0.289,3.798
1987-09-01,49036834.907,1.574,4.532
1987-09-02,48785549.250,1.600,4.508
1987-09-03,48645036.315,2.869,4.495
1987-09-04,48348864.559,0.370,3.798
1987-09-05,48106415.493,1.639,4.445
1987-09-06,47867016.775,1.652,4.423
1987-09-07,47629444.104,1.651,4.401
1987-09-08,47340097.948,0.449,3.798
1987-09-09,47110075.766,1.690,4.352
1987-09-10,46798524.809,0.192,3.798
1987-09-11,46526544.028,1.150,4.298
1987-09-12,46259049.364,1.177,4.273
1987-09-13,45993605.113,1.176,4.248
1987-09-14,45731394.840,1.189,4.224
1987-09-15,45472392.722,1.202,4.200
