like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
1.4184499,0.6092542,0.028551344,0.82533747,0.4614572,0.9286267,1.0280744,0.0
1.1320355,0.24576248,0.5281479,0.25985113,0.19151697,0.6903855,1.4947442,0.0
1.3626654,0.57835877,0.2651484,0.08197928,0.97792953,0.20064418,3.8307326,0.0
1.3031571,0.5436873,0.16961558,0.24941649,0.7370115,0.42478606,1.4633905,0.0
1.1617751,0.89016545,0.6362215,0.19099617,0.26099128,0.580061,4.9986825,0.0
0.8748467,0.68905616,0.099730365,0.49100742,0.5285911,0.7502898,2.3758247,0.0
1.0598722,0.36214125,0.5548763,0.78221,0.77988076,0.09148183,4.8889174,0.0
1.1639898,0.78991723,0.54909533,0.67403644,0.23674566,0.11351736,4.6169877,0.0
1.2686579,0.90657824,0.06358854,0.6331425,0.27775735,0.40696156,1.1574836,0.0
1.1320355,0.2947783,0.8493322,0.5122105,0.8328225,0.88258797,1.9455818,0.0
1.0716648,0.33630386,0.27003413,0.525259,0.5176501,0.06712463,2.5248823,0.0
1.4174755,0.60841936,0.0886037,0.17165172,0.26790103,0.2790317,3.949031,0.0
1.1517823,0.74319625,0.9375811,0.8819062,0.66611224,0.3062465,2.872759,0.0
1.1150533,0.41191602,0.56709456,0.2931741,0.19172226,0.7901559,3.2038167,0.0
1.2382832,0.5033941,0.94302213,0.8078379,0.610851,0.9167973,4.045215,0.0
1.2434225,0.5077717,0.007456711,0.8129487,0.15386252,0.8785619,1.4368017,0.0
1.0992789,0.34491238,0.8658684,0.0025468958,0.67950904,0.5630026,4.077243,0.0
1.1808121,0.71787953,0.06982715,0.31157333,0.19434927,0.8164262,3.896649,0.0
1.0116842,0.33119205,0.8952865,0.8619622,0.40156335,0.10317127,4.1392293,0.0
1.1320355,0.243135,0.88805765,0.2149761,0.8237255,0.75720036,4.335056,0.0
1.1609722,0.629548,0.9548847,0.33910233,0.56987035,0.38177386,4.4338236,0.0
1.5477964,0.622003,0.22201343,0.33603895,0.49661556,0.87145275,1.5909183,0.0
1.1665573,0.4655691,0.42301884,0.4943623,0.48031485,0.39058912,1.4574622,0.0
0.8534329,0.7257451,0.2969749,0.1718009,0.47545922,0.7458485,4.708805,0.0
1.24784,0.5093318,0.29446813,0.73863876,0.40378925,0.32144153,4.7204027,0.0
0.74199134,0.83445936,0.0331071,0.25546306,0.8850499,0.2899376,4.2527637,0.0
1.2627574,0.97005886,0.034812883,0.98758554,0.44454986,0.38863122,2.8813949,0.0
0.9739097,0.7077057,0.58945715,0.0054014074,0.8279487,0.26043802,2.1690314,0.0
0.79052806,0.7216843,0.6577278,0.055202276,0.6319496,0.32240418,4.9129276,0.0
1.1320355,0.20125197,0.89273506,0.5293418,0.2863414,0.052422203,1.1453693,0.0
1.2430698,0.50907916,0.33428714,0.2151323,0.9477528,0.54966056,4.34631,0.0
1.0502424,0.66431344,0.219468,0.08367433,0.7407717,0.85925794,2.9889383,0.0
1.1320355,0.30154538,0.7557688,0.34039608,0.60225433,0.9490482,4.5400248,0.0
1.0311408,0.7849742,0.2439537,0.64990264,0.97322625,0.22846726,3.061165,0.0
1.1320355,0.26647812,0.61833835,0.15388685,0.54115534,0.2533707,3.390646,0.0
0.4556788,0.922233,0.6106026,0.87253284,0.8287936,0.9337032,3.4784946,0.0
0.8554627,0.95040685,0.12686919,0.41472378,0.9234408,0.89992267,4.2632117,0.0
1.097185,0.35547704,0.6217868,0.12244055,0.6040365,0.53341836,4.3526216,0.0
1.1320355,0.30565742,0.55118227,0.9791303,0.87752014,0.84831613,3.3423977,0.0
1.187851,0.7274379,0.95222306,0.9046661,0.44681153,0.5032099,3.649166,0.0
0.9632526,0.9216674,0.03764167,0.6673204,0.4782734,0.095926374,3.862594,0.0
1.1320355,0.26555228,0.75503993,0.72855383,0.74692905,0.70072883,1.5723398,0.0
1.2232062,0.7171316,0.5579854,0.72786236,0.94662297,0.9648364,2.512079,0.0
1.1527712,0.87933433,0.35148782,0.7232026,0.98135805,0.77401644,4.5260673,0.0
1.1320355,0.30726707,0.01672263,0.92659646,0.39908442,0.6737364,4.6316767,0.0
1.1320547,0.41346443,0.8100634,0.38409343,0.25107208,0.6173903,1.3990887,0.0
0.67376,0.8373543,0.48749542,0.36334807,0.8521123,0.8728179,2.778297,0.0
0.8127729,0.9797014,0.9686088,0.8377941,0.6752477,0.6999583,3.394587,0.0
1.0754777,0.8532892,0.7776243,0.46498406,0.8389567,0.033787653,3.653267,0.0
0.59010494,0.822671,0.28125632,0.8377686,0.87718046,0.51393044,2.097415,0.0
1.1846485,0.6274666,0.51958454,0.860595,0.24071369,0.4494409,4.8158107,0.0
1.4577578,0.6215258,0.5031336,0.84857464,0.7398797,0.9019214,4.74301,0.0
1.1320355,0.24750417,0.11771577,0.11085043,0.79541165,0.86088294,2.9231565,1.0
1.3952276,0.5989692,0.32230672,0.80792844,0.92488295,0.02424788,4.006521,2.0
0.9315813,0.6752867,0.28707713,0.3480666,0.48129907,0.62759775,3.733296,3.0
1.0960957,0.8592549,0.800699,0.7315958,0.4733886,0.25469032,1.6447423,4.0
0.90534616,0.8168377,0.62340915,0.60593927,0.5935957,0.3686993,2.5902855,5.0
1.1862811,0.4414718,0.043097377,0.7863419,0.13222091,0.09855201,2.7155194,6.0
0.6067344,0.94410753,0.6553197,0.44692144,0.80278075,0.38827714,1.3338536,7.0
0.9068254,0.73717487,0.27776012,0.40824008,0.4703895,0.37813154,3.3339422,8.0
1.1320355,0.27350265,0.08341464,0.72534233,0.634158,0.9712585,4.9034944,9.0
1.1320355,0.28759032,0.82427293,0.68579274,0.3647973,0.98733985,3.0644932,10.0
1.0528926,0.3287205,0.29595876,0.66237104,0.24312799,0.19273762,4.966126,11.0
0.8101594,0.82923573,0.63252467,0.47247896,0.74082005,0.27868593,3.3287442,12.0
0.8890976,0.88762057,0.26111892,0.7337797,0.5436166,0.4561077,2.9428082,13.0
1.1460901,0.63030237,0.64207613,0.56637466,0.56096184,0.2511187,1.3256229,1.0
1.0669901,0.71670586,0.70249575,0.8452714,0.9068539,0.69709295,2.6858277,2.0
0.88307303,0.8093003,0.5651533,0.42886332,0.49926698,0.58727175,3.8828166,3.0
1.0033491,0.7407938,0.35177994,0.8566127,0.4988127,0.6042512,1.1614486,4.0
1.1275067,0.9830027,0.9578597,0.9720414,0.7551197,0.28629977,2.0882025,5.0
0.9695586,0.8109771,0.2685744,0.5777559,0.43538734,0.4571417,2.0025594,6.0
0.9797658,0.68840194,0.9857185,0.96513253,0.7624134,0.7681028,4.2756467,7.0
0.98731583,0.9125382,0.21792677,0.47787726,0.4162374,0.43434623,3.521419,8.0
1.0484536,0.36429545,0.3548256,0.46754688,0.6681748,0.13561325,2.1630852,9.0
0.9068429,0.84374917,0.84281176,0.067796364,0.5659449,0.4272931,3.339557,10.0
1.0990427,0.77954316,0.27288032,0.58927816,0.2906402,0.4404568,2.5334446,11.0
0.71968406,0.76503485,0.8177242,0.9603344,0.82635236,0.6064309,2.983787,12.0
0.85699326,0.78883237,0.5037034,0.7896519,0.5981907,0.5614291,2.2435231,13.0
1.0672112,0.36029124,0.8699182,0.8980294,0.33880243,0.39613393,3.0692363,1.0
1.1320355,0.23187792,0.37057403,0.028142385,0.6534165,0.87771106,4.2832675,2.0
1.1320355,0.2756885,0.7168338,0.54275113,0.22419736,0.13386028,3.8584733,3.0
1.1291635,0.39411813,0.49066955,0.19934925,0.6561843,0.6829991,3.9492612,4.0
0.7140264,0.8808573,0.20705624,0.29324272,0.5999726,0.3149956,3.1887956,5.0
0.69464445,0.7461111,0.13792361,0.96932006,0.66843635,0.76609325,4.391423,6.0
1.1317371,0.98408717,0.48057577,0.3033103,0.32975113,0.17391194,4.8883753,7.0
1.131277,0.43526775,0.38236606,0.5970706,0.9244927,0.9448638,1.8801541,8.0
1.1320355,0.20484547,0.29273608,0.16208686,0.7261134,0.2337934,3.8356085,9.0
1.0505049,0.64624953,0.35629278,0.590466,0.35257834,0.99231493,4.6476398,10.0
1.0504105,0.34087914,0.7396369,0.95465213,0.177613,0.44670317,1.29898,11.0
0.70690155,0.92754555,0.3997617,0.38434044,0.5584891,0.85213107,2.4518664,12.0
0.89395213,0.69316256,0.39159065,0.5427584,0.48333684,0.78892237,3.6803527,13.0
1.0754238,0.32098052,0.8766111,0.0070106154,0.4319108,0.62840515,2.0558085,1.0
1.0658727,0.6503551,0.66412914,0.6914861,0.662674,0.7919264,4.2923207,2.0
0.9376491,0.68976337,0.4590793,0.5944026,0.7514258,0.6604004,3.9696393,3.0
1.1019489,0.41666603,0.65040964,0.543279,0.48832104,0.26058468,2.5261886,4.0
1.1449684,0.43296817,0.5629707,0.4051469,0.1930928,0.20388399,4.952723,5.0
1.1320355,0.21427955,0.1744423,0.29251808,0.37403393,0.73860955,2.9096215,6.0
1.0614998,0.33080474,0.82773244,0.63214886,0.35406777,0.89255893,3.8725824,7.0
1.164918,0.6802279,0.7262987,0.21952245,0.23658904,0.18622327,1.9532617,8.0
1.1393051,0.6295248,0.5808251,0.38342452,0.43772766,0.33587125,2.8951566,9.0
1.1758025,0.66196287,0.77137655,0.3943822,0.83458304,0.7579256,3.061696,10.0
1.2322955,0.501126,0.93012565,0.3586606,0.5736329,0.40772355,1.3091666,11.0
1.1446614,0.76447123,0.34669942,0.5316594,0.24478154,0.18396024,4.365636,12.0
0.49037308,0.86046374,0.66296566,0.25428665,0.8042514,0.59298694,4.9291034,13.0
0.89106566,0.7830147,0.43849683,0.649497,0.5113083,0.5785654,2.806917,1.0
1.3773799,0.589461,0.9820967,0.3376604,0.40772447,0.2992223,1.008682,2.0
1.3824039,0.5952466,0.39244783,0.36965942,0.18307175,0.6879557,3.6753721,3.0
1.0856893,0.3783388,0.3108583,0.5545149,0.6571744,0.12225186,3.1358724,4.0
1.0314816,0.67787206,0.7734103,0.1056088,0.3414605,0.6764044,3.6329904,5.0
0.8163738,0.9863024,0.6170351,0.6789703,0.57845706,0.74094427,1.8384959,6.0
0.39919966,0.9828988,0.5327551,0.7016179,0.7234814,0.74255276,2.0776014,7.0
0.68295723,0.8228639,0.5123248,0.67696804,0.62520236,0.67309546,2.8275077,8.0
0.6989223,0.85147613,0.609866,0.65745056,0.6663311,0.565145,2.6271582,9.0
0.49065527,0.9836793,0.17977695,0.43552908,0.68301976,0.7439957,1.6705192,10.0
1.1320355,0.24238841,0.6522462,0.46800804,0.6006618,0.45567736,2.2064192,11.0
1.3824006,0.6289513,0.020999268,0.72540903,0.9326536,0.95224524,1.9373666,12.0
0.78025395,0.7817747,0.64842844,0.3869986,0.5489771,0.7192519,3.1345124,13.0
0.6979963,0.7806476,0.493954,0.087426454,0.5792544,0.62155,4.4659286,1.0
1.2428674,0.49630558,0.2596701,0.13951649,0.33366594,0.26122355,1.5283113,2.0
1.1320355,0.2684003,0.017133936,0.9024491,0.36640936,0.048667118,1.7847095,3.0
1.1320355,0.26578328,0.3993988,0.30059105,0.9360438,0.5310907,2.3533156,4.0
0.99854577,0.770725,0.38882214,0.3456082,0.35853255,0.64137626,3.878204,5.0
0.9364288,0.8189477,0.36187258,0.16276422,0.42593727,0.63553363,2.525152,6.0
