date,storage,inflow,outflow
1997-06-04,176951190.400,15.361,0.000
1997-06-05,178259891.200,15.147,0.000
1997-06-06,180089152.000,21.172,0.000
1997-06-07,181883852.800,20.772,0.000
1997-06-08,183759942.400,21.714,0.000
1997-06-09,185548422.400,20.700,0.000
1997-06-10,187447926.400,21.985,0.000
1997-06-11,189393136.000,22.514,0.000
1997-06-12,191238380.800,21.357,0.000
1997-06-13,193054076.800,21.015,0.000
1997-06-14,194880832.000,21.143,0.000
1997-06-15,196793900.800,22.142,0.000
1997-06-16,198404828.800,18.645,0.000
1997-06-17,200099564.800,19.615,0.000
1997-06-18,201684572.800,18.345,0.000
1997-06-19,202878534.400,13.819,0.000
1997-06-20,204750908.800,21.671,0.000
1997-06-21,206689000.000,23.913,1.481
1997-06-22,206689000.000,13.548,13.548
1997-06-23,206689000.000,15.904,15.904
1997-06-24,206689000.000,15.447,15.447
1997-06-25,206689000.000,15.047,15.047
1997-06-26,206689000.000,15.047,15.047
1997-06-27,206689000.000,15.433,15.433
1997-06-28,206689000.000,20.372,20.372
1997-06-29,206689000.000,12.178,12.178
1997-06-30,206689000.000,13.677,13.677
1997-07-01,206689000.000,9.993,9.993
1997-07-02,206689000.000,10.764,10.764
1997-07-03,206689000.000,4.340,4.340
1997-07-04,206689000.000,1.756,1.756
1997-07-05,206689000.000,2.655,2.655
1997-07-06,206689000.000,4.554,4.554
1997-07-07,206689000.000,4.097,4.097
1997-07-08,206689000.000,5.054,5.054
1997-07-09,206689000.000,4.097,4.097
1997-07-10,206689000.000,4.140,4.140
1997-07-11,206689000.000,4.169,4.169
1997-07-12,206689000.000,4.169,4.169
1997-07-13,206689000.000,3.255,3.255
1997-07-14,206689000.000,4.640,4.640
1997-07-15,206689000.000,3.483,3.483
1997-07-16,206689000.000,3.640,3.640
1997-07-17,206689000.000,3.655,3.655
1997-07-18,206689000.000,4.097,4.097
1997-07-19,206689000.000,3.683,3.683
1997-07-20,206689000.000,4.797,4.797
1997-07-21,206689000.000,3.755,3.755
1997-07-22,206689000.000,4.240,4.240
1997-07-23,206689000.000,4.069,4.069
1997-07-24,206689000.000,4.354,4.354
1997-07-25,206689000.000,5.296,5.296
1997-07-26,206689000.000,4.383,4.383
1997-07-27,206689000.000,3.912,3.912
1997-07-28,206689000.000,3.926,3.926
1997-07-29,206689000.000,4.383,4.383
1997-07-30,206689000.000,4.383,4.383
1997-07-31,206689000.000,4.397,4.397
1997-08-01,206689000.000,4.397,4.397
1997-08-02,206689000.000,6.196,6.196
1997-08-03,206689000.000,4.411,4.411
1997-08-04,206689000.000,5.025,5.025
1997-08-05,206689000.000,6.467,6.467
1997-08-06,206689000.000,11.863,11.863
1997-08-07,206689000.000,5.553,5.553
1997-08-08,206689000.000,5.996,5.996
1997-08-09,206689000.000,5.539,5.539
1997-08-10,206689000.000,6.453,6.453
1997-08-11,206689000.000,6.910,6.910
1997-08-12,206689000.000,10.564,10.564
1997-08-13,206689000.000,7.952,7.952
1997-08-14,206689000.000,6.610,6.610
1997-08-15,206689000.000,5.225,5.225
1997-08-16,206689000.000,3.883,3.883
1997-08-17,206689000.000,5.682,5.682
1997-08-18,206689000.000,4.797,4.797
1997-08-19,206689000.000,6.467,6.467
1997-08-20,206689000.000,7.709,7.709
1997-08-21,206689000.000,5.939,5.939
1997-08-22,206689000.000,6.367,6.367
1997-08-23,206689000.000,6.381,6.381
1997-08-24,206689000.000,7.324,7.324
1997-08-25,206689000.000,7.281,7.281
1997-08-26,206689000.000,6.439,6.439
1997-08-27,206689000.000,10.065,10.065
1997-08-28,206689000.000,9.636,9.636
1997-08-29,206689000.000,2.927,2.927
1997-08-30,206689000.000,8.280,8.280
1997-08-31,206689000.000,6.082,6.082
1997-09-01,206689000.000,7.409,7.409
1997-09-02,206689000.000,7.709,7.709
1997-09-03,206689000.000,10.950,10.950
1997-09-04,206689000.000,9.194,9.194
1997-09-05,206689000.000,5.682,5.682
1997-09-06,206689000.000,10.536,10.536
1997-09-07,206689000.000,6.139,6.139
1997-09-08,206689000.000,7.481,7.481
1997-09-09,206689000.000,5.753,5.753
1997-09-10,206689000.000,5.782,5.782
1997-09-11,206689000.000,6.210,6.210
1997-09-12,206689000.000,6.681,6.681
1997-09-13,206689000.000,6.267,6.267
1997-09-14,206689000.000,6.267,6.267
1997-09-15,206689000.000,6.296,6.296
1997-09-16,206689000.000,6.353,6.353
1997-09-17,206689000.000,5.482,5.482
1997-09-18,206689000.000,6.810,6.810
1997-09-19,206689000.000,8.523,8.523
1997-09-20,206689000.000,11.906,11.906
1997-09-21,206689000.000,9.808,9.808
1997-09-22,206689000.000,8.137,8.137
1997-09-23,206689000.000,6.410,6.410
1997-09-24,206689000.000,6.881,6.881
1997-09-25,206689000.000,6.053,6.053
1997-09-26,206689000.000,6.481,6.481
1997-09-27,206689000.000,9.437,9.437
1997-09-28,206689000.000,7.352,7.352
1997-09-29,206689000.000,6.567,6.567
1997-09-30,206689000.000,5.025,5.025
1997-10-01,206689000.000,6.053,6.053
1997-10-02,206689000.000,5.625,5.625
1997-10-03,206689000.000,5.668,5.668
1997-10-04,206689000.000,6.067,6.067
