like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
0.8930782,0.0060439734,1.581205,2.0110385,0.4284292,0.64149517,0.0
1.0259315,0.26212597,1.5573463,2.1482763,0.11889439,2.5593286,0.0
1.3485738,0.17831117,4.417225,2.7598567,0.5834592,1.35064,0.0
0.86468524,0.6205107,1.0529077,0.54320866,0.26314002,2.5513604,0.0
1.2587641,0.5002767,2.2455034,2.2162988,0.988242,0.4154377,0.0
1.3117657,0.70111996,3.6366882,1.7699518,0.8461248,2.4183915,0.0
0.45867708,0.124273345,1.1353334,0.65141827,0.5601685,0.5067143,0.0
1.1513733,0.068643786,2.6760178,2.8557925,0.35078564,1.2412678,0.0
1.1046119,0.7959598,4.132646,0.6166808,0.04331561,0.5108415,0.0
0.7552491,0.09125643,1.8907659,1.3515562,0.4087463,1.3595471,0.0
0.71190083,0.058230072,1.1855392,1.8669852,0.30989087,2.0480752,0.0
1.1699823,0.04298148,1.4764814,2.3449397,0.82218957,2.5405369,0.0
1.171846,0.18545435,2.6001306,2.1075966,0.68438554,0.6548227,0.0
0.7921107,0.032176323,4.1499796,0.71875834,0.5565104,0.9132465,0.0
1.133467,0.32429212,0.2010184,2.6759892,0.9813259,2.838847,0.0
1.012951,0.34282458,2.1953456,1.1306044,0.7719693,2.7895067,0.0
0.8632284,0.99992377,0.7267225,2.813377,0.99494326,0.25452554,0.0
0.91264254,0.9937918,2.7305179,0.90085244,0.63632023,0.80593276,0.0
1.1391106,0.029382056,4.0016212,2.2863514,0.2603656,2.216232,0.0
0.8109612,0.5221116,2.4745815,1.0350685,0.26383173,0.36966565,0.0
0.9980202,0.5207845,2.1988409,1.8838141,0.32584122,0.7967271,0.0
1.1369354,0.042764604,4.1346307,1.6138799,0.2540222,2.815935,0.0
1.2092222,0.34504327,4.8640256,2.5455787,0.37437025,2.3194675,0.0
1.1731128,0.37181136,1.6480802,1.5225937,0.98989797,0.3191906,0.0
1.193593,0.8201236,3.1235483,0.7633125,0.10361767,2.2755218,0.0
1.2218487,0.042514097,1.7565136,2.9037845,0.7803176,0.58442104,0.0
0.92496413,0.82823753,1.4743627,1.0576423,0.17832243,0.28058982,0.0
0.57883805,0.7785933,0.78692,1.6585532,0.61833596,0.44042838,0.0
1.1684315,0.9984441,2.2342618,1.379536,0.81548977,0.9025865,0.0
1.2758927,0.3482306,2.6287048,2.9228191,0.5726698,1.9983385,0.0
1.3281809,0.44147798,2.869443,2.4135458,0.9419795,2.9428177,0.0
1.6009195,0.8859914,2.3299668,1.4371997,0.02317153,1.95877,0.0
1.2088432,0.8692444,3.528215,2.8842208,0.138274,1.5202044,0.0
1.3005687,0.8466596,4.8907804,1.4859364,0.83242536,2.0402482,0.0
1.1076335,0.8672548,4.889824,0.97189915,0.095431656,1.0483297,0.0
1.0260692,0.38814282,2.2556646,1.9373085,0.4562935,2.381526,0.0
0.9928719,0.14722721,4.15432,0.82094646,0.7395961,2.8571968,0.0
0.5998311,0.11970293,0.6795549,2.892382,0.7360921,0.44197503,0.0
1.3187618,0.6309869,4.632375,1.6023699,0.8534925,2.718969,0.0
0.5897767,0.26803198,1.1142007,1.5689541,0.50105494,0.98013055,0.0
1.1901474,0.617854,2.413939,2.0356522,0.7245389,2.5519204,0.0
1.057878,0.2874669,2.8776295,2.9994593,0.1480673,0.6692104,0.0
1.029704,0.92222977,3.6926425,1.2790835,0.17486332,1.4011531,0.0
0.77556074,0.89037704,2.2171285,0.5701506,0.6803585,1.1355408,0.0
0.9020994,0.20416398,2.8984392,1.0397767,0.62202275,1.2762446,1.0
