like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
1.4142557,0.23975438,2.395191,0.7377223,0.15287651,2.2679393,0.0
0.58388996,0.363924,2.2640944,1.2518225,0.7155722,2.8803327,0.0
1.3831658,0.4115685,0.706827,1.8456666,0.063620165,1.0664984,0.0
0.39938596,0.05956314,2.7954552,2.644837,0.6204355,1.9363024,0.0
0.5002876,0.5780092,2.2028794,1.2561569,0.33704287,0.8449417,0.0
0.2784476,0.04526833,1.6789504,1.1486652,0.5704773,1.4666517,0.0
0.5478856,0.74513286,4.847413,1.1517167,0.93315434,0.50728285,0.0
0.17622945,0.89770734,1.7000896,2.3338082,0.789538,0.3649042,0.0
1.4125639,0.8974696,0.7145795,1.5768511,0.13871925,2.1007655,0.0
0.55386585,0.06934595,4.301388,1.4356401,0.6837152,2.4185493,0.0
0.80010515,0.2726518,1.1146029,2.941713,0.92228293,2.5004852,0.0
1.3719774,0.5027965,1.6306713,1.6989425,0.18622054,2.6265974,0.0
0.59801817,0.92282706,1.1470948,0.875058,0.31362447,1.1671264,0.0
1.402538,0.70294744,0.13581456,2.8781786,0.16558413,2.4535084,0.0
1.507536,0.84823126,1.3664271,1.9578838,0.01042545,1.418831,0.0
1.2971407,0.83671814,0.4729673,0.7781698,0.16177334,1.8368437,0.0
0.50120515,0.66919965,0.7950505,2.7991111,0.4066594,1.632017,0.0
0.8636055,0.91567135,1.1833277,1.9597687,0.98494124,2.1364844,0.0
1.2549075,0.62954223,1.9156828,2.348726,0.18898264,2.0177002,0.0
0.50778145,0.63316584,2.716322,2.1587062,0.38028166,1.4765266,0.0
0.9815549,0.644574,0.93514556,1.3522898,0.09275998,0.59454066,0.0
0.77238435,0.6573711,4.184002,1.8398553,0.9209207,1.4385031,0.0
1.4298555,0.6898915,4.5554667,0.8356449,0.1543402,2.7201965,0.0
0.66061896,0.62426996,2.3810823,0.6085907,0.32463488,1.4981012,0.0
0.33565503,0.9809516,2.9397628,0.8645649,0.7136768,1.4386126,0.0
1.2514418,0.691121,0.16094057,1.3816575,0.2341528,2.9777484,0.0
0.58877355,0.9495969,0.49761468,2.979882,0.26773193,0.5531862,0.0
1.3664498,0.016752543,4.8627653,2.9448473,0.007120323,0.8954374,0.0
0.6555717,0.44410628,1.224514,1.6889638,0.3735273,0.46979302,0.0
1.4397475,0.078256354,2.9932356,2.3933425,0.16119753,2.945476,0.0
0.7205166,0.08907955,3.9508893,1.4455174,0.83717567,2.821099,0.0
0.65513617,0.34592155,2.7744696,2.0715446,0.95787644,1.1039048,0.0
1.507536,0.40991157,4.622967,1.6302499,0.016024336,2.8453724,0.0
1.0048511,0.9284334,4.5091534,1.926818,0.048988204,0.50861824,0.0
0.97429407,0.22738175,1.9446925,2.270313,0.2756613,2.0555363,0.0
1.507536,0.9088564,1.0930371,0.82260257,0.051190168,2.5301342,0.0
0.38475576,0.07750187,0.93162566,0.86901134,0.466637,1.4364436,0.0
0.48519996,0.1605968,1.1243486,2.6508095,0.35954767,1.0387526,0.0
1.4249578,0.74285203,2.922988,2.4744167,0.114990965,2.0961251,0.0
0.37037098,0.08545382,0.8642566,1.6976025,0.5000067,1.0026656,0.0
0.680812,0.5292359,2.0731359,2.056129,0.31871063,1.5054755,0.0
0.34807032,0.23754685,1.6629735,2.3964744,0.60389245,0.51835144,0.0
0.22461732,0.86220384,2.402357,2.1233304,0.7190451,1.058959,0.0
1.2879581,0.2778452,2.1600523,2.6602032,0.106442034,1.1463735,0.0
0.7019762,0.39306846,2.053909,1.6006773,0.8543701,2.619776,1.0
0.58312297,0.4165768,0.7593732,2.3778164,0.73808205,2.7566044,2.0
0.33570805,0.586597,2.0482624,1.9415519,0.49718446,1.2841647,3.0
0.18915182,0.3060539,3.9169672,2.8438575,0.48620802,0.33581102,4.0
0.98792714,0.47717547,4.2431827,1.5405818,0.06444583,0.50154537,5.0
0.3351634,0.6992607,1.3496027,0.61213166,0.9122656,0.6016067,6.0
0.45965043,0.90191066,2.9514327,2.858546,0.7601641,1.4992032,7.0
0.4053685,0.54744136,1.576322,2.2478976,0.71357703,1.7868713,8.0
0.086758554,0.19014862,3.4677777,0.7330861,0.733988,0.49879357,9.0
0.4116142,0.6629349,3.5530066,2.9025586,0.427026,0.7250926,10.0
0.50370926,0.5219554,2.1192946,2.190779,0.37575656,1.3411795,11.0
0.26815742,0.7890146,2.2286365,2.3979855,0.6695115,0.45912188,1.0
0.49301675,0.5457687,1.9792826,2.2304406,0.40670142,1.5768689,2.0
0.13084391,0.14957283,3.809579,1.690225,0.66335404,0.6098472,3.0
0.13880442,0.21960157,0.33380315,1.4225297,0.8631599,0.33187214,4.0
