like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.7726839,0.9253129,0.3293057,0.33988297,0.8673975,0.9619945,0.54478264,2.3445935,1.0
0.70983946,0.8768158,0.3324996,0.9968598,0.35322487,0.46439356,0.6640753,4.3912992,1.0
0.66269535,1.1241257,0.4069808,0.2522734,0.9687064,0.20096914,0.51087916,2.1719694,1.0
0.6158952,0.9809316,0.53671634,0.98353493,0.9788825,0.2469131,0.9151575,3.5296059,1.0
0.6113478,0.5535024,0.76334816,0.15675606,0.7800426,0.46939442,0.8131702,4.145818,1.0
0.799433,1.1510875,0.21088354,0.9849058,0.78020144,0.93912274,0.55319726,2.663961,1.0
0.67548704,0.80344385,0.9332241,0.42101455,0.68327785,0.8082081,0.90538895,3.9307873,1.0
0.590243,1.0641816,0.84255296,0.88632655,0.3878301,0.5153132,0.1322333,4.0042124,1.0
0.68345004,0.68429255,0.3998972,0.3460308,0.28408134,0.53295463,0.61281854,3.9466648,1.0
0.6182362,0.48998216,0.68568057,0.39073998,0.0020472503,0.71028024,0.19554293,4.506993,1.0
0.67317206,0.5730728,0.97521645,0.42115244,0.13728298,0.7366833,0.708512,1.3757083,1.0
0.6401607,0.775015,0.47216192,0.8541158,0.06962614,0.5671045,0.30487883,1.7525449,1.0
0.6293185,0.6825775,0.9431561,0.97306865,0.10583969,0.5300873,0.96975607,3.9684474,1.0
0.63572127,0.54726833,0.5505589,0.073963046,0.42816207,0.4802197,0.89659303,2.8242338,1.0
0.75734353,1.0070546,0.2569086,0.73613703,0.5554188,0.45554888,0.32154036,4.1974564,1.0
0.6671583,0.54042834,0.9774533,0.11572999,0.21347478,0.6120367,0.7747976,2.418752,1.0
0.6275508,0.70667475,0.95885986,0.8644469,0.26210487,0.5925539,0.63216525,3.1639187,1.0
0.7283523,0.83230126,0.29968128,0.6116913,0.8813861,0.5657516,0.8523158,4.0397863,1.0
0.59083545,1.0687866,0.8000376,0.7725235,0.541928,0.35427535,0.26309147,3.547218,1.0
0.5924946,0.99205315,0.6795815,0.39659786,0.25059122,0.25263146,0.8984672,3.6515348,1.0
0.6626614,0.81884867,0.42310357,0.8165829,0.03693118,0.37799045,0.6763056,2.8321314,1.0
0.5861197,1.1879742,0.81201947,0.99096674,0.36658382,0.2160098,0.44166276,1.6424112,1.0
