like1,paralpha,parbeta,pargamma,pardelta,parepsilon,chain
0.949784,0.503022,0.31660852,0.60420656,1.1426438,0.15694475,0.0
0.89864,0.631063,0.31184635,0.6589919,0.67834157,0.43590233,0.0
0.91545695,0.58915555,0.8826781,0.9031348,1.3751888,0.2600931,0.0
0.89387584,0.81025535,0.21116038,0.018248893,0.89471,0.43474334,0.0
0.9274986,0.75013834,0.44920248,0.6861465,1.982363,0.12406366,0.0
0.893907,0.85056,0.72688293,0.5079648,1.7691872,0.4154024,0.0
0.93697715,0.56213665,0.22761256,0.06144618,1.3402528,0.13734026,0.0
0.9346086,0.5343219,0.5351331,0.9414324,1.0261785,0.24418442,0.0
0.91543925,0.8979799,0.8258762,0.04757897,0.5649734,0.13794059,0.0
0.935887,0.5456282,0.37839687,0.34094125,1.1131195,0.2613887,0.0
0.91636556,0.529115,0.23763365,0.5467005,0.9648363,0.3615382,0.0
0.9021714,0.52149075,0.29570568,0.73749995,1.7332844,0.433169,0.0
0.9322681,0.5927272,0.51998603,0.6427526,1.5265783,0.1588833,0.0
0.9279859,0.5160882,0.8293359,0.08832834,1.3347656,0.19647221,0.0
0.8972954,0.66214603,0.04112327,0.8696549,1.9719889,0.47655955,0.0
0.8981285,0.6714123,0.43919098,0.25273728,1.657954,0.4693828,0.0
0.9522822,0.99996185,0.1460538,0.92450005,1.992415,0.10065826,0.0
0.92659086,0.9968959,0.5460114,0.1610203,1.4544803,0.18086295,0.0
0.9056168,0.51469105,0.7997236,0.7141115,0.8905484,0.3859974,0.0
0.93392915,0.7610558,0.49492645,0.21459936,0.8957476,0.117405914,0.0
0.93221045,0.76039225,0.43988863,0.55341864,0.98876184,0.17952394,0.0
0.90857786,0.5213823,0.82627225,0.44566086,0.8810333,0.4732269,0.0
0.8982948,0.67252165,0.97185946,0.81759506,1.0615554,0.40101346,0.0
0.94383174,0.6859057,0.32995683,0.4092194,1.984847,0.11006409,0.0
0.8951892,0.91006184,0.6244602,0.10611436,0.6554265,0.39462134,0.0
0.9394982,0.52125704,0.3516001,0.96059084,1.6704764,0.14864306,0.0
0.94936717,0.91411877,0.2952828,0.2236108,0.76748365,0.10444943,0.0
0.9238482,0.88929665,0.15806924,0.46349445,1.427504,0.12769867,0.0
0.93260336,0.99922204,0.44695866,0.35211077,1.7232347,0.19492167,0.0
0.90716493,0.6741153,0.5256895,0.96818936,1.3590047,0.35430378,0.0
0.89683294,0.720739,0.57374084,0.76488745,1.9129694,0.49168256,0.0
0.9031641,0.9429957,0.46606135,0.37513012,0.5347573,0.34854838,0.0
0.91564524,0.93462217,0.70523167,0.9527809,0.707411,0.28475702,0.0
0.90010995,0.9233298,0.9771998,0.3945858,1.748638,0.36039972,0.0
0.9312866,0.9336274,0.9770088,0.18938214,0.64314747,0.21612069,0.0
0.8982655,0.6940714,0.45123065,0.5747736,1.1844403,0.41004014,0.0
0.9046757,0.5736136,0.8302022,0.12912183,1.6093942,0.47922865,0.0
0.93888015,0.55985147,0.13663915,0.95603883,1.6041381,0.12792364,0.0
0.8942334,0.81549346,0.925622,0.44106606,1.7802387,0.4591228,0.0
0.95388776,0.634016,0.22339447,0.42772648,1.2515824,0.20620081,0.0
0.89361817,0.808927,0.48282224,0.6140323,1.5868083,0.4348248,0.0
0.928974,0.64373344,0.57537484,0.9987842,0.722101,0.16097605,0.0
0.91962993,0.9611149,0.7380514,0.31201014,0.762295,0.26744047,0.0
0.93151045,0.9451885,0.44353884,0.029004134,1.5205379,0.22880594,0.0
0.9268854,0.602082,0.57952845,0.21647884,1.4330342,0.24927196,1.0
0.9021158,0.6157232,0.8666661,0.11181637,1.0953034,0.3824111,2.0
0.89941555,0.6451992,0.85406643,0.7499762,0.88560617,0.4163569,3.0
0.912452,0.65118116,0.6021363,0.34018335,1.3121599,0.33077428,4.0
0.9053431,0.95333034,0.120122105,0.049879026,1.302893,0.34182435,5.0
0.9194796,0.81988955,0.9069144,0.09975497,0.9896835,0.16826214,6.0
0.9275062,0.85881656,0.37571856,0.28030366,0.9879146,0.2434332,7.0
0.90115845,0.6817947,0.8911574,0.20139188,1.639316,0.3721872,8.0
0.8998242,0.83829975,0.33459866,0.24832073,1.331374,0.37539643,9.0
0.9002633,0.62691593,0.5197701,0.5470831,1.4528883,0.41662464,10.0
0.8932358,0.86951566,0.07399536,0.6347378,0.845059,0.4404157,11.0
0.91656077,0.8281773,0.8355327,0.26462594,1.2091854,0.13980491,1.0
0.8955399,0.7595942,0.7655309,0.5356516,1.2318245,0.45151863,2.0
0.9147533,0.7344239,0.75527006,0.44336253,1.2098145,0.28780043,3.0
0.9104777,0.5573143,0.45242125,0.1931017,0.776068,0.36431918,4.0
0.9064015,0.51979834,0.8779726,0.23383184,1.3321198,0.43020418,5.0
0.92180616,0.75586617,0.5369098,0.30007467,1.0385119,0.27437267,6.0
0.8952861,0.9856202,0.2802411,0.52460784,0.75424135,0.38543046,7.0
0.90599626,0.9496176,0.40035287,0.41223702,1.9134134,0.33346322,8.0
0.8940843,0.8468874,0.53170353,0.26555002,0.6313548,0.4305217,9.0
0.9044732,0.9027487,0.7995758,0.5797895,0.92119527,0.3429223,10.0
0.8954728,0.8323741,0.7051874,0.53008807,1.033839,0.39240912,11.0
0.92105293,0.6306358,0.6893779,0.24589995,1.2260821,0.27794325,1.0
0.91242254,0.80458194,0.7305363,0.667341,1.2625139,0.30560526,2.0
0.9166316,0.62822104,0.61812896,0.83134085,0.5268913,0.31850725,3.0
0.9188624,0.60822237,0.708457,0.96557343,1.8042322,0.2949935,4.0
0.8918966,0.83162695,0.52850884,0.8678301,1.9407569,0.49550655,5.0
0.91536576,0.8038909,0.6567944,0.32714584,1.0794536,0.29923025,6.0
0.8986949,0.75719196,0.60912454,0.63702685,1.4282238,0.38306257,7.0
0.90386575,0.7046521,0.56530786,0.73663265,1.0824066,0.36622977,8.0
0.90288734,0.64286554,0.8651617,0.6773195,0.7963019,0.3746594,9.0
0.89785534,0.69469154,0.6543294,0.6928066,1.1770008,0.40797305,10.0
0.89947253,0.65381557,0.6413702,0.42428574,1.5584246,0.4627487,11.0
