like1,paralpha,parbeta,pargamma,pardelta,parepsilon,chain
0.64770436,0.503022,0.31660852,0.60420656,1.1426438,0.15694475,0.0
0.7988373,0.631063,0.31184635,0.6589919,0.67834157,0.43590233,0.0
0.73469305,0.58915555,0.8826781,0.9031348,1.3751888,0.2600931,0.0
0.7786975,0.81025535,0.21116038,0.018248893,0.89471,0.43474334,0.0
0.6683581,0.75013834,0.44920248,0.6861465,1.982363,0.12406366,0.0
0.77159214,0.85056,0.72688293,0.5079648,1.7691872,0.4154024,0.0
0.6509065,0.56213665,0.22761256,0.06144618,1.3402528,0.13734026,0.0
0.706062,0.5343219,0.5351331,0.9414324,1.0261785,0.24418442,0.0
0.64946896,0.8979799,0.8258762,0.04757897,0.5649734,0.13794059,0.0
0.7032894,0.5456282,0.37839687,0.34094125,1.1131195,0.2613887,0.0
0.7564795,0.529115,0.23763365,0.5467005,0.9648363,0.3615382,0.0
0.8038874,0.52149075,0.29570568,0.73749995,1.7332844,0.433169,0.0
0.64717597,0.5927272,0.51998603,0.6427526,1.5265783,0.1588833,0.0
0.7026576,0.5160882,0.8293359,0.08832834,1.3347656,0.19647221,0.0
0.7969069,0.66214603,0.04112327,0.8696549,1.9719889,0.47655955,0.0
0.819561,0.6714123,0.43919098,0.25273728,1.657954,0.4693828,0.0
0.75004375,0.99996185,0.1460538,0.92450005,1.992415,0.10065826,0.0
0.61937624,0.9968959,0.5460114,0.1610203,1.4544803,0.18086295,0.0
0.8415156,0.51469105,0.7997236,0.7141115,0.8905484,0.3859974,0.0
0.69054013,0.7610558,0.49492645,0.21459936,0.8957476,0.117405914,0.0
0.63270766,0.76039225,0.43988863,0.55341864,0.98876184,0.17952394,0.0
0.8898108,0.5213823,0.82627225,0.44566086,0.8810333,0.4732269,0.0
0.8195589,0.67252165,0.97185946,0.81759506,1.0615554,0.40101346,0.0
0.7037928,0.6859057,0.32995683,0.4092194,1.984847,0.11006409,0.0
0.7555404,0.91006184,0.6244602,0.10611436,0.6554265,0.39462134,0.0
0.64605397,0.52125704,0.3516001,0.96059084,1.6704764,0.14864306,0.0
0.7401795,0.91411877,0.2952828,0.2236108,0.76748365,0.10444943,0.0
0.66467685,0.88929665,0.15806924,0.46349445,1.427504,0.12769867,0.0
0.62315816,0.99922204,0.44695866,0.35211077,1.7232347,0.19492167,0.0
0.7589437,0.6741153,0.5256895,0.96818936,1.3590047,0.35430378,0.0
0.8308011,0.720739,0.57374084,0.76488745,1.9129694,0.49168256,0.0
0.7259532,0.9429957,0.46606135,0.37513012,0.5347573,0.34854838,0.0
0.68455577,0.93462217,0.70523167,0.9527809,0.707411,0.28475702,0.0
0.73406065,0.9233298,0.9771998,0.3945858,1.748638,0.36039972,0.0
0.63936263,0.9336274,0.9770088,0.18938214,0.64314747,0.21612069,0.0
0.78573245,0.6940714,0.45123065,0.5747736,1.1844403,0.41004014,0.0
0.87607735,0.5736136,0.8302022,0.12912183,1.6093942,0.47922865,0.0
0.6608708,0.55985147,0.13663915,0.95603883,1.6041381,0.12792364,0.0
0.8057487,0.81549346,0.925622,0.44106606,1.7802387,0.4591228,0.0
0.6526437,0.634016,0.22339447,0.42772648,1.2515824,0.20620081,0.0
0.7839904,0.808927,0.48282224,0.6140323,1.5868083,0.4348248,0.0
0.6476102,0.64373344,0.57537484,0.9987842,0.722101,0.16097605,0.0
0.6703033,0.9611149,0.7380514,0.31201014,0.762295,0.26744047,0.0
0.6420153,0.9451885,0.44353884,0.029004134,1.5205379,0.22880594,0.0
0.6993702,0.602082,0.57952845,0.21647884,1.4330342,0.24927196,1.0
0.7343022,0.6589264,0.40694472,0.56509906,1.4924529,0.32664877,2.0
0.71335447,0.6281919,0.39565334,0.4647347,1.1750066,0.28836697,3.0
0.6535097,0.62471706,0.6587905,0.35599235,1.580936,0.17682905,4.0
0.6747079,0.9735864,0.672419,0.376467,1.3873969,0.122912906,5.0
0.683905,0.7023367,0.4399232,0.45440298,1.5055391,0.25969374,6.0
0.75537026,0.6731584,0.088293605,0.12268119,0.6628622,0.39176223,7.0
0.6446288,0.877335,0.5983557,0.66424274,1.1084543,0.22611195,8.0
0.6651967,0.6534099,0.9979231,0.21966554,0.5360399,0.16570154,9.0
0.6423338,0.5831975,0.12708896,0.77017504,1.947115,0.18668886,10.0
0.6367333,0.64522785,0.2775234,0.67005926,1.5666404,0.15697497,11.0
0.65953195,0.88429713,0.5040611,0.93208444,0.66075945,0.13203494,1.0
0.66208065,0.81695056,0.4188011,0.421434,0.86555535,0.1302456,2.0
0.63806283,0.74096566,0.39282516,0.6621269,1.7470835,0.14585142,3.0
0.62687445,0.8005381,0.5897274,0.76036274,1.6810557,0.17351106,4.0
0.7393248,0.8692849,0.15552935,0.3665544,0.549229,0.3715538,5.0
0.6474489,0.7765242,0.50816196,0.3855767,1.1865561,0.13878973,6.0
0.6436914,0.752021,0.92922014,0.7575966,1.0926958,0.18712185,7.0
