date,storage,inflow,outflow
1999-05-05,36271777.848,108.142,1.513
1999-05-06,45036935.078,103.017,1.568
1999-05-07,55470167.233,122.414,1.659
1999-05-08,65309183.694,115.646,1.768
1999-05-09,74398771.860,107.094,1.890
1999-05-10,83097452.241,102.705,2.026
1999-05-11,91799954.304,102.903,2.180
1999-05-12,100309345.779,100.836,2.348
1999-05-13,108788073.259,100.666,2.533
1999-05-14,116932000.528,96.985,2.727
1999-05-15,124916277.509,95.343,2.932
1999-05-16,133408598.164,101.459,3.168
1999-05-17,142420749.638,107.745,3.438
1999-05-18,152205760.225,117.005,3.753
1999-05-19,163222632.171,131.645,4.135
1999-05-20,175225746.656,143.510,4.585
1999-05-21,187255272.843,144.302,5.071
1999-05-22,200375635.935,157.498,5.642
1999-05-23,215799418.856,211.498,32.982
1999-05-24,245520583.324,381.626,37.631
1999-05-25,289449753.201,552.942,44.503
1999-05-26,325729929.239,470.087,50.178
1999-05-27,353280293.702,373.357,54.487
1999-05-28,379256344.039,359.199,58.550
1999-05-29,402836568.326,335.158,62.239
1999-05-30,423717378.393,307.181,65.505
1999-05-31,442762697.462,288.916,68.484
1999-06-01,463560107.058,312.448,71.737
1999-06-02,480372333.609,268.953,74.367
1999-06-03,494753989.164,243.071,76.617
1999-06-04,511835819.613,276.995,79.289
1999-06-05,533546697.583,333.968,82.685
1999-06-06,555491916.783,340.113,86.117
1999-06-07,572270711.959,282.941,88.742
1999-06-08,584934542.717,237.295,90.723
1999-06-09,595261737.192,211.866,92.338
1999-06-10,608133307.181,193.432,44.455
1999-06-11,620787576.391,192.781,46.320
1999-06-12,631824356.641,225.798,98.057
1999-06-13,651370376.585,327.342,101.115
1999-06-14,679816665.453,434.804,105.565
1999-06-15,721956950.673,599.891,112.156
1999-06-16,772821788.259,708.826,120.113
1999-06-17,813630155.691,598.815,126.496
1999-06-18,848994053.467,541.332,132.028
1999-06-19,879386832.011,488.550,136.782
1999-06-20,902545295.745,408.442,140.404
1999-06-21,922179569.633,370.724,143.475
1999-06-22,941481953.524,369.902,146.495
1999-06-23,959566203.145,358.632,149.324
1999-06-24,978495619.379,371.375,152.285
1999-06-25,996721230.856,366.080,155.135
1999-06-26,1011396703.636,327.286,157.431
1999-06-27,1022769710.119,290.842,159.210
1999-06-28,1032376125.553,271.898,160.713
1999-06-29,1041057801.274,262.553,162.071
1999-06-30,1049949612.528,266.376,163.462
1999-07-01,1063362470.755,320.801,165.560
1999-07-02,1076009882.466,313.920,167.538
1999-07-03,1084054220.796,261.902,168.796
1999-07-04,1088961751.292,226.364,169.564
1999-07-05,1093468305.892,222.428,170.269
1999-07-06,1101045666.256,259.155,171.454
1999-07-07,1120642444.326,401.334,174.519
1999-07-08,1136475241.017,360.246,176.996
1999-07-09,1151918318.533,358.151,179.412
1999-07-10,1171259130.701,406.289,182.437
1999-07-11,1192492929.255,431.520,185.758
1999-07-12,1212132810.975,416.144,188.831
1999-07-13,1229188564.021,388.903,191.498
1999-07-14,1242253531.340,344.757,193.542
1999-07-15,1248938065.258,271.955,194.588
1999-07-16,1254886517.026,264.366,195.518
1999-07-17,1261897373.190,277.759,196.615
1999-07-18,1269150362.946,281.696,197.749
1999-07-19,1276885981.231,288.492,198.959
1999-07-20,1276885981.231,290.021,290.021
1999-07-21,1276885981.231,300.979,300.979
1999-07-22,1276885981.231,290.814,290.814
1999-07-23,1276885981.231,279.572,279.572
1999-07-24,1276885981.231,271.162,271.162
1999-07-25,1276885981.231,238.059,238.059
1999-07-26,1276885981.231,218.153,218.153
1999-07-27,1276885981.231,216.595,216.595
1999-07-28,1276885981.231,218.974,218.974
1999-07-29,1276885981.231,230.159,230.159
1999-07-30,1276885981.231,218.492,218.492
1999-07-31,1277084876.054,201.701,199.399
1999-08-01,1276358967.372,190.062,198.464
1999-08-02,1276565868.736,201.304,198.909
1999-08-03,1276565868.736,236.077,236.077
1999-08-04,1276565868.736,257.570,257.570
1999-08-05,1276565868.736,230.923,230.923
1999-08-06,1276565868.736,226.506,226.506
1999-08-07,1276565868.736,228.856,228.856
1999-08-08,1276565868.736,216.737,216.737
1999-08-09,1274436806.727,173.214,197.856
1999-08-10,1271132917.012,158.574,196.813
1999-08-11,1266889910.456,146.370,195.479
1999-08-12,1262122703.808,138.809,193.985
1999-08-13,1255846326.584,119.384,192.027
1999-08-14,1249300119.584,114.230,189.996
1999-08-15,1242096918.053,104.404,187.774
1999-08-16,1235882902.509,113.947,185.868
1999-08-17,1229099011.421,105.282,183.799
1999-08-18,1223537375.357,117.741,182.112
1999-08-19,1218052825.305,116.977,180.456
1999-08-20,1211133120.937,98.288,178.377
1999-08-21,1204463755.682,99.194,176.386
1999-08-22,1197061775.894,88.518,174.189
1999-08-23,1189144576.778,80.221,171.855
1999-08-24,1182250775.648,90.047,169.836
1999-08-25,1176645496.028,103.328,168.204
1999-08-26,1170310663.701,93.049,166.369
1999-08-27,1163169984.541,81.666,164.313
1999-08-28,1156170532.965,81.298,162.310
1999-08-29,1149336452.652,81.269,160.367
1999-08-30,1142744104.997,82.204,158.504
1999-08-31,1135596045.603,73.765,156.497
1999-09-01,1127660602.539,62.439,154.284
1999-09-02,1119379962.038,56.152,151.993
1999-09-03,1110861039.902,51.055,149.654
1999-09-04,1102306100.752,48.308,147.323
1999-09-05,1094888366.955,59.465,145.318
1999-09-06,1089535010.253,81.920,143.880
1999-09-07,1082403667.036,59.437,141.976
1999-09-08,1074944096.820,53.660,139.998
1999-09-09,1067451893.041,51.310,138.025
1999-09-10,1059778170.947,47.204,136.020
1999-09-11,1052042917.319,44.486,134.014
1999-09-12,1044432801.657,43.976,132.056
1999-09-13,1036819427.941,41.994,130.112
1999-09-14,1029546338.418,44.089,128.268
1999-09-15,1022617177.788,46.326,126.525
1999-09-16,1015786581.190,45.760,124.818
1999-09-17,1008972379.617,44.259,123.127
1999-09-18,1002214004.333,43.240,121.462
1999-09-19,995451772.453,41.541,119.808
1999-09-20,988974712.872,43.268,118.234
1999-09-21,982814453.086,45.448,116.747
1999-09-22,976570721.387,42.985,115.250
1999-09-23,970136403.256,39.247,113.718
1999-09-24,963444884.732,34.688,112.136
1999-09-25,957876806.869,46.383,110.828
1999-09-26,952035060.461,41.852,109.465
1999-09-27,945506903.709,32.394,107.951
1999-09-28,938676676.016,27.326,106.380
1999-09-29,932847141.655,37.576,105.047
1999-09-30,926448249.703,29.534,103.595
1999-10-01,920193168.436,29.789,102.186
1999-10-02,913783089.574,26.561,100.752
1999-10-03,907272849.754,23.956,99.306
1999-10-04,900841035.644,23.446,97.888
1999-10-05,894852753.048,27.269,96.578
1999-10-06,888475289.595,21.379,95.192
1999-10-07,884181708.386,44.571,94.265
1999-10-08,885920756.231,114.768,94.640
1999-10-09,884246227.272,74.898,94.279
1999-10-10,880690274.024,52.358,93.515
1999-10-11,877049913.507,50.602,92.736
1999-10-12,872074697.268,34.093,91.677
1999-10-13,871737057.982,87.697,91.605
1999-10-14,869605981.248,66.488,91.153
1999-10-15,866696163.151,56.860,90.538
1999-10-16,863473098.430,52.556,89.860
1999-10-17,859187489.811,39.360,88.962
1999-10-18,855138799.120,41.258,88.118
1999-10-19,851115737.918,40.720,87.283
1999-10-20,847040514.328,39.275,86.442
1999-10-21,841880042.080,25.655,85.383
1999-10-22,837530226.830,34.150,84.495
1999-10-23,833089450.746,32.196,83.594
1999-10-24,828919597.192,34.490,82.752
1999-10-25,825003622.896,36.642,81.966
1999-10-26,821589414.748,41.767,81.283
1999-10-27,817828854.283,37.010,80.535
1999-10-28,814812340.263,45.024,79.937
1999-10-29,810915382.090,34.065,79.169
1999-10-30,809361711.884,60.881,78.863
1999-10-31,810963808.844,97.721,79.178
1999-11-01,809671596.960,63.968,78.924
1999-11-02,807551662.128,53.972,78.508
1999-11-03,805548787.517,54.935,78.116
1999-11-04,803682530.327,56.152,77.752
1999-11-05,801375547.916,50.602,77.303
1999-11-06,803110482.871,97.721,77.641
1999-11-07,804713267.722,96.504,77.953
1999-11-08,804773658.108,78.664,77.965
1999-11-09,806781891.625,101.601,78.358
1999-11-10,809577053.877,111.257,78.906
1999-11-11,816999296.093,166.276,80.370
1999-11-12,878893443.518,853.072,136.705
1999-11-13,921036882.276,631.068,143.297
1999-11-14,950671714.154,490.928,147.932
1999-11-15,965647358.554,323.604,150.275
1999-11-16,974555013.956,254.766,151.668
