like1,parT,chain
0.9721868,120.69979,0.0
1.7867694,1280.6997,0.0
1.7868983,1736.2561,0.0
1.7868791,1665.2943,0.0
1.7865001,944.7497,0.0
1.7869724,2049.5544,0.0
1.7822187,639.48663,0.0
1.7866517,1061.1244,0.0
1.7867857,1352.4633,0.0
1.7868913,1710.6069,0.0
1.7869676,2028.0984,0.0
1.3885586,219.12129,0.0
1.7779622,590.9121,1.0
1.6903906,355.80594,2.0
1.4538785,238.25287,3.0
1.7848895,749.9105,1.0
1.0394388,142.9131,2.0
1.1694691,66.70491,3.0
1.6883062,353.65878,1.0
1.7869033,1754.8711,2.0
1.7867291,1197.1788,3.0
1.4065435,224.20506,1.0
1.7250051,398.75558,2.0
1.2985033,49.65455,3.0
1.1823751,172.45242,1.0
1.1579672,68.94716,2.0
1.0156533,94.82348,3.0
1.7561594,469.92255,1.0
1.3202239,47.57334,2.0
1.5198911,258.74792,3.0
1.7866445,1044.9575,1.0
1.1100242,157.89441,2.0
0.9675071,112.29966,3.0
1.6788255,344.5706,1.0
1.2988377,197.11256,2.0
0.97622734,123.38355,3.0
0.98538464,127.606384,1.0
1.2800148,193.17715,2.0
0.97123224,119.95302,3.0
1.0683559,83.50518,1.0
0.9858852,102.102486,2.0
0.96787626,111.40114,3.0
1.0537347,86.51905,1.0
0.97688854,104.9513,2.0
0.9667634,114.16743,3.0
1.2185118,179.76222,1.0
1.0171967,137.29285,2.0
0.9671334,116.05817,3.0
1.1030247,156.5651,1.0
0.97063154,108.381836,2.0
0.96797204,111.274635,3.0
1.2830703,193.82625,1.0
1.1067233,157.26302,2.0
0.9678639,111.416534,3.0
1.777242,584.17053,1.0
0.9684964,117.841606,2.0
0.96717864,115.07063,3.0
0.98643047,127.978806,1.0
1.7853177,775.1471,2.0
1.7500999,451.56296,3.0
0.9678023,116.91833,1.0
1.0152494,136.74171,2.0
0.967074,115.54288,3.0
0.9666968,113.72965,1.0
0.96708983,114.893906,2.0
0.9668237,114.31178,3.0
0.96699613,113.17263,1.0
0.96674746,114.121635,2.0
0.9667365,113.64713,3.0
1.6906526,356.07465,1.0
0.9715292,120.13923,2.0
0.96725124,116.219444,3.0
