like1,parT,chain
0.8603772,120.69979,0.0
1.2776148,1280.6997,0.0
1.2777224,1736.2561,0.0
1.2777079,1665.2943,0.0
1.2771767,944.7497,0.0
1.2777792,2049.5544,0.0
1.2718978,639.48663,0.0
1.2774345,1061.1244,0.0
1.277633,1352.4633,0.0
1.2777171,1710.6069,0.0
1.2777754,2028.0984,0.0
1.0324105,219.12129,0.0
1.2687005,590.9121,1.0
1.2059324,355.80594,2.0
1.0596366,238.25287,3.0
1.2750046,749.9105,1.0
0.88013834,142.9131,2.0
0.9389636,66.70491,3.0
1.2045736,353.65878,1.0
1.2777262,1754.8711,2.0
1.2775611,1197.1788,3.0
1.039211,224.20506,1.0
1.2288985,398.75558,2.0
0.9056381,49.65455,3.0
0.92777,17.194523,1.0
1.2415848,432.83865,2.0
1.2524567,469.92255,3.0
0.9020471,47.57334,1.0
1.276793,879.09015,2.0
1.250979,463.33173,3.0
0.9085917,157.89441,1.0
0.87995213,103.774475,2.0
1.2626172,528.3422,3.0
1.2041832,353.09576,1.0
1.0195081,209.90033,2.0
1.2777138,1694.5548,3.0
0.9104374,93.702354,1.0
0.8868,147.69724,2.0
0.86880606,134.19852,3.0
0.9059591,156.8374,1.0
0.86401236,130.30594,2.0
0.8611036,117.04021,3.0
0.95733654,179.76222,1.0
0.8745942,106.06398,2.0
0.8601972,124.48854,3.0
1.2776976,1618.4601,1.0
1.0913658,255.45253,2.0
1.2771354,936.95636,3.0
0.8628919,114.778564,1.0
1.120641,273.80862,2.0
0.8604254,119.63355,3.0
0.8700897,135.3356,1.0
0.86191165,128.0177,2.0
1.1544898,298.97012,3.0
1.142396,287.9578,1.0
1.2775759,1213.9977,2.0
1.2750078,750.0848,3.0
0.9906003,10.171244,1.0
0.9435635,70.238594,2.0
0.89128584,100.27227,3.0
0.8602393,120.95938,1.0
0.8600445,122.72396,2.0
1.0129244,206.22316,3.0
0.8603836,125.50287,1.0
0.860088,123.10133,2.0
0.8599958,121.90056,3.0
0.87456965,138.99484,1.0
0.86303735,129.3142,2.0
1.2437987,439.6995,3.0
0.99863684,199.6427,1.0
0.88748074,34.43773,2.0
1.2688544,592.7556,3.0
0.86019164,124.16757,1.0
0.8600802,123.034065,2.0
0.8600176,122.467316,3.0
0.8605087,119.88209,1.0
0.8603946,125.565834,2.0
0.8601919,124.1449,3.0
0.86116743,116.888466,1.0
0.88259685,144.38612,2.0
0.8605451,119.994896,3.0
1.2749118,745.9584,1.0
1.2537805,476.09076,2.0
0.89470494,42.753914,3.0
1.2776924,1595.6746,1.0
0.8600789,123.02273,2.0
0.8600171,122.46165,3.0
0.86014104,123.47793,1.0
0.86005425,121.4567,2.0
0.85999686,121.962006,3.0
0.86036193,125.453026,1.0
0.86019814,124.08849,2.0
0.8600755,121.35943,3.0
0.8682024,133.74373,1.0
0.8655563,112.45893,2.0
0.8985534,23.905062,3.0
