date,storage,inflow,outflow
1999-05-05,36103844.505,108.142,3.456
1999-05-06,44635322.931,103.017,4.273
1999-05-07,54758966.863,122.414,5.242
1999-05-08,64219604.202,115.646,6.148
1999-05-09,72869800.714,107.094,6.976
1999-05-10,81072937.347,102.705,7.761
1999-05-11,89225747.168,102.903,8.542
1999-05-12,97134552.403,100.836,9.299
1999-05-13,104963910.975,100.666,10.048
1999-05-14,112413612.725,96.985,10.762
1999-05-15,119661496.541,95.343,11.455
1999-05-16,127374010.547,101.459,12.194
1999-05-17,135561910.699,107.745,12.978
1999-05-18,144476142.917,117.005,13.831
1999-05-19,154571767.595,131.645,14.797
1999-05-20,165601300.138,143.510,15.853
1999-05-21,176608220.379,144.302,16.907
1999-05-22,188655627.778,157.498,18.060
1999-05-23,205231531.563,211.498,19.647
1999-05-24,236249933.273,381.626,22.617
1999-05-25,281694156.386,552.942,26.967
1999-05-26,319665635.511,470.087,30.602
1999-05-27,349036706.861,373.357,33.414
1999-05-28,376953618.964,359.199,36.087
1999-05-29,402581414.500,335.158,38.540
1999-05-30,425601591.361,307.181,40.744
1999-05-31,446867774.090,288.916,42.780
1999-06-01,469975987.571,312.448,44.992
1999-06-02,489167495.097,268.953,46.829
1999-06-03,505983706.562,243.071,48.439
1999-06-04,525568956.923,276.995,50.314
1999-06-05,549875627.684,333.968,52.641
1999-06-06,574509473.494,340.113,54.999
1999-06-07,594042099.074,282.941,56.869
1999-06-08,609503028.880,237.295,58.349
1999-06-09,622658084.198,211.866,59.608
1999-06-10,634125591.182,193.432,60.706
1999-06-11,645443240.543,192.781,61.790
1999-06-12,659497313.805,225.798,63.135
1999-06-13,682137525.583,327.342,65.303
1999-06-14,713800560.953,434.804,68.334
1999-06-15,759350358.890,599.891,72.694
1999-06-16,813861266.918,708.826,77.913
1999-06-17,858498022.324,598.815,82.186
1999-06-18,897842815.504,541.332,85.952
1999-06-19,932341893.035,488.550,89.255
1999-06-20,959693407.868,408.442,91.874
1999-06-21,983588445.425,370.724,94.161
1999-06-22,1007217024.059,369.902,96.423
1999-06-23,1029686027.715,358.632,98.574
1999-06-24,1053062672.259,371.375,100.812
1999-06-25,1075793813.617,366.080,102.988
1999-06-26,1095014176.749,327.286,104.828
1999-06-27,1110953936.380,290.842,106.354
1999-06-28,1125139601.085,271.898,107.712
1999-06-29,1138408110.496,262.553,108.982
1999-06-30,1151895370.470,266.376,110.273
1999-07-01,1169935733.901,320.801,112.000
1999-07-02,1187238463.552,313.920,113.657
1999-07-03,1199941765.685,261.902,114.873
1999-07-04,1209495562.676,226.364,115.788
1999-07-05,1218633705.311,222.428,116.662
1999-07-06,1230844065.677,259.155,117.831
1999-07-07,1255137752.239,401.334,120.157
1999-07-08,1275711266.707,360.246,122.127
1999-07-09,1295936485.130,358.151,124.063
1999-07-10,1296346360.000,406.289,401.545
1999-07-11,1296346360.000,431.520,431.520
1999-07-12,1296346360.000,416.144,416.144
1999-07-13,1296346360.000,388.903,388.903
1999-07-14,1296346360.000,344.757,344.757
1999-07-15,1296346360.000,271.955,271.955
1999-07-16,1296346360.000,264.366,264.366
1999-07-17,1296346360.000,277.759,277.759
1999-07-18,1296346360.000,281.696,281.696
1999-07-19,1296346360.000,288.492,288.492
1999-07-20,1296346360.000,290.021,290.021
1999-07-21,1296346360.000,300.979,300.979
1999-07-22,1296346360.000,290.814,290.814
1999-07-23,1296346360.000,279.572,279.572
1999-07-24,1296346360.000,271.162,271.162
1999-07-25,1296346360.000,238.059,238.059
1999-07-26,1296346360.000,218.153,218.153
1999-07-27,1296346360.000,216.595,216.595
1999-07-28,1296346360.000,218.974,218.974
1999-07-29,1296346360.000,230.159,230.159
1999-07-30,1296346360.000,218.492,218.492
1999-07-31,1296346360.000,201.701,201.701
1999-08-01,1296346360.000,190.062,190.062
1999-08-02,1296346360.000,201.304,201.304
1999-08-03,1296346360.000,236.077,236.077
1999-08-04,1296346360.000,257.570,257.570
1999-08-05,1296346360.000,230.923,230.923
1999-08-06,1296346360.000,226.506,226.506
1999-08-07,1296346360.000,228.856,228.856
1999-08-08,1296346360.000,216.737,216.737
1999-08-09,1296346360.000,173.214,173.214
1999-08-10,1296346360.000,158.574,158.574
1999-08-11,1296346360.000,146.370,146.370
1999-08-12,1296346360.000,138.809,138.809
1999-08-13,1295942063.483,119.384,124.063
1999-08-14,1295099430.998,114.230,123.983
1999-08-15,1293421708.988,104.404,123.822
1999-08-16,1292575501.382,113.947,123.741
1999-08-17,1290993721.093,105.282,123.590
1999-08-18,1290492543.771,117.741,123.542
1999-08-19,1289930009.715,116.977,123.488
1999-08-20,1287770607.041,98.288,123.281
1999-08-21,1285706555.077,99.194,123.083
1999-08-22,1282744595.850,88.518,122.800
1999-08-23,1279095954.683,80.221,122.451
1999-08-24,1276319246.790,90.047,122.185
1999-08-25,1274703382.531,103.328,122.030
1999-08-26,1272219953.757,93.049,121.792
1999-08-27,1268781474.342,81.666,121.463
1999-08-28,1265339667.804,81.298,121.134
1999-08-29,1261923610.764,81.269,120.807
1999-08-30,1258615698.328,82.204,120.490
1999-08-31,1254611773.794,73.765,120.107
1999-09-01,1249670156.265,62.439,119.634
1999-09-02,1244230336.104,56.152,119.113
1999-09-03,1238398372.830,51.055,118.555
1999-09-04,1232378857.731,48.308,117.978
1999-09-05,1227364780.174,59.465,117.498
1999-09-06,1224316031.609,81.920,117.206
1999-09-07,1219365697.347,59.437,116.733
1999-09-08,1213960934.486,53.660,116.215
1999-09-09,1208399134.718,51.310,115.683
1999-09-10,1202531112.489,47.204,115.121
1999-09-11,1196478319.289,44.486,114.541
1999-09-12,1190431477.094,43.976,113.963
1999-09-13,1184264399.602,41.994,113.372
1999-09-14,1178327436.279,44.089,112.804
1999-09-15,1172630867.559,46.326,112.259
1999-09-16,1166932528.881,45.760,111.713
1999-09-17,1161152313.469,44.259,111.160
1999-09-18,1155332196.162,43.240,110.602
1999-09-19,1149414234.259,41.541,110.036
1999-09-20,1143692808.557,43.268,109.488
1999-09-21,1138205124.914,45.448,108.963
1999-09-22,1132551401.490,42.985,108.422
1999-09-23,1126623744.063,39.247,107.854
1999-09-24,1120354047.329,34.688,107.254
1999-09-25,1115137942.358,46.383,106.755
1999-09-26,1109576360.279,41.852,106.222
1999-09-27,1103249934.515,32.394,105.617
1999-09-28,1096541123.869,27.326,104.974
1999-09-29,1090765683.395,37.576,104.421
1999-09-30,1084348492.378,29.534,103.807
1999-10-01,1078005795.459,29.789,103.200
1999-10-02,1071438518.992,26.561,102.571
1999-10-03,1064701890.929,23.956,101.926
1999-10-04,1057976823.648,23.446,101.282
1999-10-05,1051634522.392,27.269,100.675
1999-10-06,1044839528.301,21.379,100.025
1999-10-07,1040087627.220,44.571,99.570
1999-10-08,1041389974.883,114.768,99.695
1999-10-09,1039265129.693,74.898,99.491
1999-10-10,1035226235.250,52.358,99.104
1999-10-11,1031069999.714,50.602,98.707
1999-10-12,1025533183.029,34.093,98.177
1999-10-13,1024635179.565,87.697,98.091
1999-10-14,1021927117.586,66.488,97.831
1999-10-15,1018416235.824,56.860,97.495
1999-10-16,1014565340.222,52.556,97.127
1999-10-17,1009615253.674,39.360,96.653
1999-10-18,1004868416.651,41.258,96.198
1999-10-19,1000114417.988,40.720,95.743
1999-10-20,995275594.494,39.275,95.280
1999-10-21,989309351.349,25.655,94.709
1999-10-22,984119998.691,34.150,94.212
1999-10-23,978805775.754,32.196,93.703
1999-10-24,973731723.227,34.490,93.217
1999-10-25,968883702.738,36.642,92.753
1999-10-26,964514620.070,41.767,92.335
1999-10-27,959773745.608,37.010,91.881
1999-10-28,955758491.955,45.024,91.497
1999-10-29,950837086.923,34.065,91.026
1999-10-30,948253950.088,60.881,90.778
1999-10-31,948848868.528,97.721,90.835
1999-11-01,946546570.673,63.968,90.615
1999-11-02,943406590.016,53.972,90.314
1999-11-03,940374888.550,54.935,90.024
1999-11-04,937472343.589,56.152,89.746
1999-11-05,934118023.086,50.602,89.425
1999-11-06,934828904.299,97.721,89.493
1999-11-07,935429667.642,96.504,89.551
1999-11-08,934496771.215,78.664,89.461
1999-11-09,935537027.358,101.601,89.561
1999-11-10,937396184.330,111.257,89.739
1999-11-11,943954735.419,166.276,90.367
1999-11-12,1009311874.995,853.072,96.624
1999-11-13,1055109068.464,631.068,101.008
1999-11-14,1088521800.529,490.928,104.207
1999-11-15,1107322235.702,323.604,106.006
1999-11-16,1120069630.653,254.766,107.227
1999-11-17,1128737837.409,208.383,108.057
1999-11-18,1134282442.494,172.761,108.587
1999-11-19,1137930118.303,151.155,108.937
1999-11-20,1141305193.189,148.323,109.260
1999-11-21,1142592478.206,124.282,109.383
1999-11-22,1142408510.467,107.236,109.365
1999-11-23,1142441993.779,109.756,109.368
1999-11-24,1142089420.517,105.254,109.335
1999-11-25,1142615675.265,115.476,109.385
1999-11-26,1141160030.826,92.398,109.246
1999-11-27,1139590104.457,90.925,109.095
1999-11-28,1137336644.245,82.798,108.880
1999-11-29,1134089828.093,70.990,108.569
1999-11-30,1131905739.507,83.081,108.360
1999-12-01,1129909493.591,85.064,108.169
1999-12-02,1129941139.522,108.538,108.172
1999-12-03,1127958524.975,85.035,107.982
1999-12-04,1124934230.752,72.689,107.692
1999-12-05,1122085219.840,74.445,107.420
1999-12-06,1121026105.142,95.060,107.318
1999-12-07,1117973760.381,71.698,107.026
1999-12-08,1114417483.314,65.525,106.686
1999-12-09,1110693804.166,63.231,106.329
1999-12-10,1106343163.103,55.558,105.913
1999-12-11,1102632335.262,62.608,105.557
1999-12-12,1101368784.182,90.812,105.436
1999-12-13,1098448561.424,71.358,105.157
1999-12-14,1095746470.761,73.624,104.898
1999-12-15,1095696838.619,104.319,104.893
1999-12-16,1097018587.547,120.318,105.020
1999-12-17,1098797796.178,125.783,105.190
1999-12-18,1100950676.177,130.314,105.396
1999-12-19,1101149530.600,107.717,105.415
1999-12-20,1100371330.519,96.334,105.341
1999-12-21,1098388697.312,82.204,105.151
1999-12-22,1095956425.261,76.767,104.918
1999-12-23,1092905963.573,69.320,104.626
1999-12-24,1089632964.115,66.431,104.313
1999-12-25,1086068985.650,62.722,103.972
1999-12-26,1082247863.879,59.380,103.606
1999-12-27,1078819705.299,63.600,103.278
1999-12-28,1076130563.709,71.896,103.020
1999-12-29,1073582421.665,73.284,102.776
1999-12-30,1072217498.853,86.848,102.646
1999-12-31,1069432129.754,70.141,102.379
2000-01-01,1066929254.587,73.171,102.139
2000-01-02,1064689503.385,76.002,101.925
2000-01-03,1061121402.474,60.286,101.583
2000-01-04,1058169814.119,67.139,101.301
2000-01-05,1054347051.231,56.690,100.935
2000-01-06,1050050926.707,50.800,100.524
2000-01-07,1046205047.649,55.643,100.155
2000-01-08,1042834684.145,60.824,99.833
2000-01-09,1039283310.974,58.389,99.493
2000-01-10,1035457809.917,54.850,99.127
2000-01-11,1031229322.183,49.781,98.722
2000-01-12,1026911784.328,48.337,98.309
2000-01-13,1022925642.490,51.791,97.927
2000-01-14,1019064404.357,52.867,97.557
