date,storage,inflow,outflow
1982-01-01,1301976933.196,11.327,92.325
1982-01-02,1294778170.987,8.495,91.814
1982-01-03,1288595914.296,19.822,91.376
1982-01-04,1283667140.545,33.980,91.026
1982-01-05,1277795710.748,22.653,90.610
1982-01-06,1271716867.127,19.822,90.179
1982-01-07,1265675040.043,19.822,89.750
1982-01-08,1259426836.753,16.990,89.307
1982-01-09,1253216681.301,16.990,88.867
1982-01-10,1247044341.997,16.990,88.429
1982-01-11,1240666421.228,14.158,87.977
1982-01-12,1234327338.199,14.158,87.527
1982-01-13,1228026856.410,14.158,87.081
1982-01-14,1221764740.804,14.158,86.637
1982-01-15,1215540757.753,14.158,86.195
1982-01-16,1209354675.053,14.158,85.757
1982-01-17,1203656921.000,14.158,80.105
1982-01-18,1203656921.000,14.158,14.158
1982-01-19,1203656921.000,14.158,14.158
1982-01-20,1203656921.000,11.327,11.327
1982-01-21,1203656921.000,11.327,11.327
1982-01-22,1203656921.000,16.990,16.990
1982-01-23,1209458403.235,152.911,85.764
1982-01-24,1206956868.486,56.634,85.587
1982-01-25,1203741064.587,48.139,85.359
1982-01-26,1203656921.000,33.980,34.954
1982-01-27,1203656921.000,31.148,31.148
1982-01-28,1203656921.000,28.317,28.317
1982-01-29,1203656921.000,25.485,25.485
1982-01-30,1203656921.000,33.980,33.980
1982-01-31,1233288802.127,430.415,87.454
1982-02-01,1289600506.637,743.203,91.447
1982-02-02,1302623523.253,243.100,92.370
1982-02-03,1306302561.965,135.213,92.631
1982-02-04,1307556704.247,107.236,92.720
1982-02-05,1306459076.433,79.938,92.642
1982-02-06,1304145000.820,65.695,92.478
1982-02-07,1300320357.356,47.940,92.207
1982-02-08,1296477665.246,47.459,91.935
1982-02-09,1294110081.836,64.364,91.767
1982-02-10,1290407336.886,48.648,91.504
1982-02-11,1286559353.987,46.694,91.231
1982-02-12,1281844810.564,36.330,90.897
1982-02-13,1278192437.079,48.365,90.638
1982-02-14,1273429144.590,35.169,90.300
1982-02-15,1268432236.993,32.111,89.946
1982-02-16,1265022028.536,50.234,89.704
1982-02-17,1284835613.384,320.433,91.109
1982-02-18,1300056697.996,268.358,92.188
1982-02-19,1304906411.990,148.663,92.532
1982-02-20,1305879686.864,103.866,92.601
1982-02-21,1305747918.716,91.067,92.592
1982-02-22,1304092293.764,73.312,92.475
1982-02-23,1301313590.797,60.117,92.277
1982-02-24,1298206510.861,56.096,92.057
1982-02-25,1294819255.368,52.613,91.817
1982-02-26,1290837412.884,45.448,91.535
1982-02-27,1286327827.599,39.021,91.215
1982-02-28,1281390980.085,33.725,90.865
1982-03-01,1276982688.070,39.530,90.552
1982-03-02,1272124631.951,33.980,90.208
1982-03-03,1266566656.494,25.485,89.814
1982-03-04,1262258362.476,39.644,89.508
1982-03-05,1257733136.067,36.812,89.187
1982-03-06,1252749130.921,31.148,88.834
1982-03-07,1247795475.399,31.148,88.482
1982-03-08,1242628817.353,28.317,88.116
1982-03-09,1237250453.843,25.485,87.735
1982-03-10,1231904841.363,25.485,87.356
1982-03-11,1226591780.480,25.485,86.979
1982-03-12,1221240554.447,24.664,86.599
1982-03-13,1215749265.386,22.653,86.210
1982-03-14,1210777749.676,28.317,85.857
1982-03-15,1212645192.934,107.604,85.990
1982-03-16,1214014929.904,101.940,86.087
1982-03-17,1214403656.648,90.614,86.115
1982-03-18,1214303681.607,84.950,86.108
1982-03-19,1213474813.347,76.455,86.049
1982-03-20,1212164657.731,70.792,85.956
1982-03-21,1210011394.507,60.881,85.803
1982-03-22,1206776990.363,48.139,85.574
1982-03-23,1203656921.000,48.139,84.250
1982-03-24,1203656921.000,43.891,43.891
1982-03-25,1203656921.000,39.644,39.644
1982-03-26,1203656921.000,35.396,35.396
1982-03-27,1203656921.000,33.980,33.980
1982-03-28,1203656921.000,32.564,32.564
1982-03-29,1203656921.000,29.025,29.025
1982-03-30,1203656921.000,28.317,28.317
1982-03-31,1203656921.000,26.901,26.901
1982-04-01,1203656921.000,26.901,26.901
1982-04-02,1203656921.000,25.627,25.627
1982-04-03,1203656921.000,25.485,25.485
1982-04-04,1203656921.000,25.485,25.485
1982-04-05,1203656921.000,25.485,25.485
1982-04-06,1203656921.000,25.485,25.485
1982-04-07,1203656921.000,25.485,25.485
1982-04-08,1203656921.000,28.317,28.317
1982-04-09,1205567725.864,107.604,85.488
1982-04-10,1205521556.380,84.950,85.485
1982-04-11,1203656921.000,56.634,78.215
1982-04-12,1203656921.000,42.475,42.475
1982-04-13,1203656921.000,36.812,36.812
1982-04-14,1203656921.000,33.980,33.980
1982-04-15,1203656921.000,31.148,31.148
1982-04-16,1203656921.000,28.317,28.317
1982-04-17,1203656921.000,42.475,42.475
1982-04-18,1203656921.000,33.980,33.980
