like1,parT,chain
1.2445799,2134.7087,0.0
0.9252588,168.47153,0.0
1.2112939,1914.8892,0.0
0.9541445,355.28882,0.0
0.94076866,1321.0565,0.0
0.7632181,1155.446,0.0
1.0890977,1524.9746,0.0
1.1914057,1820.6332,0.0
1.2262859,2001.5251,0.0
1.1567036,1694.4087,0.0
0.91099316,106.717636,0.0
0.6651462,1062.9812,0.0
0.3266561,804.90594,1.0
0.46448827,546.8307,2.0
0.15516555,675.86835,3.0
1.180461,1775.4221,1.0
0.66774523,1065.3555,2.0
0.23316222,755.36743,3.0
0.6491084,1048.4241,1.0
0.8783754,137.30641,2.0
0.88260144,122.012024,3.0
0.48848766,913.605,1.0
0.48333237,541.03827,2.0
0.18548854,727.3216,3.0
0.33667657,810.6984,1.0
0.2113216,743.2834,2.0
0.7557606,440.2949,3.0
0.4529977,887.87286,1.0
0.39900088,566.7704,2.0
0.18989274,647.046,3.0
1.0445353,310.07776,1.0
0.48409793,910.36145,2.0
0.29861796,600.37335,3.0
0.7197284,454.36594,1.0
0.8022628,420.40063,2.0
0.22484052,629.636,3.0
0.3510083,818.97705,1.0
0.17810655,722.1007,2.0
0.1553746,698.98456,3.0
0.15553686,699.2758,1.0
0.15831323,671.23004,2.0
0.49982443,922.0594,3.0
0.6823247,1078.7347,1.0
0.15308984,693.7186,2.0
0.1590049,670.3823,3.0
0.15277305,681.66077,1.0
0.16640936,712.4721,2.0
0.15439892,697.06647,3.0
0.1522951,690.32263,1.0
0.15208249,685.9917,2.0
0.15207572,688.15717,3.0
0.15207593,688.16144,1.0
0.15254895,682.6042,2.0
0.15212493,685.3828,3.0
0.15227105,684.14825,1.0
0.4530368,887.9006,2.0
0.15234055,690.60736,3.0
0.15285587,681.3544,1.0
0.15205263,686.8404,2.0
0.15269773,692.3265,3.0
0.15208323,688.29803,1.0
0.22995222,753.6375,2.0
0.15205482,687.5692,3.0
0.15207432,686.1527,1.0
0.15205038,687.15497,2.0
0.15205628,686.6538,3.0
0.32912245,806.3334,1.0
0.22051679,748.47034,2.0
0.15209948,685.71545,3.0
0.15215027,689.1591,1.0
0.15205495,687.57544,2.0
0.15205356,686.78357,3.0
0.15205449,686.7345,1.0
0.15205134,686.9447,2.0
0.15205058,687.04987,3.0
0.1520507,687.027,1.0
0.15205048,687.21356,2.0
0.17575867,720.3323,3.0
0.15205301,687.4725,1.0
0.15205038,687.12805,2.0
0.15205096,687.30023,3.0
0.15205656,686.64233,1.0
0.6653934,1063.2069,2.0
0.43456748,874.9246,3.0
