date,storage,inflow,outflow
1999-05-05,36184000.364,108.142,2.529
1999-05-06,44814094.736,103.017,3.132
1999-05-07,55058238.755,122.414,3.848
1999-05-08,64659657.013,115.646,4.518
1999-05-09,73468994.263,107.094,5.134
1999-05-10,81848528.729,102.705,5.720
1999-05-11,90194778.175,102.903,6.303
1999-05-12,98313420.827,100.836,6.870
1999-05-13,106368739.813,100.666,7.433
1999-05-14,114059585.317,96.985,7.971
1999-05-15,121563257.042,95.343,8.495
1999-05-16,129547146.770,101.459,9.053
1999-05-17,138022972.336,107.745,9.645
1999-05-18,147243192.900,117.005,10.289
1999-05-19,157665383.320,131.645,11.018
1999-05-20,169044008.919,143.510,11.813
1999-05-21,180422364.129,144.302,12.608
1999-05-22,192865724.360,157.498,13.478
1999-05-23,209872005.628,211.498,14.666
1999-05-24,241387067.349,381.626,16.868
1999-05-25,287425862.656,552.942,20.086
1999-05-26,326072647.951,470.087,22.786
1999-05-27,356180180.748,373.357,24.890
1999-05-28,384891114.106,359.199,26.897
1999-05-29,411365063.086,335.158,28.747
1999-05-30,435277423.411,307.181,30.418
1999-05-31,457477649.250,288.916,31.969
1999-06-01,481565603.847,312.448,33.652
1999-06-02,501773580.578,268.953,35.064
1999-06-03,519637495.403,243.071,36.313
1999-06-04,540307643.505,276.995,37.757
1999-06-05,565746665.416,333.968,39.535
1999-06-06,591560757.372,340.113,41.339
1999-06-07,612309911.191,282.941,42.789
1999-06-08,629014393.818,237.295,43.956
1999-06-09,643434744.972,211.866,44.964
1999-06-10,656185413.710,193.432,45.855
1999-06-11,668803650.813,192.781,46.737
1999-06-12,684181708.491,225.798,47.811
1999-06-13,708188223.437,327.342,49.489
1999-06-14,741279658.752,434.804,51.801
1999-06-15,788350411.397,599.891,55.091
1999-06-16,844494168.418,708.826,59.014
1999-06-17,890853073.498,598.815,62.254
1999-06-18,931997032.161,541.332,65.129
1999-06-19,968361070.570,488.550,67.670
1999-06-20,997627078.165,408.442,69.715
1999-06-21,1023478169.215,370.724,71.522
1999-06-22,1049103521.068,369.902,73.312
1999-06-23,1073607198.864,358.632,75.025
1999-06-24,1099058206.104,371.375,76.803
1999-06-25,1123901727.412,366.080,78.539
1999-06-26,1145264465.142,327.286,80.032
1999-06-27,1163369130.586,290.842,81.297
1999-06-28,1179738202.747,271.898,82.441
1999-06-29,1195206474.001,262.553,83.522
1999-06-30,1210910237.711,266.376,84.619
1999-07-01,1231193854.860,320.801,86.037
1999-07-02,1250764790.012,313.920,87.405
1999-07-03,1265750888.276,261.902,88.452
1999-07-04,1277594992.097,226.364,89.279
1999-07-05,1289029984.371,222.428,90.079
