date,storage,inflow,outflow
1999-05-05,36314187.584,108.142,1.022
1999-05-06,45025071.944,103.017,2.197
1999-05-07,55292219.586,122.414,3.581
1999-05-08,64863087.876,115.646,4.872
1999-05-09,73593334.524,107.094,6.049
1999-05-10,81848182.296,102.705,7.163
1999-05-11,90024858.878,102.903,8.266
1999-05-12,97930822.739,100.836,9.332
1999-05-13,105731204.966,100.666,10.384
1999-05-14,113127365.336,96.985,11.381
1999-05-15,120298100.211,95.343,12.348
1999-05-16,127908576.720,101.459,13.375
1999-05-17,135968248.631,107.745,14.462
1999-05-18,144725935.948,117.005,15.643
1999-05-19,154633076.713,131.645,16.979
1999-05-20,165439432.855,143.510,18.436
1999-05-21,176188959.378,144.302,19.886
1999-05-22,187941672.295,157.498,21.471
1999-05-23,204170875.089,211.498,23.660
1999-05-24,234742897.838,381.626,27.783
1999-05-25,279593997.383,552.942,33.832
1999-05-26,316852274.378,470.087,38.857
1999-05-27,345420192.871,373.357,42.710
1999-05-28,372449897.634,359.199,46.355
1999-05-29,397115050.314,335.158,49.682
1999-05-30,419106733.010,307.181,52.648
1999-05-31,439285191.048,288.916,55.369
1999-06-01,461240975.012,312.448,58.330
1999-06-02,479229184.104,268.953,60.756
1999-06-03,494799752.979,243.071,62.856
1999-06-04,513088249.496,276.995,65.323
1999-06-05,536031863.686,333.968,68.417
1999-06-06,559236020.389,340.113,71.546
1999-06-07,577290141.385,282.941,73.981
1999-06-08,591237922.038,237.295,75.862
1999-06-09,602853289.495,211.866,77.429
1999-06-10,612760515.803,193.432,78.765
1999-06-11,622498029.729,192.781,80.078
1999-06-12,634943195.666,225.798,81.757
1999-06-13,655917362.582,327.342,84.585
1999-06-14,685827717.113,434.804,88.619
1999-06-15,729703228.608,599.891,92.073
1999-06-16,782990724.104,708.826,92.073
1999-06-17,826773269.199,598.815,92.073
1999-06-18,865589283.094,541.332,92.073
1999-06-19,899844932.190,488.550,92.073
1999-06-20,927179250.085,408.442,92.073
1999-06-21,951254732.780,370.724,92.073
1999-06-22,975259194.676,369.902,92.073
1999-06-23,998289928.571,358.632,92.073
1999-06-24,1022421657.666,371.375,92.073
1999-06-25,1046095898.762,366.080,92.073
1999-06-26,1066395745.807,327.286,92.334
1999-06-27,1083520438.666,290.842,92.640
1999-06-28,1098984536.649,271.898,92.915
1999-06-29,1113618672.493,262.553,93.176
1999-06-30,1128560087.820,266.376,93.443
1999-07-01,1148173594.800,320.801,93.793
1999-07-02,1167163316.410,313.920,94.132
1999-07-03,1181636376.931,261.902,94.390
1999-07-04,1193021407.636,226.364,94.593
1999-07-05,1204049371.637,222.428,94.790
1999-07-06,1218228695.257,259.155,95.042
1999-07-07,1244651561.541,401.334,95.514
1999-07-08,1259204252.863,360.246,191.812
1999-07-09,1259204252.863,358.151,358.151
1999-07-10,1259204252.863,406.289,406.289
1999-07-11,1259204252.863,431.520,431.520
1999-07-12,1259204252.863,416.144,416.144
1999-07-13,1259204252.863,388.903,388.903
1999-07-14,1259204252.863,344.757,344.757
1999-07-15,1259204252.863,271.955,271.955
1999-07-16,1259204252.863,264.366,264.366
1999-07-17,1259204252.863,277.759,277.759
1999-07-18,1259204252.863,281.696,281.696
1999-07-19,1259204252.863,288.492,288.492
1999-07-20,1259204252.863,290.021,290.021
1999-07-21,1259204252.863,300.979,300.979
1999-07-22,1259204252.863,290.814,290.814
1999-07-23,1259204252.863,279.572,279.572
1999-07-24,1259204252.863,271.162,271.162
1999-07-25,1259204252.863,238.059,238.059
1999-07-26,1259204252.863,218.153,218.153
1999-07-27,1259204252.863,216.595,216.595
1999-07-28,1259204252.863,218.974,218.974
1999-07-29,1259204252.863,230.159,230.159
1999-07-30,1259204252.863,218.492,218.492
1999-07-31,1259204252.863,201.701,201.701
1999-08-01,1259204252.863,190.062,190.062
1999-08-02,1259204252.863,201.304,201.304
1999-08-03,1259204252.863,236.077,236.077
1999-08-04,1259204252.863,257.570,257.570
1999-08-05,1259204252.863,230.923,230.923
1999-08-06,1259204252.863,226.506,226.506
1999-08-07,1259204252.863,228.856,228.856
1999-08-08,1259204252.863,216.737,216.737
1999-08-09,1259204252.863,173.214,173.214
1999-08-10,1259204252.863,158.574,158.574
1999-08-11,1259204252.863,146.370,146.370
1999-08-12,1259204252.863,138.809,138.809
1999-08-13,1259204252.863,119.384,119.384
1999-08-14,1259204252.863,114.230,114.230
1999-08-15,1259204252.863,104.404,104.404
1999-08-16,1259204252.863,113.947,113.947
1999-08-17,1259204252.863,105.282,105.282
1999-08-18,1259204252.863,117.741,117.741
1999-08-19,1259204252.863,116.977,116.977
1999-08-20,1259204252.863,98.288,98.288
1999-08-21,1259204252.863,99.194,99.194
1999-08-22,1258590121.663,88.518,95.626
1999-08-23,1257259129.663,80.221,95.626
1999-08-24,1256777104.063,90.047,95.626
1999-08-25,1257442556.863,103.328,95.626
1999-08-26,1257219904.063,93.049,95.626
1999-08-27,1256013760.063,81.666,95.626
1999-08-28,1254775820.863,81.298,95.626
1999-08-29,1253535376.063,81.269,95.626
1999-08-30,1252375715.263,82.204,95.626
1999-08-31,1250487625.402,73.765,95.618
1999-09-01,1247625380.435,62.439,95.567
1999-09-02,1244225179.059,56.152,95.506
1999-09-03,1240390506.883,51.055,95.438
1999-09-04,1236324760.038,48.308,95.365
1999-09-05,1233227751.104,59.465,95.310
1999-09-06,1232072634.438,81.920,95.289
1999-09-07,1228979753.321,59.437,95.234
1999-09-08,1225393266.899,53.660,95.170
1999-09-09,1221609571.910,51.310,95.103
1999-09-10,1217477486.892,47.204,95.029
1999-09-11,1213117286.618,44.486,94.951
1999-09-12,1208719799.753,43.976,94.873
1999-09-13,1204158098.584,41.994,94.791
1999-09-14,1199784146.553,44.089,94.713
1999-09-15,1195609904.665,46.326,94.639
1999-09-16,1191393259.074,45.760,94.564
1999-09-17,1187053615.344,44.259,94.486
1999-09-18,1182632743.464,43.240,94.407
1999-09-19,1178072106.840,41.541,94.326
1999-09-20,1173667471.443,43.268,94.248
1999-09-21,1169457676.184,45.448,94.172
1999-09-22,1165041883.348,42.985,94.094
1999-09-23,1160310419.446,39.247,94.009
1999-09-24,1155192944.999,34.688,93.918
1999-09-25,1151092238.563,46.383,93.845
1999-09-26,1146606966.431,41.852,93.765
1999-09-27,1141312682.652,32.394,93.670
1999-09-28,1135589344.485,27.326,93.568
1999-09-29,1130759050.769,37.576,93.482
1999-09-30,1125242430.471,29.534,93.384
1999-10-01,1119756297.405,29.789,93.286
1999-10-02,1114000136.537,26.561,93.183
1999-10-03,1108114864.032,23.956,92.073
1999-10-04,1102185527.528,23.446,92.073
1999-10-05,1096517482.136,27.269,92.871
1999-10-06,1090409556.831,21.379,92.073
1999-10-07,1086252225.060,44.571,92.688
1999-10-08,1088156978.481,114.768,92.722
1999-10-09,1086619333.722,74.898,92.695
1999-10-10,1083139595.936,52.358,92.633
1999-10-11,1079513727.940,50.602,92.568
1999-10-12,1074469256.885,34.093,92.478
1999-10-13,1074056807.099,87.697,92.471
1999-10-14,1071815354.240,66.488,92.431
1999-10-15,1068746771.484,56.860,92.376
1999-10-16,1065311617.388,52.556,92.315
1999-10-17,1060743369.479,39.360,92.233
1999-10-18,1056345886.173,41.258,92.155
1999-10-19,1051908758.172,40.720,92.076
1999-10-20,1047347047.267,39.275,92.073
1999-10-21,1041608568.362,25.655,92.073
1999-10-22,1036604057.458,34.150,92.073
1999-10-23,1031430720.953,32.196,92.073
1999-10-24,1026455586.048,34.490,92.073
1999-10-25,1021666383.944,36.642,92.073
