like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.89743376,0.69538605,0.5902556,0.002411039,0.98696977,0.22707053,1.975648,0.0
0.8668663,0.7212578,0.16314535,0.16720772,0.93005437,0.32166824,2.0758262,0.0
0.90671456,0.40874964,0.14287417,0.09555808,0.9352347,0.23539647,2.3854764,0.0
0.91118914,0.8948867,0.9174478,0.80528426,0.8458082,0.9827076,2.766525,0.0
1.2658725,0.83591086,0.22401729,0.39775643,0.14470796,0.7026282,4.2768245,0.0
0.8259261,0.65720606,0.32899246,0.869427,0.8490702,0.5136517,4.2106586,0.0
0.9932561,0.7815559,0.30546653,0.016030516,0.6629911,0.24679239,3.0522578,0.0
1.1449002,0.48546338,0.55769145,0.55661374,0.6979163,0.14993079,1.9734098,0.0
1.2735032,0.29726022,0.4952064,0.6206325,0.18476881,0.47816715,2.5737326,0.0
1.0762625,0.25369698,0.34272477,0.7442509,0.6178763,0.83123887,1.5251896,0.0
1.1581173,0.23019879,0.14331901,0.266606,0.5815939,0.08479183,2.4476023,0.0
1.0203239,0.47358826,0.64798564,0.9983669,0.6964569,0.74368787,4.414595,0.0
1.2647835,0.7230596,0.29931298,0.93127966,0.3593106,0.025635598,2.0539281,0.0
1.0790896,0.24877067,0.6377803,0.292447,0.6315837,0.9644415,4.289858,0.0
1.2294902,0.3267642,0.29586956,0.079678655,0.35308823,0.4919315,4.7133956,0.0
0.9828448,0.48072064,0.30286783,0.4288183,0.6184336,0.8831445,1.7156823,0.0
1.2188003,0.20757838,0.5526448,0.10921885,0.51771,0.09062151,2.3484616,0.0
1.0539457,0.21640125,0.1146773,0.024876572,0.6856293,0.9299653,1.113707,0.0
1.1919903,0.55637187,0.53885704,0.6023962,0.5056372,0.51466584,1.6132647,0.0
0.8596939,0.7469462,0.67037684,0.997816,0.8883983,0.50810724,2.305631,0.0
1.0522462,0.28024262,0.110298954,0.7829951,0.9201226,0.8750217,2.5742936,0.0
1.2609638,0.5910568,0.4079175,0.6031215,0.28051448,0.341011,3.058955,0.0
1.2832162,0.44850436,0.9544731,0.8140593,0.29031777,0.0032162848,2.7603345,0.0
1.272989,0.24300973,0.4219465,0.3749983,0.1825912,0.32824957,4.644486,0.0
0.8363884,0.6253719,0.17522457,0.685226,0.92894244,0.31349444,1.3504565,0.0
1.2369411,0.36614394,0.66837704,0.55885625,0.51086515,0.012486767,2.4845545,0.0
1.281829,0.33369115,0.81063133,0.9401334,0.2026976,0.485283,2.9851158,0.0
1.2171806,0.7168303,0.30110073,0.28341952,0.40967175,0.049286075,1.6805688,0.0
1.206014,0.29859328,0.1523155,0.89678717,0.6928216,0.30120426,4.1168017,0.0
1.0953208,0.22046529,0.037950482,0.698943,0.73722464,0.98029315,1.5620902,0.0
1.0685014,0.52118546,0.8949251,0.20655891,0.8196674,0.404984,1.789256,0.0
1.1981974,0.846922,0.8231077,0.25670972,0.45353177,0.45527476,3.8052616,0.0
1.2346365,0.3900808,0.58062446,0.2853917,0.4184651,0.5531812,1.3298585,0.0
1.1057407,0.8222617,0.8971709,0.7087706,0.66658515,0.594937,1.3521111,0.0
1.1192983,0.3224308,0.17587782,0.57935005,0.738706,0.14640166,4.1177206,0.0
1.2784045,0.27915627,0.32418507,0.36301428,0.103139535,0.76245373,4.021535,0.0
1.2566813,0.7651922,0.27662408,0.4326176,0.5144677,0.1649639,1.0891882,0.0
1.2508104,0.24215207,0.920646,0.026691379,0.64023495,0.005508533,2.84225,0.0
1.2760634,0.32565236,0.6576998,0.12947544,0.13550086,0.6903428,2.7943895,0.0
1.223216,0.951802,0.921071,0.3363677,0.33980516,0.8906279,1.6140428,0.0
0.9570714,0.94953775,0.70910066,0.05672732,0.92872787,0.014769363,1.3595628,0.0
1.0243461,0.7315298,0.4409261,0.8848432,0.6868086,0.6374814,2.6778355,0.0
1.2729222,0.46622312,0.51449907,0.4886969,0.18934555,0.37841472,3.0168605,0.0
1.275202,0.7297649,0.4290693,0.911781,0.10711697,0.83779263,3.6914942,0.0
1.2135897,0.20297357,0.16333118,0.53334105,0.37656704,0.88594204,4.5311847,0.0
0.91939956,0.51142055,0.106670864,0.6136129,0.7546898,0.6113565,4.0158596,0.0
1.2675041,0.84734106,0.55522716,0.68825907,0.14437753,0.7315424,4.8452168,0.0
1.1611143,0.69499904,0.6590297,0.64785945,0.5407817,0.52992153,2.5650914,0.0
0.91978323,0.784425,0.04059671,0.313817,0.81177914,0.19298756,1.4455271,0.0
1.2328242,0.62197316,0.8968271,0.508217,0.5484552,0.34745362,3.691132,0.0
1.1746831,0.25906906,0.5581088,0.6695398,0.6688636,0.40013075,2.4993277,0.0
1.0982783,0.52348495,0.96904963,0.36914572,0.57679695,0.9437499,2.1908245,0.0
1.2079896,0.49869338,0.029213388,0.5767896,0.43849137,0.17350553,4.2250915,1.0
1.2287226,0.75132906,0.582686,0.26449984,0.3041146,0.9735998,3.6623514,2.0
1.016955,0.80740345,0.814845,0.16690272,0.84013784,0.30062634,1.6942611,3.0
1.0262152,0.20670293,0.2150678,0.38369626,0.8577512,0.57327336,3.0458567,4.0
1.1231214,0.4879143,0.5574832,0.31913328,0.58371043,0.48433343,1.8456341,5.0
1.091004,0.70774174,0.72931516,0.29486668,0.637632,0.4745837,3.1448395,6.0
0.9867021,0.9352939,0.3661089,0.84135526,0.95513755,0.5306511,3.820634,7.0
1.0899819,0.4364459,0.3396339,0.3140364,0.6612935,0.27876064,2.4582288,8.0
1.1366267,0.34185532,0.58106554,0.24412736,0.6420996,0.30960461,2.4970982,9.0
1.0307148,0.6947095,0.6682503,0.40451849,0.7477693,0.46401447,3.0645075,10.0
1.0529789,0.48780257,0.49970537,0.35371804,0.74084187,0.403251,2.6393116,11.0
0.9162198,0.4661267,0.3399326,0.45787147,0.85717154,0.49569294,2.986372,12.0
1.0424167,0.53369427,0.37546137,0.35716513,0.7467802,0.33076933,2.589283,13.0
1.1458354,0.561553,0.6469241,0.47196853,0.63150996,0.29878154,3.2128465,1.0
1.0651644,0.465691,0.45498413,0.53420335,0.968538,0.055508252,1.909848,2.0
1.2678633,0.6433582,0.8104408,0.55835885,0.29304212,0.25597516,3.9884179,3.0
1.0567317,0.93419665,0.36564067,0.7751703,0.5472906,0.8580626,2.1601615,4.0
0.8792472,0.6407719,0.5089726,0.44762245,0.9533786,0.27523938,4.818388,5.0
1.0698081,0.983143,0.55202454,0.9041114,0.61030847,0.7210769,4.7401414,6.0
0.9998697,0.8490846,0.4712405,0.6974847,0.7201861,0.5550754,3.599394,7.0
1.0584214,0.34807447,0.9773701,0.9796778,0.7496689,0.8388611,4.6818047,8.0
0.861315,0.6267507,0.17201212,0.50519896,0.94281304,0.3568971,4.637811,9.0
1.0434179,0.2284964,0.08527352,0.6474555,0.93507934,0.6692667,3.541038,10.0
0.9662469,0.3199593,0.3356033,0.91562766,0.86171466,0.8948265,4.547392,11.0
1.1180068,0.49281138,0.5144525,0.47313946,0.7269021,0.1105188,2.6140726,12.0
0.862689,0.9284864,0.9086529,0.1256859,0.8194715,0.8022569,4.4101624,13.0
1.0440842,0.956183,0.31602004,0.1935205,0.792575,0.012107247,1.2435395,1.0
1.2444836,0.21293133,0.17079283,0.69692785,0.35720733,0.59271073,4.4423018,2.0
1.1378336,0.40325087,0.72782576,0.3251459,0.7157301,0.3146306,2.727723,3.0
1.22446,0.689125,0.46909225,0.39434087,0.33412012,0.8870546,1.9230956,4.0
1.0633298,0.8252846,0.21088876,0.3536488,0.5573495,0.54892695,2.233839,5.0
1.0940611,0.648724,0.48624367,0.4719401,0.5433521,0.7349365,2.3314607,6.0
1.0643786,0.5406108,0.32992598,0.560594,0.7231794,0.37902832,3.1085835,7.0
0.88209254,0.77869445,0.28342205,0.18264581,0.9321477,0.2552057,3.862271,8.0
1.1295092,0.4280184,0.36249614,0.6243579,0.5589761,0.6150576,3.7765117,9.0
1.0946826,0.7925498,0.5039602,0.06610267,0.5326464,0.64357716,1.9408132,10.0
1.0034484,0.66654545,0.50378144,0.47768104,0.66408825,0.6679444,2.514356,11.0
1.029897,0.9123171,0.6648799,0.7535064,0.81460005,0.36092228,4.4243455,12.0
0.9669898,0.74108106,0.4686829,0.31564134,0.6827803,0.6148131,2.1760685,13.0
1.1028805,0.57498085,0.5341645,0.40444934,0.6225827,0.4353403,2.9705918,1.0
0.88800937,0.5469407,0.1995213,0.366383,0.82920325,0.4414245,2.292691,2.0
1.1449653,0.38761064,0.5451309,0.40183136,0.60077924,0.38958845,3.0583458,3.0
0.87834895,0.72125596,0.07975789,0.110022254,0.8753464,0.4521187,1.434482,4.0
1.2694678,0.70148855,0.070494056,0.08582224,0.15730983,0.3339043,2.4300556,5.0
0.9594377,0.55384886,0.03266036,0.11508444,0.9694509,0.3873008,2.8152428,6.0
0.9112813,0.5336166,0.6542354,0.8176469,0.92960143,0.8068327,4.8847895,7.0
1.2134905,0.31067967,0.07648591,0.56748974,0.6208706,0.44637084,1.0677302,8.0
1.0408621,0.46115404,0.19489433,0.47775695,0.6999699,0.4726742,2.0880878,9.0
0.90505165,0.68980634,0.25573254,0.19051169,0.77219105,0.37512133,2.9860365,10.0
0.9401885,0.39663893,0.3688663,0.58904284,0.8438266,0.79043025,1.7210726,11.0
0.9024183,0.63748324,0.51014245,0.7142637,0.73245233,0.7318751,2.8907793,12.0
1.0292909,0.5752637,0.40115848,0.40622303,0.7073738,0.48964047,2.6030583,13.0
1.0506259,0.9570968,0.037743688,0.56223065,0.8325234,0.991262,2.8113813,1.0
0.9317451,0.8435809,0.42556512,0.2721554,0.81082094,0.22817919,2.2065446,2.0
0.996339,0.64902526,0.804534,0.6350978,0.61843526,0.985531,2.623944,3.0
0.8561156,0.8455423,0.4303858,0.58504254,0.8973565,0.46779817,3.423595,4.0
0.92354554,0.8276143,0.26257187,0.4932151,0.8082404,0.74699247,2.8466074,5.0
0.9305499,0.76386446,0.8106361,0.3912488,0.7894992,0.6378266,1.8875312,6.0
0.9027752,0.6067632,0.5992123,0.60110706,0.85076576,0.86927,4.4282403,7.0
0.90645134,0.67869264,0.6046213,0.56649196,0.72367835,0.7625224,2.840372,8.0
0.90258574,0.8260537,0.6160951,0.23892288,0.8744168,0.32177317,2.436013,9.0
0.8887653,0.71476936,0.87937325,0.4894755,0.9893134,0.63947,4.700879,10.0
0.8715137,0.6199589,0.433863,0.44583833,0.8638548,0.51700944,3.3907642,11.0
0.8903018,0.7839925,0.3789636,0.48088688,0.8546335,0.59973854,3.258652,12.0
0.8609103,0.7917483,0.580105,0.34430435,0.88314295,0.42716923,3.2178674,13.0
0.9385519,0.7301909,0.28890762,0.67075706,0.9749604,0.5732744,3.872452,1.0
0.8944251,0.63564146,0.32352328,0.6781838,0.7838924,0.57523626,2.938059,2.0
0.9166091,0.46269903,0.26783046,0.7003593,0.87317187,0.6666154,3.6602068,3.0
0.9063751,0.7079307,0.34163016,0.5731521,0.80013466,0.4903573,3.0249233,4.0
0.9436673,0.4275698,0.14772944,0.6086785,0.8902294,0.64572555,2.542011,5.0
0.96908987,0.6009165,0.28929237,0.54203945,0.7988553,0.4158021,2.8504925,6.0
0.915834,0.6920963,0.25949466,0.2300792,0.8172668,0.27654728,3.276317,7.0
0.90197927,0.65536374,0.26433086,0.55044883,0.9167878,0.5141954,3.3009913,8.0
