like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.7940655,0.36771443,0.19078596,0.19209468,0.779481,0.5053242,1.3157018,0.0
0.8081781,0.8878983,0.49349254,0.2702152,0.38280672,0.7430738,2.006995,0.0
0.75396544,0.5517052,0.36508816,0.86064947,0.9252315,0.573308,4.533198,0.0
0.84192765,0.82535297,0.97763735,0.36882812,0.39837456,0.72588605,2.7257056,0.0
1.1315134,0.20385528,0.7600339,0.15551184,0.42527035,0.4623711,3.1020713,0.0
0.92195237,0.46073854,0.441396,0.8304755,0.97033036,0.965949,3.817599,0.0
0.8802056,0.39688185,0.20407397,0.59909195,0.672534,0.55283713,2.1000748,0.0
1.2229214,0.23449741,0.08870111,0.87224495,0.5760581,0.1754466,1.7522861,0.0
1.2424277,0.36068836,0.44156408,0.990357,0.28109255,0.25982615,3.2966917,0.0
1.0682955,0.40559748,0.90819305,0.7985984,0.55838907,0.61247784,1.3587911,0.0
1.018102,0.8272032,0.9392412,0.72007424,0.6639609,0.7398162,4.0690565,0.0
0.66712546,0.84766966,0.2767471,0.0022734562,0.8017455,0.77319396,1.9866534,0.0
0.8868555,0.38136154,0.29246533,0.99030375,0.6252851,0.81217027,4.525416,0.0
0.6561403,0.69265705,0.17281416,0.5270962,0.7590707,0.5424157,4.6859465,0.0
1.1925935,0.27410644,0.7621535,0.8628409,0.4345597,0.34268716,2.787509,0.0
1.0851537,0.5644562,0.69187456,0.5867187,0.46455896,0.4777082,4.3618402,0.0
0.9343326,0.67119616,0.117865056,0.034156304,0.81565046,0.966159,4.141369,0.0
1.0292535,0.7577524,0.17642364,0.016673427,0.6259915,0.1952915,3.6588721,0.0
0.7392415,0.68555796,0.67072576,0.028384205,0.7639695,0.46343547,4.022869,0.0
1.0815688,0.9733818,0.039124064,0.64947516,0.9478652,0.32064986,4.18466,0.0
0.9736873,0.35578266,0.78399,0.22508696,0.6807585,0.42187363,3.2041805,0.0
1.0558412,0.5558385,0.8343108,0.2727622,0.64404863,0.0886986,2.3239095,0.0
0.98117465,0.7004605,0.059247397,0.67883754,0.5686985,0.8675165,3.7365265,0.0
1.0365722,0.66087574,0.60065866,0.2837128,0.6002159,0.40851578,3.4532251,0.0
0.55882907,0.88017905,0.2853303,0.30178127,0.8387462,0.33772364,4.3195553,0.0
1.0658538,0.4359941,0.54129124,0.5549677,0.5329925,0.6225501,1.8341749,0.0
1.2986592,0.7783935,0.8935943,0.715862,0.48299804,0.24017431,1.4352273,0.0
0.8342251,0.33153543,0.6567732,0.13975897,0.76558805,0.55922043,1.0467838,0.0
0.86419433,0.61607116,0.5531632,0.5851431,0.42301065,0.79109794,3.1200414,0.0
0.7792408,0.83418983,0.6508292,0.09923343,0.16646619,0.5563074,3.1557162,0.0
0.8942905,0.78788906,0.9851497,0.23827459,0.38966504,0.3725703,3.9907534,0.0
0.619076,0.67721885,0.8235443,0.60270834,0.7689028,0.85360825,4.2603073,0.0
0.797729,0.5777075,0.78936166,0.61849624,0.7826876,0.43914753,1.8254409,0.0
