date,storage,inflow,outflow
2007-10-12,2055918.400,2.256,0.000
2007-10-13,2213771.200,1.827,0.000
2007-10-14,2413614.400,2.313,0.000
2007-10-15,2575182.400,1.870,0.000
2007-10-16,2737960.000,1.884,0.000
2007-10-17,2903243.200,1.913,0.000
2007-10-18,3068526.400,1.913,0.000
2007-10-19,3194324.800,1.456,0.000
2007-10-20,3331268.800,1.585,0.000
2007-10-21,3511326.400,2.084,0.000
2007-10-22,3606280.000,1.099,0.000
2007-10-23,3788891.070,2.127,0.013
2007-10-24,3927196.127,1.642,0.041
2007-10-25,4063140.177,1.642,0.069
2007-10-26,4199141.426,1.670,0.096
2007-10-27,4334094.871,1.685,0.123
2007-10-28,4466744.524,1.685,0.150
2007-10-29,4599507.616,1.713,0.176
2007-10-30,4730004.306,1.713,0.203
2007-10-31,4814621.803,1.199,0.220
2007-11-01,4942635.227,1.727,0.245
2007-11-02,5069737.208,1.742,0.271
2007-11-03,5148555.119,1.199,0.287
2007-11-04,5227216.480,1.213,0.303
2007-11-05,5304535.011,1.213,0.318
2007-11-06,5429110.774,1.785,0.343
2007-11-07,5527271.334,1.499,0.363
2007-11-08,5599467.624,1.213,0.377
2007-11-09,5670431.451,1.213,0.392
2007-11-10,5740183.854,1.213,0.406
2007-11-11,5810019.388,1.228,0.420
2007-11-12,5878662.759,1.228,0.434
2007-11-13,5946134.318,1.228,0.447
2007-11-14,6013643.020,1.242,0.461
2007-11-15,6081188.230,1.256,0.474
2007-11-16,6147580.376,1.256,0.488
2007-11-17,6163157.978,0.671,0.491
2007-11-18,6229424.692,1.271,0.504
2007-11-19,6294560.167,1.271,0.517
2007-11-20,6358583.713,1.271,0.530
2007-11-21,6371748.225,0.685,0.533
2007-11-22,6385876.956,0.699,0.535
2007-11-23,6398575.544,0.685,0.538
2007-11-24,6412246.306,0.699,0.541
2007-11-25,6425683.693,0.699,0.543
2007-11-26,6489846.730,1.299,0.556
2007-11-27,6501959.399,0.699,0.559
2007-11-28,6513865.293,0.699,0.561
2007-11-29,6525567.942,0.699,0.564
2007-11-30,6538344.690,0.714,0.566
2007-12-01,6601773.440,1.313,0.579
2007-12-02,6611975.407,0.699,0.581
2007-12-03,6675421.082,1.328,0.594
2007-12-04,6685639.685,0.714,0.596
2007-12-05,6695683.847,0.714,0.598
2007-12-06,6758889.485,1.342,0.610
2007-12-07,7302371.403,7.010,0.720
2007-12-08,7358872.047,1.385,0.731
2007-12-09,7358612.400,0.728,0.731
2007-12-10,7414152.953,1.385,0.742
2007-12-11,7414138.556,0.742,0.742
2007-12-12,7415398.281,0.757,0.742
2007-12-13,7415362.625,0.742,0.742
2007-12-14,7415327.577,0.742,0.742
2007-12-15,7415293.128,0.742,0.742
2007-12-16,7416533.143,0.757,0.743
2007-12-17,7472273.881,1.399,0.754
2007-12-18,7472541.177,0.757,0.754
2007-12-19,7471530.034,0.742,0.754
2007-12-20,7471810.028,0.757,0.754
2007-12-21,7527796.084,1.413,0.765
2007-12-22,7527115.560,0.757,0.765
2007-12-23,7526446.652,0.757,0.765
2007-12-24,7525789.164,0.757,0.765
2007-12-25,7582127.618,1.428,0.776
2007-12-26,7581708.550,0.771,0.776
2007-12-27,7580107.685,0.757,0.776
2007-12-28,7579723.099,0.771,0.775
2007-12-29,7578156.128,0.757,0.775
2007-12-30,7577804.857,0.771,0.775
2007-12-31,7577459.583,0.771,0.775
