date,storage,inflow,outflow
1989-03-09,5612331.200,0.108,0.000
1989-03-10,5761716.800,1.729,0.000
1989-03-11,5911448.000,1.733,0.000
1989-03-12,6192334.400,3.251,0.000
1989-03-13,6475467.200,3.277,0.000
1989-03-14,6765166.400,3.353,0.000
1989-03-15,7054865.600,3.353,0.000
1989-03-16,7346897.600,3.380,0.000
1989-03-17,8117240.000,8.916,0.000
1989-03-18,8906417.600,9.134,0.000
1989-03-19,9714689.600,9.355,0.000
1989-03-20,11088795.200,15.904,0.000
1989-03-21,12521469.511,16.754,0.172
1989-03-22,14020572.570,17.719,0.368
1989-03-23,15563576.083,18.429,0.570
1989-03-24,17153662.979,19.182,0.778
1989-03-25,18907010.011,21.301,1.008
1989-03-26,21126877.599,26.991,1.298
1989-03-27,23598907.862,30.233,1.622
1989-03-28,26831263.772,39.456,2.044
1989-03-29,30141028.627,40.785,2.478
1989-03-30,35950848.286,70.481,3.238
1989-03-31,40254106.320,53.607,3.801
1989-04-01,41335038.890,16.453,3.942
1989-04-02,42435584.272,16.824,4.086
1989-04-03,43557488.211,17.218,4.233
1989-04-04,44717769.650,17.814,4.385
1989-04-05,45906516.393,18.299,4.540
1989-04-06,47106323.404,18.584,4.697
1989-04-07,48386781.329,19.685,4.865
1989-04-08,49749466.199,20.815,5.043
1989-04-09,51115201.133,21.029,5.222
1989-04-10,52482157.919,21.222,5.401
1989-04-11,53946265.473,22.538,5.592
1989-04-12,55411434.990,22.742,5.784
1989-04-13,56903968.325,23.254,5.979
1989-04-14,58256706.650,21.813,6.156
1989-04-15,59679928.356,22.815,6.343
1989-04-16,61053323.131,22.418,6.522
1989-04-17,62418370.939,22.500,6.701
1989-04-18,63834541.836,23.277,6.886
1989-04-19,65280589.270,23.812,7.075
1989-04-20,66499364.141,21.341,7.235
1989-04-21,67312030.280,16.747,7.341
1989-04-22,68137397.699,17.002,7.449
1989-04-23,69183271.192,19.691,7.586
1989-04-24,69557730.649,11.969,7.635
1989-04-25,69745943.967,9.838,7.660
1989-04-26,70220393.666,13.213,7.722
1989-04-27,71519788.993,22.931,7.892
1989-04-28,72859934.867,23.578,8.067
1989-04-29,73732640.466,18.282,8.181
1989-04-30,74526730.534,17.476,8.285
1989-05-01,74802414.416,11.512,8.321
1989-05-02,75300904.502,14.156,8.386
1989-05-03,76738296.970,25.211,8.575
1989-05-04,77740310.546,20.303,8.706
1989-05-05,78541800.930,18.087,8.810
1989-05-06,79667183.346,21.983,8.958
1989-05-07,80505229.313,18.767,9.067
1989-05-08,81044712.462,15.382,9.138
1989-05-09,81472482.896,14.145,9.194
1989-05-10,81844552.707,13.549,9.243
1989-05-11,82431601.969,16.114,9.319
1989-05-12,83217387.185,18.517,9.422
1989-05-13,84310153.159,22.213,9.565
1989-05-14,85572165.772,24.337,9.730
1989-05-15,86431943.459,19.794,9.843
1989-05-16,87471688.502,22.013,9.979
1989-05-17,88330565.602,20.032,10.091
1989-05-18,89019823.490,18.159,10.181
1989-05-19,90457981.505,27.015,10.370
1989-05-20,91296803.892,20.188,10.479
1989-05-21,91856192.037,17.027,10.553
1989-05-22,92466140.755,17.692,10.632
1989-05-23,93209724.907,19.336,10.730
1989-05-24,94170799.381,21.979,10.855
