like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
1.2011008,0.0060439734,1.581205,2.0110385,0.4284292,0.64149517,0.0
1.2141707,0.26212597,1.5573463,2.1482763,0.11889439,2.5593286,0.0
1.2829447,0.17831117,4.417225,2.7598567,0.5834592,1.35064,0.0
0.97137266,0.6205107,1.0529077,0.54320866,0.26314002,2.5513604,0.0
1.263653,0.5002767,2.2455034,2.2162988,0.988242,0.4154377,0.0
1.2734337,0.70111996,3.6366882,1.7699518,0.8461248,2.4183915,0.0
0.9200576,0.124273345,1.1353334,0.65141827,0.5601685,0.5067143,0.0
1.2806945,0.068643786,2.6760178,2.8557925,0.35078564,1.2412678,0.0
1.1098533,0.7959598,4.132646,0.6166808,0.04331561,0.5108415,0.0
1.1393,0.09125643,1.8907659,1.3515562,0.4087463,1.3595471,0.0
1.1223885,0.058230072,1.1855392,1.8669852,0.30989087,2.0480752,0.0
1.2294542,0.04298148,1.4764814,2.3449397,0.82218957,2.5405369,0.0
1.2658361,0.18545435,2.6001306,2.1075966,0.68438554,0.6548227,0.0
1.0881637,0.032176323,4.1499796,0.71875834,0.5565104,0.9132465,0.0
0.965325,0.32429212,0.2010184,2.6759892,0.9813259,2.838847,0.0
1.1332935,0.34282458,2.1953456,1.1306044,0.7719693,2.7895067,0.0
1.0914041,0.99992377,0.7267225,2.813377,0.99494326,0.25452554,0.0
1.1285322,0.9937918,2.7305179,0.90085244,0.63632023,0.80593276,0.0
1.2801754,0.029382056,4.0016212,2.2863514,0.2603656,2.216232,0.0
1.1257762,0.5221116,2.4745815,1.0350685,0.26383173,0.36966565,0.0
1.2356737,0.5207845,2.1988409,1.8838141,0.32584122,0.7967271,0.0
1.2559305,0.042764604,4.1346307,1.6138799,0.2540222,2.815935,0.0
1.2829684,0.34504327,4.8640256,2.5455787,0.37437025,2.3194675,0.0
1.1593828,0.37181136,1.6480802,1.5225937,0.98989797,0.3191906,0.0
1.1427027,0.8201236,3.1235483,0.7633125,0.10361767,2.2755218,0.0
1.2707187,0.042514097,1.7565136,2.9037845,0.7803176,0.58442104,0.0
1.0687445,0.82823753,1.4743627,1.0576423,0.17832243,0.28058982,0.0
1.0326052,0.7785933,0.78692,1.6585532,0.61833596,0.44042838,0.0
1.1952567,0.9984441,2.2342618,1.379536,0.81548977,0.9025865,0.0
1.2824557,0.3482306,2.6287048,2.9228191,0.5726698,1.9983385,0.0
1.282325,0.44147798,2.869443,2.4135458,0.9419795,2.9428177,0.0
1.2317629,0.8859914,2.3299668,1.4371997,0.02317153,1.95877,0.0
1.2820624,0.8692444,3.528215,2.8842208,0.138274,1.5202044,0.0
1.2695153,0.8466596,4.8907804,1.4859364,0.83242536,2.0402482,0.0
1.1950061,0.8672548,4.889824,0.97189915,0.095431656,1.0483297,0.0
1.2439523,0.38814282,2.2556646,1.9373085,0.4562935,2.381526,0.0
1.1327475,0.14722721,4.15432,0.82094646,0.7395961,2.8571968,0.0
1.0153944,0.11970293,0.6795549,2.892382,0.7360921,0.44197503,0.0
1.2745856,0.6309869,4.632375,1.6023699,0.8534925,2.718969,0.0
1.0662625,0.26803198,1.1142007,1.5689541,0.50105494,0.98013055,0.0
1.2630537,0.617854,2.413939,2.0356522,0.7245389,2.5519204,0.0
1.2804832,0.2874669,2.8776295,2.9994593,0.1480673,0.6692104,0.0
1.220936,0.92222977,3.6926425,1.2790835,0.17486332,1.4011531,0.0
1.0411743,0.89037704,2.2171285,0.5701506,0.6803585,1.1355408,0.0
1.145085,0.20416398,2.8984392,1.0397767,0.62202275,1.2762446,1.0
1.1230279,0.23144634,4.3370047,0.7775961,0.39686894,2.1915762,2.0
1.2242154,0.1283104,3.0112634,1.4794625,0.4236062,1.9840149,3.0
1.2284428,0.24943416,3.2955437,1.3892595,0.72062397,0.7781998,4.0
0.9089429,0.90666074,0.59680414,0.6224424,0.53526205,1.9125425,5.0
1.1261626,0.63977915,4.5386496,0.74738216,0.32645568,0.71930224,6.0
0.71155787,0.08746854,0.6096252,0.771437,0.7294055,0.63459647,7.0
1.1137602,0.5235241,3.317358,0.8285698,0.44686615,0.96889013,8.0
1.0740204,0.39925832,2.3201654,0.87169945,0.4097374,0.8007004,9.0
0.93270534,0.16639495,0.6317082,2.4267912,0.9647433,0.8459859,10.0
1.0558342,0.9757228,0.5577761,2.4285488,0.113011196,2.2490659,11.0
1.0148065,0.9479764,1.8269329,0.50334966,0.24537864,1.0539246,1.0
1.2422704,0.41908777,1.6990757,2.2712152,0.6250025,1.1303694,2.0
1.2170719,0.5755498,1.8083754,1.8884352,0.4920553,1.1836084,3.0
1.1060325,0.11462854,2.2616296,0.98121667,0.18404531,2.0671945,4.0
0.7767682,0.31708732,0.16285485,2.1167808,0.5981005,2.1340802,5.0
1.1571933,0.73856986,0.7741952,1.4157175,0.03281934,2.1169324,6.0
1.1180929,0.8207844,1.6477109,1.1459259,0.96515256,2.920911,7.0
1.1400945,0.65677875,2.2108083,1.1306626,0.3927071,2.2474182,8.0
0.950338,0.6634282,0.21144982,1.6742159,0.9954193,1.7859032,9.0
1.164267,0.74730015,1.6839423,1.5274938,0.31337446,1.7089478,10.0
0.86261874,0.023642693,0.781373,0.7621513,0.53033316,0.8840218,11.0
1.0756549,0.21727802,2.8437965,0.7871664,0.63126236,2.0939481,1.0
1.0620527,0.03671672,0.81879896,2.3987112,0.60916394,2.2602453,2.0
1.2032242,0.5868557,3.7021897,1.1411052,0.6183657,2.5380132,3.0
