date,storage,inflow,outflow
2007-08-18,14353755.632,1.245,2.289
2007-08-19,14260656.427,1.189,2.267
2007-08-20,14118788.993,0.600,2.242
2007-08-21,13975143.563,0.548,2.211
2007-08-22,13843278.072,0.652,2.178
2007-08-23,13713743.384,0.643,2.142
2007-08-24,13550700.081,0.216,2.103
2007-08-25,13391671.202,0.219,2.060
2007-08-26,13236233.643,0.215,2.014
2007-08-27,13158086.400,0.213,1.117
2007-08-28,13158086.400,0.264,0.264
2007-08-29,13158086.400,0.304,0.304
2007-08-30,13158086.400,0.323,0.323
2007-08-31,13158086.400,0.306,0.306
2007-09-01,13158086.400,0.305,0.305
2007-09-02,13158086.400,0.304,0.304
2007-09-03,13158086.400,0.305,0.305
2007-09-04,13158086.400,0.268,0.268
2007-09-05,13158086.400,0.257,0.257
2007-09-06,13158086.400,0.658,0.658
2007-09-07,13158086.400,0.792,0.792
2007-09-08,13158086.400,0.793,0.793
2007-09-09,13158086.400,0.631,0.631
2007-09-10,13158086.400,0.584,0.584
2007-09-11,13158086.400,0.394,0.394
2007-09-12,13158086.400,0.400,0.400
2007-09-13,13158086.400,0.390,0.390
2007-09-14,13158086.400,0.374,0.374
2007-09-15,13158086.400,0.359,0.359
2007-09-16,13158086.400,0.132,0.132
2007-09-17,13158086.400,0.118,0.118
2007-09-18,13158086.400,0.118,0.118
2007-09-19,13158086.400,0.124,0.124
2007-09-20,13158086.400,0.497,0.497
2007-09-21,13158086.400,0.590,0.590
2007-09-22,13158086.400,0.580,0.580
2007-09-23,13158086.400,0.574,0.574
2007-09-24,13158086.400,0.571,0.571
2007-09-25,13158086.400,0.562,0.562
2007-09-26,13166995.708,0.716,0.613
2007-09-27,13213611.609,1.120,0.580
2007-09-28,13280208.569,1.322,0.551
2007-09-29,13367830.480,1.537,0.523
2007-09-30,13457713.249,1.535,0.495
2007-10-01,13549760.928,1.542,0.477
2007-10-02,13642517.461,1.539,0.465
2007-10-03,13737010.012,1.550,0.456
2007-10-04,13832300.806,1.552,0.449
2007-10-05,13927700.935,1.546,0.442
2007-10-06,14063746.677,2.009,0.434
2007-10-07,14200639.555,2.012,0.428
2007-10-08,14338314.036,2.014,0.421
2007-10-09,14476612.115,2.014,0.413
2007-10-10,14615452.652,2.013,0.406
2007-10-11,14754481.471,2.010,0.401
2007-10-12,14892789.997,1.999,0.398
2007-10-13,15030938.797,1.995,0.396
2007-10-14,15171688.051,2.028,0.399
2007-10-15,15313205.231,2.043,0.405
2007-10-16,15453517.763,2.035,0.411
2007-10-17,15593371.455,2.036,0.417
2007-10-18,15732577.656,2.035,0.424
2007-10-19,15873035.177,2.056,0.430
2007-10-20,16013167.594,2.059,0.437
2007-10-21,16152040.581,2.051,0.444
2007-10-22,16290729.398,2.055,0.450
2007-10-23,16432683.119,2.099,0.456
2007-10-24,16573940.677,2.097,0.462
2007-10-25,16714953.577,2.100,0.468
2007-10-26,16855740.999,2.104,0.475
2007-10-27,16996151.975,2.107,0.482
2007-10-28,17135424.161,2.101,0.489
2007-10-29,17274176.354,2.101,0.495
2007-10-30,17412741.824,2.103,0.499
2007-10-31,17554131.621,2.139,0.503
2007-11-01,17695996.716,2.148,0.506
2007-11-02,17818222.873,1.924,0.509
2007-11-03,17938906.215,1.909,0.512
2007-11-04,18059759.328,1.914,0.515
2007-11-05,18181276.032,1.925,0.519
2007-11-06,18301104.806,1.909,0.522
2007-11-07,18421754.070,1.922,0.526
2007-11-08,18540790.505,1.905,0.527
2007-11-09,18662796.635,1.938,0.526
2007-11-10,18788386.047,1.975,0.521
2007-11-11,18913801.216,1.969,0.517
2007-11-12,19039358.348,1.968,0.515
2007-11-13,19164882.993,1.965,0.512
2007-11-14,19290206.942,1.960,0.509
2007-11-15,19415832.285,1.961,0.507
2007-11-16,19543831.174,1.986,0.505
2007-11-17,19670859.103,1.972,0.502
2007-11-18,19799158.928,1.984,0.499
2007-11-19,19929736.250,2.008,0.497
2007-11-20,20061728.744,2.022,0.494
2007-11-21,20190733.452,1.985,0.492
2007-11-22,20321081.696,1.998,0.489
2007-11-23,20451035.339,1.991,0.487
2007-11-24,20580956.343,1.988,0.484
2007-11-25,20713482.814,2.016,0.482
2007-11-26,20843497.605,1.985,0.480
2007-11-27,20974837.506,1.999,0.479
2007-11-28,21107263.528,2.011,0.478
2007-11-29,21218413.404,1.764,0.478
2007-11-30,21331534.381,1.786,0.477
2007-12-01,21421822.093,1.521,0.476
2007-12-02,21513671.401,1.538,0.475
2007-12-03,21605060.033,1.531,0.473
2007-12-04,21698618.052,1.554,0.471
2007-12-05,21791277.008,1.540,0.468
2007-12-06,21884335.507,1.540,0.463
2007-12-07,21999261.243,1.789,0.459
2007-12-08,22113821.620,1.784,0.458
2007-12-09,22228088.225,1.779,0.456
2007-12-10,22342810.278,1.781,0.453
2007-12-11,22458164.349,1.785,0.450
2007-12-12,22573112.407,1.777,0.447
2007-12-13,22689225.303,1.787,0.443
2007-12-14,22784303.623,1.540,0.440
2007-12-15,22880234.830,1.546,0.436
2007-12-16,22976492.602,1.546,0.432
2007-12-17,23052332.184,1.306,0.428
2007-12-18,23127393.322,1.293,0.424
2007-12-19,23202796.929,1.293,0.420
2007-12-20,23301356.585,1.557,0.416
2007-12-21,23399117.725,1.544,0.413
2007-12-22,23497206.052,1.544,0.409
2007-12-23,23597865.913,1.570,0.405
2007-12-24,23697384.306,1.553,0.401
2007-12-25,23797834.666,1.560,0.397
2007-12-26,23896959.004,1.541,0.394
2007-12-27,23997259.964,1.551,0.390
2007-12-28,24096856.432,1.539,0.386
2007-12-29,24197999.713,1.553,0.382
2007-12-30,24298364.651,1.540,0.378
2007-12-31,24402222.854,1.577,0.375
2008-01-01,24508794.948,1.603,0.370
2008-01-02,24591804.474,1.330,0.369
2008-01-03,24675603.794,1.339,0.369
2008-01-04,24759368.451,1.339,0.370
2008-01-05,24842818.732,1.336,0.370
2008-01-06,24925780.203,1.331,0.371
