like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
1.4349068,0.41128334,3.7420352,1.2342567,0.19476123,0.986766,0.0
1.0485272,0.8279954,3.7383318,1.390525,0.7384256,2.81583,0.0
1.4451398,0.09670327,2.4090753,2.0640166,0.53010845,2.7873974,0.0
1.1220796,0.99220294,2.1149237,1.236738,0.84590364,1.7567929,0.0
1.4186741,0.5162805,2.684265,2.7770143,0.035106096,2.607371,0.0
1.3018546,0.7026366,3.8898149,0.9248877,0.7576719,0.6487466,0.0
1.4186741,0.46523067,0.028801212,2.2655497,0.2769702,2.5890403,0.0
1.4203622,0.88755125,3.306558,0.7103078,0.18969825,1.8995682,0.0
0.9119343,0.2625779,2.3852487,1.4056741,0.7264568,2.3682375,0.0
1.4214574,0.448831,1.9414777,0.665727,0.25022277,2.3354733,0.0
1.3820783,0.030209446,3.5209775,1.3857651,0.43046212,1.1812259,0.0
1.1631943,0.83489877,0.5568633,2.0983706,0.94492143,2.3154788,0.0
0.8199179,0.0028337562,4.350214,1.1373085,0.7580758,1.7305632,0.0
1.4512141,0.46045193,4.525826,1.9507445,0.25615135,1.639933,0.0
1.3847107,0.4642789,0.72134507,0.9068274,0.4352641,2.9092538,0.0
1.0670651,0.5798675,1.2065917,2.16755,0.6578511,1.7903632,0.0
1.4509231,0.88525736,4.2509246,2.2817488,0.2901097,2.8222294,0.0
1.2022663,0.8149226,4.670284,2.478051,0.41705406,0.29409826,0.0
1.4353638,0.44990578,1.4493486,2.18239,0.33152992,2.5316217,0.0
1.2490468,0.81218696,4.6124196,2.46865,0.6380845,0.44393685,0.0
1.2755165,0.5626169,3.1867056,2.7944257,0.8050049,2.5427876,0.0
1.1420261,0.73366684,2.7101088,2.5757356,0.96107155,1.7515851,0.0
1.221253,0.89400434,1.5934927,2.5852053,0.73747396,1.7124368,0.0
1.4204124,0.114960976,0.74197614,2.5548651,0.1942799,2.4196084,0.0
0.81534845,0.48621354,3.7326658,0.90736884,0.6223036,1.1126655,0.0
0.85660297,0.8337407,1.0483477,0.669984,0.48721683,1.2591851,0.0
1.2229264,0.38679734,0.23390976,2.8435216,0.24218264,1.0443571,0.0
1.4186741,0.7020152,0.3172324,2.9462478,0.17816159,1.7445116,0.0
1.4351882,0.36236987,0.8738526,2.826382,0.3516541,2.100625,0.0
1.0451832,0.44474146,2.6670113,1.2708468,0.3627023,0.47136584,0.0
1.4293152,0.118503936,1.0228094,2.3864784,0.08758609,1.1593926,0.0
1.4272641,0.402286,1.4334503,1.7939363,0.4104865,2.086396,0.0
1.0511498,0.2948184,2.6731095,2.8209565,0.4807945,0.75005877,0.0
1.4390413,0.6538039,3.7166212,1.3473814,0.26519385,1.4100457,0.0
1.394991,0.047943115,2.7910318,1.8787729,0.6511393,2.437845,0.0
1.2043844,0.52245706,1.545973,1.884038,0.61693794,2.0970886,0.0
1.3764961,0.6764406,3.2096856,1.3751831,0.46205267,1.4155236,0.0
0.6292279,0.5656818,0.2459088,0.95930517,0.65369564,2.3926694,0.0
1.4186741,0.15501161,1.6937023,1.8527911,0.08072122,2.283408,0.0
1.4565011,0.9650842,2.534221,2.1272647,0.59906733,1.6135205,0.0
1.4487202,0.89216226,4.921944,1.3531816,0.2729768,1.3682792,0.0
1.0725098,0.75205135,3.4562216,1.8578095,0.7289815,0.45386437,0.0
1.0746759,0.6710022,4.020899,2.9446251,0.5302648,1.9139946,0.0
0.95047885,0.6851894,4.8267922,1.2937698,0.8444457,1.7116635,0.0
1.3936267,0.46217677,1.7792569,1.1278906,0.44884732,2.3987403,1.0
1.3436772,0.6068803,3.5210135,2.7800124,0.9694781,1.0149647,2.0
1.2468803,0.07500218,0.321024,1.8952041,0.44256684,2.182694,3.0
1.0380709,0.50376606,2.042293,2.5585413,0.92590076,1.9802998,4.0
1.0807803,0.56721395,2.6570232,2.2206774,0.81711787,1.4439671,5.0
1.4271039,0.20348932,2.952842,1.1522816,0.43723604,2.4491582,6.0
0.94518673,0.5251618,2.2386205,1.708448,0.83616257,1.6021347,7.0
1.078372,0.52374864,2.5502622,2.2824774,0.7984358,2.2501247,8.0
0.8141517,0.7113021,2.01598,1.5636616,0.78525287,1.7877365,9.0
1.1448729,0.8616166,1.1040714,2.7865496,0.97688264,1.0006645,10.0
0.95140046,0.69508654,1.5154672,2.405589,0.8547175,1.3358054,11.0
1.0850474,0.64894,1.7380456,2.886964,0.7715865,2.582739,1.0
1.4207495,0.17494573,4.9319305,0.59770846,0.3068807,2.1527865,2.0
0.86773086,0.35954657,4.092189,1.3473501,0.8054294,1.8671697,3.0
1.1641556,0.9763477,3.0227072,2.5007548,0.9502317,1.8802123,4.0
1.0134753,0.1890749,3.8172133,1.1037205,0.651703,1.7301168,5.0
1.4186741,0.96422535,4.7723346,0.77941966,0.0669554,1.7465168,6.0
1.3200185,0.9133868,0.030579343,2.0683787,0.21024145,1.1351432,7.0
1.1867788,0.8784188,1.6678455,2.0905268,0.9467686,0.8699171,8.0
1.0420804,0.67046946,4.319652,1.4070852,0.8898131,0.9522761,9.0
0.8929221,0.0058779716,4.8040676,1.308276,0.7429742,0.7357161,10.0
1.0625639,0.015627222,4.0783253,2.7083085,0.27550644,0.89598876,11.0
1.3184867,0.9712494,4.8417873,2.717493,0.7069979,0.39951268,1.0
0.91933185,0.6462682,1.3037174,1.7860731,0.27703273,0.25805837,2.0
1.0032613,0.7756355,1.3150047,2.3518054,0.836289,0.53392994,3.0
1.3145059,0.7362306,2.752202,1.7687467,0.58044857,1.1038462,4.0
1.0587878,0.74383724,3.8738303,2.140825,0.62422305,0.60152614,5.0
0.9116249,0.24572858,4.434856,0.82252145,0.7072214,0.97035176,6.0
